fixture_id	mode	repeat	wall_seconds	forward_total_seconds	forward_kernel_seconds	forward_h2d_seconds	forward_d2h_seconds	forward_minscore_seconds	attempt_score_seconds	attempt_gpu_kernel_seconds	attempt_h2d_seconds	attempt_d2h_seconds	host_select_seconds	selected_cpu_traceback_seconds	conversion_seconds	consumer_total_seconds	unprofiled_wall_seconds
linc01501_4006	lite	1	36.830000	4.938770000	3.905080000	0.007763840	0.003497980	1.016410000	7.510898110	6.962898920	0.091419040	0.149997536	0.084285647	13.408249849	0.253773541	21.406459498	10.484770502
linc01501_4006	lite	2	36.700000	4.960110000	3.920680000	0.008100860	0.003716990	1.021150000	7.484856946	6.943956824	0.091072992	0.147902112	0.081218848	13.159199148	0.247900010	21.118194262	10.621695738
linc01501_4006	lite	3	36.730000	4.939510000	3.914790000	0.007779580	0.003602850	1.007190000	7.525657781	6.979403502	0.091584864	0.149041888	0.082663765	13.413508309	0.255868303	21.424002532	10.366487468
linc01501_4006	tfosorted	1	38.070000	4.918220000	3.876380000	0.008092860	0.004004160	1.023320000	7.540540640	6.994632346	0.091735840	0.148986432	0.081866213	13.315300348	1.650425120	22.742666203	10.409113797
linc01501_4006	tfosorted	2	38.580000	4.926430000	3.897330000	0.007781790	0.003642460	1.011670000	7.540057092	6.990227910	0.092193952	0.149482624	0.081915146	13.389259633	1.655444574	22.821536307	10.832033693
linc01501_4006	tfosorted	3	38.250000	4.945480000	3.916160000	0.008192320	0.003664480	1.011040000	7.537769678	6.994182146	0.091232576	0.147812256	0.080755563	13.167426757	1.630698903	22.570307743	10.734212257
pcat19_8181	lite	1	70.350000	15.911100000	11.301800000	0.009528640	0.004154940	4.589200000	15.698979772	15.154416250	0.088868000	0.149415168	0.073827973	26.833538631	0.208698681	42.960982039	11.477917961
pcat19_8181	lite	2	69.710000	15.844900000	11.249800000	0.009360260	0.003777120	4.575580000	15.678861976	15.135924096	0.088465632	0.150257760	0.073878370	26.903049724	0.205720762	42.999227963	10.865872037
pcat19_8181	lite	3	69.800000	15.852200000	11.255000000	0.009359460	0.003689250	4.577900000	15.790384345	15.246894572	0.088843808	0.150372096	0.073479553	26.921265102	0.204271010	43.125137497	10.822662503
pcat19_8181	tfosorted	1	70.800000	15.860400000	11.263900000	0.009344100	0.003522140	4.577720000	15.813379262	15.259946394	0.089557600	0.154224256	0.074985311	27.011932385	1.244333214	44.291097934	10.648502066
pcat19_8181	tfosorted	2	70.640000	15.804000000	11.208900000	0.009372320	0.003537790	4.575720000	15.909656434	15.361063340	0.088935744	0.151154048	0.074031215	26.979437800	1.248973328	44.364086802	10.471913198
pcat19_8181	tfosorted	3	70.900000	15.849800000	11.254300000	0.009342780	0.003627390	4.576300000	16.047537545	15.494255034	0.089457440	0.153020416	0.074292189	27.066702206	1.246969844	44.585422672	10.464777328
al035530_2_12397	lite	1	102.390000	24.459600000	16.636400000	0.011194700	0.003634690	7.801960000	33.237737880	32.665893230	0.092043616	0.155979104	0.058326457	33.373539439	0.264953526	67.083101197	10.847298803
al035530_2_12397	lite	2	102.760000	24.460500000	16.634700000	0.010987100	0.004048420	7.804510000	33.329968550	32.751424090	0.092698688	0.158358752	0.057414934	34.017415115	0.275290785	67.832057945	10.467442055
al035530_2_12397	lite	3	102.600000	24.477000000	16.647700000	0.010838000	0.003755710	7.808390000	33.261850810	32.690832590	0.092004800	0.154814304	0.056157635	33.684926210	0.269239668	67.419535133	10.703464867
al035530_2_12397	tfosorted	1	103.740000	24.466600000	16.641800000	0.011208000	0.004100380	7.803070000	33.302622070	32.723129570	0.093030656	0.160141280	0.056517862	33.643586163	1.772050142	68.932111513	10.341288487
al035530_2_12397	tfosorted	2	103.880000	24.465100000	16.641100000	0.010979600	0.003915710	7.802780000	33.311564020	32.739470190	0.091995040	0.154440704	0.055006813	33.365865652	1.762799107	68.652561344	10.762338656
al035530_2_12397	tfosorted	3	103.430000	24.454300000	16.644100000	0.011261000	0.003777600	7.788460000	33.320592780	32.744689530	0.092273760	0.159032384	0.054752172	33.362269415	1.752992033	68.645014433	10.330685567
