attempt_id	execution_stage	arm	mode	scope	query_id	target_id	repeat_id	order	contract	manifest_sha256	runner_commit	runner_sha256	worker_count	gpu_assignment	backend_timeout_seconds	total_budget_seconds	retry_policy	claim_role	formal_source_data	expected_artifact_root	command_template	status
p3pilot_a_aq001_at0001	pilot	A	cpu-authority	aq001_at0001	aq001	at0001	0	1	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	operational_only	0	.paper-artifacts/bioinformatics-phase3-application-v1/pilot/p3pilot_a_aq001_at0001	python3 scripts/gasal2_longtarget.py --mode cpu-authority --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3pilot_b_aq001_at0001	pilot	B	fast-experimental	aq001_at0001	aq001	at0001	0	2	auto	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	operational_only	0	.paper-artifacts/bioinformatics-phase3-application-v1/pilot/p3pilot_b_aq001_at0001	python3 scripts/gasal2_longtarget.py --mode fast-experimental --contract auto --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3pilot_c_aq001_at0001	pilot	C	safe	aq001_at0001	aq001	at0001	0	3	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	operational_only	0	.paper-artifacts/bioinformatics-phase3-application-v1/pilot/p3pilot_c_aq001_at0001	python3 scripts/gasal2_longtarget.py --mode safe --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3full_a	formal_full	A	cpu-authority	50x668	ALL_50	ALL_668	0	1	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-full/p3full_a	python3 scripts/gasal2_longtarget.py --mode cpu-authority --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3full_b	formal_full	B	fast-experimental	50x668	ALL_50	ALL_668	0	2	auto	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-full/p3full_b	python3 scripts/gasal2_longtarget.py --mode fast-experimental --contract auto --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3full_c	formal_full	C	safe	50x668	ALL_50	ALL_668	0	3	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-full/p3full_c	python3 scripts/gasal2_longtarget.py --mode safe --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r00_a	formal_repeat	A	cpu-authority	10x20	SUBSET_10	SUBSET_20	0	1	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r00_a	python3 scripts/gasal2_longtarget.py --mode cpu-authority --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r00_b	formal_repeat	B	fast-experimental	10x20	SUBSET_10	SUBSET_20	0	2	auto	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r00_b	python3 scripts/gasal2_longtarget.py --mode fast-experimental --contract auto --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r00_c	formal_repeat	C	safe	10x20	SUBSET_10	SUBSET_20	0	3	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r00_c	python3 scripts/gasal2_longtarget.py --mode safe --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r01_c	formal_repeat	C	safe	10x20	SUBSET_10	SUBSET_20	1	1	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r01_c	python3 scripts/gasal2_longtarget.py --mode safe --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
