attempt_id	validation_id	query_id	target_id	repeat_id	gpu_physical_index	returncode	timed_out	oom_detected	fallbacks	attempt_rows	selected_attempts	cpu_traceback_calls	final_row_mappings	output_rows	output_sha256	score_equal	stability_equal	nt_equal	all_three_equal	boundary_ties_equal	full_output_equal	full_missing_rows	full_extra_rows	declared_contract_clean	score_prepass_seconds	cpu_traceback_replay_seconds	cpu_traceback_align_seconds	triplex_convert_seconds	total_wall_seconds	max_rss_kib	gpu_measurement_status	gpu_sample_count	gpu_memory_peak_mib	selection_reasons_json	cpu_emit_reasons_json	final_statuses_json	artifact_count	artifact_manifest_sha256	attempt_receipt_sha256
v2reg_hq01_ht01__repeat00	hq01_ht01__repeat00	hq01	ht01	0	0	0	0	0	0	2628	657	657	1	1	cd5c7362cfeaefc37a2e744238acabca4e6fc78e07086caf765b7b68cec86bce	1	1	1	1	1	1	0	0	1	0.0232474	0.00687353	0.00652573	0.00223372	0.27921431814320385	159432	available	1	477.0	"{""best_fallback"":35,""last"":15,""not_selected_after_threshold"":1821,""not_selected_lower_score"":150,""threshold"":607}"	"{""best_fallback"":33,""last"":17,""not_selected"":1971,""threshold"":607}"	"{""converted_not_final"":262,""emitted_not_converted"":394,""final_row"":1,""not_selected"":1971}"	16	629f4102cc213b28c3a039a828cc88c7d0e9762d2b82e40a5cb9a43dbc292c97	814f9f99aa54a0e38a4ebf2a21a66ce677b2e894663f426b1eb12d76c52059b5
v2reg_hq01_ht01__repeat01	hq01_ht01__repeat01	hq01	ht01	1	1	0	0	0	0	2628	657	657	1	1	cd5c7362cfeaefc37a2e744238acabca4e6fc78e07086caf765b7b68cec86bce	1	1	1	1	1	1	0	0	1	0.0232208	0.00719655	0.00684312	0.00229111	0.2734005420934409	159408	available	1	54.0	"{""best_fallback"":35,""last"":15,""not_selected_after_threshold"":1821,""not_selected_lower_score"":150,""threshold"":607}"	"{""best_fallback"":33,""last"":17,""not_selected"":1971,""threshold"":607}"	"{""converted_not_final"":262,""emitted_not_converted"":394,""final_row"":1,""not_selected"":1971}"	16	fb27b270c9cdf82a2858d762f12c9f1ab22a495b5f51ebef13dbd0b4dabbc4aa	6fa3813a3a564bad8c57918b902332a0c786a2e646c2338d9799590cfafb4dea
v2reg_hq01_ht01__repeat02	hq01_ht01__repeat02	hq01	ht01	2	0	0	0	0	0	2628	657	657	1	1	cd5c7362cfeaefc37a2e744238acabca4e6fc78e07086caf765b7b68cec86bce	1	1	1	1	1	1	0	0	1	0.0232665	0.00707505	0.00672879	0.00221772	0.232349697034806	159440	available	1	494.0	"{""best_fallback"":35,""last"":15,""not_selected_after_threshold"":1821,""not_selected_lower_score"":150,""threshold"":607}"	"{""best_fallback"":33,""last"":17,""not_selected"":1971,""threshold"":607}"	"{""converted_not_final"":262,""emitted_not_converted"":394,""final_row"":1,""not_selected"":1971}"	16	e91e0f91c219d8474f4692fe3022108adb64883d088779b2a941608842ec5156	501bc6399bb2c01077f5626121a3e7118b2248e2eee312dcccd1d196221ecf54
v2reg_hq01_ht02__repeat00	hq01_ht02__repeat00	hq01	ht02	0	1	0	0	0	0	3108	777	777	1	1	89fade6245de4ab6d75665e968b09d7aed26ef4bf076b49196c77c915b4cd393	1	1	1	1	1	1	0	0	1	0.025559	0.0192926	0.0184036	0.00413841	0.31111962301656604	159424	available	1	37.0	"{""best_fallback"":33,""last"":15,""not_selected_after_threshold"":2187,""not_selected_lower_score"":144,""threshold"":729}"	"{""best_fallback"":33,""last"":15,""not_selected"":2331,""threshold"":729}"	"{""converted_not_final"":278,""emitted_not_converted"":498,""final_row"":1,""not_selected"":2331}"	16	f1ab31ae673ecdf1aedbc041b8d5ebbc76dcefc393a4d162a56bcb00c2fb6f9d	c6524c8f292cd91ace995b6b16cf6feef41dde22f5302412ba278ba09094c3b6
v2reg_hq01_ht02__repeat01	hq01_ht02__repeat01	hq01	ht02	1	0	0	0	0	0	3108	777	777	1	1	89fade6245de4ab6d75665e968b09d7aed26ef4bf076b49196c77c915b4cd393	1	1	1	1	1	1	0	0	1	0.0236968	0.00792459	0.00753046	0.00241556	0.24363785493187606	159512	available	1	494.0	"{""best_fallback"":33,""last"":15,""not_selected_after_threshold"":2187,""not_selected_lower_score"":144,""threshold"":729}"	"{""best_fallback"":33,""last"":15,""not_selected"":2331,""threshold"":729}"	"{""converted_not_final"":278,""emitted_not_converted"":498,""final_row"":1,""not_selected"":2331}"	16	ae09d7aada20f59a26b0037a14c46a285a97ed705dbbafae9070ebf3ad495736	d898151a895934e81e0829c1bfa272f8e55e532d1ee8c9b300d3069aaf81a23c
v2reg_hq01_ht02__repeat02	hq01_ht02__repeat02	hq01	ht02	2	1	0	0	0	0	3108	777	777	1	1	89fade6245de4ab6d75665e968b09d7aed26ef4bf076b49196c77c915b4cd393	1	1	1	1	1	1	0	0	1	0.0235095	0.0076632	0.00728584	0.00234391	0.26770388102158904	159524	available	1	54.0	"{""best_fallback"":33,""last"":15,""not_selected_after_threshold"":2187,""not_selected_lower_score"":144,""threshold"":729}"	"{""best_fallback"":33,""last"":15,""not_selected"":2331,""threshold"":729}"	"{""converted_not_final"":278,""emitted_not_converted"":498,""final_row"":1,""not_selected"":2331}"	16	db9cfef5f183eb93a2f782372e1423ba6b965f10d573c4060e5c94ff43a62f4e	caf7d2bffd0742da44b366aea023f6a4cb089eb54c7ec8d9d7b3fc414bd0ed93
v2reg_hq02_ht01__repeat00	hq02_ht01__repeat00	hq02	ht01	0	0	0	0	0	0	2476	619	619	2	2	f62a26e10a6f70faa3200db206b9dd4772bf58fc4187e03d2c1a0bfd56a1e5c9	1	1	1	1	1	1	0	0	1	0.0199403	0.00556613	0.00525421	0.00306052	0.2513701422140002	148116	available	1	494.0	"{""best_fallback"":34,""last"":10,""not_selected_after_threshold"":1725,""not_selected_lower_score"":132,""threshold"":575}"	"{""best_fallback"":34,""last"":10,""not_selected"":1857,""threshold"":575}"	"{""converted_not_final"":428,""emitted_not_converted"":189,""final_row"":2,""not_selected"":1857}"	16	6f84a8e6bbe3e9f3da9d958621b210f0bc22f2efa94671b4126c7747a11d9c75	4230f6c11fcc0799e223df2e5daca12a8b17fd67fb6bcaf2caf5e85aceedf91d
v2reg_hq02_ht02__repeat00	hq02_ht02__repeat00	hq02	ht02	0	1	0	0	0	0	2200	550	550	7	7	d659e968a606ed377716dcdba519de486b8914178d7531786dcc936ec5cc8a26	1	1	1	1	1	1	0	0	1	0.0198712	0.00497115	0.00469441	0.00249558	0.26836600713431835	147876	available	1	54.0	"{""best_fallback"":14,""last"":11,""not_selected_after_threshold"":1575,""not_selected_lower_score"":75,""threshold"":525}"	"{""best_fallback"":14,""last"":11,""not_selected"":1650,""threshold"":525}"	"{""converted_not_final"":329,""emitted_not_converted"":214,""final_row"":7,""not_selected"":1650}"	16	d27a1ca80afa959bed4aff649d62aca94943fb3b629c5b58449fb474e891ea4a	698b975332a99441f549cd63ae725d5863400cc8d46edf29a5ea552c59b4be08
v2reg_hq03_ht01__repeat00	hq03_ht01__repeat00	hq03	ht01	0	0	0	0	0	0	3080	770	770	4	4	e19b3f067d38cfacb547748f92ba4bc4345dd68129d46997b7da381b1d0f7ab5	1	1	1	1	1	1	0	0	1	0.022274	0.00747833	0.00710801	0.00231445	0.2466506171040237	153880	available	1	494.0	"{""best_fallback"":33,""last"":13,""not_selected_after_threshold"":2172,""not_selected_lower_score"":138,""threshold"":724}"	"{""best_fallback"":33,""last"":13,""not_selected"":2310,""threshold"":724}"	"{""converted_not_final"":278,""emitted_not_converted"":488,""final_row"":4,""not_selected"":2310}"	16	c49c66e3651d7aa8468ce11b584447bd60f0c38fc9a5b5face54ecc22d5e11fa	302af6a1128187029d656d999eb8d6529b38afe3596f87537320b4507a2fa31b
v2reg_hq03_ht02__repeat00	hq03_ht02__repeat00	hq03	ht02	0	1	0	0	0	0	3336	834	834	4	4	489b523b59313e23fbef6b3f4c54b548db469a4db10764320fae99aa75619076	1	1	1	1	1	1	0	0	1	0.0216601	0.00809661	0.00767739	0.00256983	0.2660736490506679	153864	available	1	37.0	"{""best_fallback"":56,""last"":19,""not_selected_after_threshold"":2277,""not_selected_lower_score"":225,""threshold"":759}"	"{""best_fallback"":55,""last"":20,""not_selected"":2502,""threshold"":759}"	"{""converted_not_final"":325,""emitted_not_converted"":505,""final_row"":4,""not_selected"":2502}"	16	7300200304731b75114361a9b0aa45690752d559b1e147b91220650b2e1c108f	4e2834f540c45d8879826067e12a8c19ddb7df9edcbb9ddeece13f9821731c0f
