comparison_id	dataset_class	workload_id	repeat_id	ranking_mode	mode_classifications	detail_kind	authority_index	candidate_index	authority_rank	candidate_rank	authority_site_digest	candidate_site_digest	target_overlap	query_representative_overlap	query_cluster_overlap	ungapped_tfo_equal	ungapped_tts_equal	target_endpoint_l1	query_endpoint_l1	cluster_center_distance	query_endpoint_shift	target_endpoint_shift	cluster_geometry_shift	rank_displacement	score_delta_candidate_minus_authority	nt_delta_candidate_minus_authority	stability_delta_candidate_minus_authority	strict_row_equal
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	score		matched	0	0	1	1	45e43d199af202fc12c1f35dd1be35d71a02c46e0eefeb4fecc3554bf2ea56d3	45e43d199af202fc12c1f35dd1be35d71a02c46e0eefeb4fecc3554bf2ea56d3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	score		matched	1	1	2	2	b029888766f77476d0bbae7ebe279d5c267e98b278a2944cf85402266bbe232d	b029888766f77476d0bbae7ebe279d5c267e98b278a2944cf85402266bbe232d	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	score		matched	2	2	3	3	9b4b79c759894983f375a3542d46ee060172a252c01874c41cd51881f2b295f4	9b4b79c759894983f375a3542d46ee060172a252c01874c41cd51881f2b295f4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	score		matched	3	3	4	4	79b469ed3492099071f02046c396f2e0cd3fdb53e0ecd44ba3fec911a0d7741d	79b469ed3492099071f02046c396f2e0cd3fdb53e0ecd44ba3fec911a0d7741d	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	stability		matched	0	0	1	1	1faa83cc92ab5ce30ba4a2a3a2c0fad3103c7ef2174fcdc0f309a6d7f859469f	1faa83cc92ab5ce30ba4a2a3a2c0fad3103c7ef2174fcdc0f309a6d7f859469f	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	stability		matched	1	1	2	2	79b469ed3492099071f02046c396f2e0cd3fdb53e0ecd44ba3fec911a0d7741d	79b469ed3492099071f02046c396f2e0cd3fdb53e0ecd44ba3fec911a0d7741d	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	stability		matched	2	2	3	3	a477ca62d98c90ca3e14c9fd3295df05106bfe91bd43da48dae0df93e9f9cda4	a477ca62d98c90ca3e14c9fd3295df05106bfe91bd43da48dae0df93e9f9cda4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	stability		matched	3	3	4	4	9b4b79c759894983f375a3542d46ee060172a252c01874c41cd51881f2b295f4	9b4b79c759894983f375a3542d46ee060172a252c01874c41cd51881f2b295f4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	nt		matched	0	0	1	1	d3e4a7ddda6f64bb47f1f87f132e54391e7936baa7d579c3bad8dcc83d551f31	d3e4a7ddda6f64bb47f1f87f132e54391e7936baa7d579c3bad8dcc83d551f31	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	nt		matched	1	1	2	2	b029888766f77476d0bbae7ebe279d5c267e98b278a2944cf85402266bbe232d	b029888766f77476d0bbae7ebe279d5c267e98b278a2944cf85402266bbe232d	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	nt		matched	2	2	3	3	79b469ed3492099071f02046c396f2e0cd3fdb53e0ecd44ba3fec911a0d7741d	79b469ed3492099071f02046c396f2e0cd3fdb53e0ecd44ba3fec911a0d7741d	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	nt		matched	3	3	4	4	9b4b79c759894983f375a3542d46ee060172a252c01874c41cd51881f2b295f4	9b4b79c759894983f375a3542d46ee060172a252c01874c41cd51881f2b295f4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	1	score		matched	0	0	1	1	45e43d199af202fc12c1f35dd1be35d71a02c46e0eefeb4fecc3554bf2ea56d3	45e43d199af202fc12c1f35dd1be35d71a02c46e0eefeb4fecc3554bf2ea56d3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	1	score		matched	1	1	2	2	b029888766f77476d0bbae7ebe279d5c267e98b278a2944cf85402266bbe232d	b029888766f77476d0bbae7ebe279d5c267e98b278a2944cf85402266bbe232d	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	1	score		matched	2	2	3	3	9b4b79c759894983f375a3542d46ee060172a252c01874c41cd51881f2b295f4	9b4b79c759894983f375a3542d46ee060172a252c01874c41cd51881f2b295f4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
canonical_hybrid_v2_former_fresh:vh001__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	1	score		matched	3	3	4	4	79b469ed3492099071f02046c396f2e0cd3fdb53e0ecd44ba3fec911a0d7741d	79b469ed3492099071f02046c396f2e0cd3fdb53e0ecd44ba3fec911a0d7741d	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
