failure_id	validation_instance_id	workload_id	repeat_id	primary_instance	attempt_id	arm	failure_class	failure_reason	missing_output	input_identity_mismatch	ambiguous_matching	unexpected_fallback	retained_in_binary_denominator	replacement_or_retry_used	evidence_role
failure_001	r1_bt3_w077__repeat00	bt3_w077	0	1	r1_bt3_w077__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_002	r1_bt3_w079__repeat00	bt3_w079	0	1	r1_bt3_w079__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_003	r1_bt3_w079__repeat00	bt3_w079	0	1	r1_bt3_w079__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_004	r1_bt3_w081__repeat00	bt3_w081	0	1	r1_bt3_w081__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_005	r1_bt3_w081__repeat00	bt3_w081	0	1	r1_bt3_w081__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_006	r1_bt3_w082__repeat00	bt3_w082	0	1	r1_bt3_w082__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_007	r1_bt3_w082__repeat00	bt3_w082	0	1	r1_bt3_w082__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_008	r1_bt3_w083__repeat00	bt3_w083	0	1	r1_bt3_w083__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_009	r1_bt3_w083__repeat00	bt3_w083	0	1	r1_bt3_w083__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_010	r1_bt3_w084__repeat00	bt3_w084	0	1	r1_bt3_w084__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_011	r1_bt3_w084__repeat00	bt3_w084	0	1	r1_bt3_w084__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_012	r1_bt3_w085__repeat00	bt3_w085	0	1	r1_bt3_w085__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_013	r1_bt3_w085__repeat00	bt3_w085	0	1	r1_bt3_w085__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_014	r1_bt3_w086__repeat00	bt3_w086	0	1	r1_bt3_w086__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_015	r1_bt3_w086__repeat00	bt3_w086	0	1	r1_bt3_w086__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_016	r1_bt3_w087__repeat00	bt3_w087	0	1	r1_bt3_w087__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_017	r1_bt3_w087__repeat00	bt3_w087	0	1	r1_bt3_w087__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
