validation_instance_id	repeat_id	primary_instance	workload_id	ranking_mode	mode_classifications	detail_kind	authority_index	candidate_index	authority_rank	candidate_rank	authority_site_digest	candidate_site_digest	target_overlap	query_representative_overlap	query_cluster_overlap	ungapped_tfo_equal	ungapped_tts_equal	target_endpoint_l1	query_endpoint_l1	cluster_center_distance	query_endpoint_shift	target_endpoint_shift	cluster_geometry_shift	rank_displacement	score_delta_candidate_minus_authority	nt_delta_candidate_minus_authority	stability_delta_candidate_minus_authority	strict_row_equal
bts3_w001__repeat00	0	1	bts3_w001	score	true candidate-site substitution;extra candidate site;missing candidate site;strict-row diagnostic mismatch	matched	0	0	1	1	323b67450a9e23f382e3d2b1b92a1bb39e11ba673cc0b2e48dc2d8e8c94df630	323b67450a9e23f382e3d2b1b92a1bb39e11ba673cc0b2e48dc2d8e8c94df630	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w001__repeat00	0	1	bts3_w001	score	true candidate-site substitution;extra candidate site;missing candidate site;strict-row diagnostic mismatch	matched	1	1	2	2	3f9192546afe4dc469fcfbc6592a8302ecb48c252df947ab2a03bf5a565b559f	3f9192546afe4dc469fcfbc6592a8302ecb48c252df947ab2a03bf5a565b559f	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w001__repeat00	0	1	bts3_w001	score	true candidate-site substitution;extra candidate site;missing candidate site;strict-row diagnostic mismatch	matched	2	2	3	3	8f06d62e95d4ae4a74c2ee8b6d397e7ddb02b20a5d8a9e78dbf4028616bd65f9	8f06d62e95d4ae4a74c2ee8b6d397e7ddb02b20a5d8a9e78dbf4028616bd65f9	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w001__repeat00	0	1	bts3_w001	score	true candidate-site substitution;extra candidate site;missing candidate site;strict-row diagnostic mismatch	matched	3	3	4	4	551fc5f4f96863ae6d393a50a6e3c217b6c06e513d637467922eb387bd1d2b66	551fc5f4f96863ae6d393a50a6e3c217b6c06e513d637467922eb387bd1d2b66	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w001__repeat00	0	1	bts3_w001	score	true candidate-site substitution;extra candidate site;missing candidate site;strict-row diagnostic mismatch	unmatched_authority	4	NA	5	NA	ca17091dd319602e9d3121082c34aa69f72f0dbc883a66f185dd3262f8cc00a1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bts3_w001__repeat00	0	1	bts3_w001	score	true candidate-site substitution;extra candidate site;missing candidate site;strict-row diagnostic mismatch	unmatched_candidate	NA	4	NA	5	NA	4122c5b5d49b8176659adda5c83d1589610a08307c643e36e7b96ba6ccc6fa4e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bts3_w001__repeat00	0	1	bts3_w001	stability	same candidate site endpoint shift	matched	0	0	1	1	0e7c4075b6728908239cd821287f0347c8e6f57d0487143953618e53dc30a07e	980f28420f94613ac238ef71a0781ea9eb3287c6b73d5ef2b82485dfb31c9fc3	1	1	1	1	1	0	0	3	0	0	1	0	0	0	0	1
bts3_w001__repeat00	0	1	bts3_w001	stability	same candidate site endpoint shift	matched	1	1	2	2	6056b45f2b3bb5efccd81cabf080e7dc4a79a1a039ffbe71942c7217eebb1e61	234492e3f9da5b4dbbd0268a258b8a68100be12645b8336f5bb1cbb32fde44c4	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1
bts3_w001__repeat00	0	1	bts3_w001	stability	same candidate site endpoint shift	matched	2	2	3	3	3faa369ac82a616c17406c7577f91c3ba653f784f463ab2161cc50114304a73b	3faa369ac82a616c17406c7577f91c3ba653f784f463ab2161cc50114304a73b	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w001__repeat00	0	1	bts3_w001	stability	same candidate site endpoint shift	matched	3	3	4	4	5e8fc27c2f01e1db95415b1f3b3a6025e3375fc3a68e1388777f60d36af4038b	5e8fc27c2f01e1db95415b1f3b3a6025e3375fc3a68e1388777f60d36af4038b	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
