attempt_id	execution_order	case_id	repeat_id	trace_mode	trace_filter	full_columns	timeout_seconds	retry_policy	formal_source_data	expected_artifact_root	status
hq10_ht02__repeat00__trace_off	1	hq10_ht02	0	trace_off	none	0	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat00/trace_off	preregistered_not_run
hq10_ht02__repeat00__trace_on	2	hq10_ht02	0	trace_on	prealign-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0,call-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0-si000003-ir00-ts00000512-cl00000069	1	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat00/trace_on	preregistered_not_run
hq10_ht02__repeat01__trace_off	3	hq10_ht02	1	trace_off	none	0	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat01/trace_off	preregistered_not_run
hq10_ht02__repeat01__trace_on	4	hq10_ht02	1	trace_on	prealign-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0,call-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0-si000003-ir00-ts00000512-cl00000069	1	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat01/trace_on	preregistered_not_run
hq10_ht02__repeat02__trace_off	5	hq10_ht02	2	trace_off	none	0	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat02/trace_off	preregistered_not_run
hq10_ht02__repeat02__trace_on	6	hq10_ht02	2	trace_on	prealign-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0,call-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0-si000003-ir00-ts00000512-cl00000069	1	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat02/trace_on	preregistered_not_run
hq10_ht02__repeat03__trace_off	7	hq10_ht02	3	trace_off	none	0	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat03/trace_off	preregistered_not_run
hq10_ht02__repeat03__trace_on	8	hq10_ht02	3	trace_on	prealign-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0,call-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0-si000003-ir00-ts00000512-cl00000069	1	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat03/trace_on	preregistered_not_run
hq10_ht02__repeat04__trace_off	9	hq10_ht02	4	trace_off	none	0	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat04/trace_off	preregistered_not_run
hq10_ht02__repeat04__trace_on	10	hq10_ht02	4	trace_on	prealign-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0,call-w-q01acbd4cee56dd64-tbad996453287e5a7-d0-r5-s0-si000003-ir00-ts00000512-cl00000069	1	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat04/trace_on	preregistered_not_run
hq11_ht02__repeat00__trace_off	11	hq11_ht02	0	trace_off	none	0	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat00/trace_off	preregistered_not_run
hq11_ht02__repeat00__trace_on	12	hq11_ht02	0	trace_on	prealign-w-q87ef68ef65c6f964-td6ea623950cc9d8a-d0-r12-s1,call-w-q87ef68ef65c6f964-td6ea623950cc9d8a-d0-r12-s1-si000017-ir00-ts00002169-cl00000084	1	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat00/trace_on	preregistered_not_run
hq11_ht02__repeat01__trace_off	13	hq11_ht02	1	trace_off	none	0	120	none	1	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat01/trace_off	preregistered_not_run
