attempt_id	execution_stage	workload_id	workload_class	observation_id	cache_state	device	status	returncode	timed_out	wall_seconds	authority_reference_wall_seconds	checkpoint_reference_ratio	max_rss_kib	gpu_sample_count	gpu_memory_peak_mib	gpu_temperature_peak_c	gpu_power_peak_w	query_file_sha256	target_file_sha256	pair_digest	binary_sha256	environment_sha256	hardware_identity_sha256	source_commit	output_digest	reference_output_digest	full_output_equal_diagnostic	raw_score_top5_equal	raw_stability_top5_equal	raw_nt_top5_equal	clustered_score_top5_equal	clustered_stability_top5_equal	clustered_nt_top5_equal	all_three_top5_equal	boundary_ties_equal	baseline_rows	candidate_rows	full_missing_rows	full_extra_rows	baseline_boundary_tie_groups	candidate_boundary_tie_groups	representative_conflict_clusters	candidate_representative_conflict_clusters	comparison_status	comparison_error	declared_contract_clean	flushes	tasks	scoreinfos	attempts	selected	cpu_prealign_calls	cpu_forward_calls	cpu_reverse_calls	cpu_banded_sw_calls	cpu_continuation_calls	cpu_failures	fallback_calls	gpu_preselect_seconds	gpu_forward_seconds	attempt_planning_seconds	attempt_selection_seconds	gpu_packing_seconds	gpu_h2d_seconds	gpu_prealign_kernel_seconds	gpu_selection_kernel_seconds	gpu_forward_kernel_seconds	gpu_endpoint_reduce_seconds	gpu_d2h_seconds	gpu_unattributed_overhead_seconds	host_input_bytes	device_input_bytes	device_workspace_peak_bytes	device_output_bytes	backend_total_seconds	cpu_substring_seconds	cpu_continuation_seconds	cpu_reverse_start_seconds	cpu_banded_traceback_seconds	cpu_cigar_seconds	downstream_conversion_seconds	cluster_sort_seconds	filter_seconds	telemetry_error	attempt_receipt_sha256	comparison_receipt_sha256
p7v2c_hq01_ht01	correctness_regression	hq01_ht01	consumed_le_800	0	not_requested	0	complete	0	0	0.730314988876			100384	3	879	29	49.8	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	3d6578127c572d05bf0f2c5408f1e6131a417cb3d194644047bc462b4f46b1d8	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	b2fd10acc735bed1899bb066e2280e088808f143200ee8b4f1d7a09d010d00f7	264e263de7c895bcbbe3b2a01fbdef419d291428086c54471663c3217f0d5c5a	f3ffe9b188c43ef0bff78a903176f991c493f2b8	d8acbc2f725e7cb07940638ee4106f9a2241dd8f90fb7b6ba5c14d53a95b35d2	ee8c2cc502c14c94b8590a63b4c5f5cf8c7740baa5c4f2b814829cc3c9642064	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	clean	none	1	3	48	657	2628	657	0	0	657	657	657	0	0	0.49677932899999999	0.032224906999999997	0.00088671600000000007	7.6816000000000005e-05	0.00087949899999999995	0.00038495000000000001	0.36041666900000002	0.0016935959999999999	0.030735720000000001	0	0.00010701600000000001	0.13478678599999996	1472009	1472009	8859648	922472	0.53189581399999997	2.8302000000000004e-05	0.0047282560000000001	0.0013498770000000008	0.0007870869999999999	0.00080816799999999984	0.0015947470000000001	5.6342999999999999e-05	5.7089999999999999e-06	none	d7d213fa4dcc67d768b4ee9110e987cab5fc30920a59f7feb59ce90cb817e7b6	53ab7ef7bbb01bcca5d7195a0a3895256e6e1bd4a321db42716d3946a1830f02
p7v2c_hq01_ht02	correctness_regression	hq01_ht02	consumed_le_800	0	not_requested	1	complete	0	0	0.754972507944			100552	3	428	26	39	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	128ab708209c6e874b73a9f7246742068c19c8763c7376d5b846f4373d504d2c	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	f5c071f979ba7ac8daf1fb156064af86f8ef75a82b18b1fb355c78b73567df38	cee9a9af3dc60d840630a95cb513b04a77c7f0550086613e245db67fd7a00e34	f3ffe9b188c43ef0bff78a903176f991c493f2b8	fa67b36423634ff5bbf1d38f7e66c0fd8f96ab17e9bd5edbfcb0b206f25c4224	c578cab03a4db8b077350b5b3f4a42cc83f95683aff0d6211b17a303b16300b8	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	clean	none	1	3	48	777	3108	777	0	0	777	777	777	0	0	0.50849459399999997	0.033639485000000004	0.001056389	6.411399999999999e-05	0.001111204	0.00043701899999999997	0.36553449300000002	0.0017551120000000001	0.031851734	0	0.000109073	0.14133544399999998	1711264	1711264	9691136	989092	0.54554009400000003	2.9296999999999994e-05	0.0051156070000000003	0.0013774499999999999	0.00072067299999999991	0.00074562200000000015	0.0016263969999999995	5.9544000000000005e-05	8.1129999999999984e-06	none	47e1cb393cf54a84bf583161728f429a6c461fbdcab0596d5497f0d8e6824774	58b4a9f53a9b5f89a81cd102878f5d39a4a190bd0ee662ffc2d19bc98ab8c97c
p7v2c_hq02_ht01	correctness_regression	hq02_ht01	consumed_le_800	0	not_requested	0	complete	0	0	0.464941285783			99408	2	869	29	57.24	4350bf870072265c11088a52eb8190c138d0e59aade2e798e017c317b3304525	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	c423cfc7d0eb2f4f13e83bee15e67fcefb23055eeac9e747cac5e14f73d1b15f	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	20360219c771262fd8c591e311ab7f1a7d5b009d17330cb06f58de556c2a2e71	264e263de7c895bcbbe3b2a01fbdef419d291428086c54471663c3217f0d5c5a	f3ffe9b188c43ef0bff78a903176f991c493f2b8	c13b3bcb809fb8717c2989db2acfdc6bbde6849a67b2ab8c8ab11337a1121954	738fdb8f727a7ad82e4681df5d32035f6dd5589adb293f5904bdef9578300e0f	0	1	1	1	1	1	1	1	1	2	2	0	0	0	0	1	1	clean	none	1	3	48	619	2476	619	0	0	619	619	619	0	0	0.34328425899999998	0.017717006	0.00079397499999999993	5.0387000000000004e-05	0.00063020299999999997	0.00030311800000000001	0.22544498300000002	0.0016790400000000001	0.016580408000000001	0	9.7848000000000002e-05	0.11626566499999998	979837	979837	4460544	881392	0.36347511799999999	2.6286000000000002e-05	0.0038561710000000011	0.0013704709999999998	0.00071719800000000005	0.0007369140000000003	0.0018814060000000006	9.3731000000000001e-05	9.426999999999998e-06	none	ac59b620d0cf8b126270c01c0d287374c2ea6b14317fb81882cf33cab7f02809	35bdf40fca6df8b2a88e95af33a072af4f7b1afc84fc1cb889fb82c18db04ab1
p7v2c_hq02_ht02	correctness_regression	hq02_ht02	consumed_le_800	0	not_requested	1	complete	0	0	0.744471376995			99488	3	428	27	67.21	4350bf870072265c11088a52eb8190c138d0e59aade2e798e017c317b3304525	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	a4a21472e182a1c3a74c5b07603529e8881f0e78706db692700333d40ca6ef66	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	535b3fcc7095461724705d859326bf8bbed3011bd2526e8aff2e96d98b9bc8e2	cee9a9af3dc60d840630a95cb513b04a77c7f0550086613e245db67fd7a00e34	f3ffe9b188c43ef0bff78a903176f991c493f2b8	8c4f28fa415978d78a01c7304c03e5ac2346dec553ad9b1e960e87d85e8d6127	38d75975c9d5cc64595c87ee5cab4b339b7d1843ac30e698833b9fc6fe37197e	0	1	1	1	1	1	1	1	1	7	7	0	0	0	0	1	1	clean	none	1	3	48	550	2200	550	0	0	550	550	550	0	0	0.37317684700000003	0.018113607	0.00069854599999999998	4.6972000000000004e-05	0.000540337	0.000301093	0.227394227	0.0016925200000000001	0.017061402	0	9.4804999999999998e-05	0.14420607000000002	884895	884895	3575808	833652	0.39357836899999998	2.2419999999999989e-05	0.0033389930000000002	0.0011878869999999999	0.00060160599999999997	0.00061921500000000022	0.0015148400000000002	7.1927000000000018e-05	9.9000000000000018e-06	none	35daee5fd07b725efb07a00d372f253dc8df6b60863e682df85ae04a75e6d7be	34a0d709fe6f4a0b70fa7edbae4bcaaea0bbc47656ab9c620f66ab7589eb458e
p7v2c_hq03_ht01	correctness_regression	hq03_ht01	consumed_le_800	0	not_requested	0	complete	0	0	0.493338332977			100656	2	869	29	58.94	2d5c1f90ec02adea0810e86d405d9cb289141fc278ee5a13c76ec2434898ad43	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	12e7337226ba5e2036741bbe1e7653417baf2d00acabd8bf27a6be950ff87c84	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	d72bfa767eb0b53d2e6e9242274a551c816786596a50d45dc592e29d1f89b4d6	264e263de7c895bcbbe3b2a01fbdef419d291428086c54471663c3217f0d5c5a	f3ffe9b188c43ef0bff78a903176f991c493f2b8	b2203ec1912955f8940d55e22f9258c4fa795d30085f40217d5e19443ac4f061	70f19a362af0d7d85513a48afe232cc42dbab94f6fb627a8a3d4631636dfac66	0	1	1	1	1	1	1	1	1	4	4	0	0	0	0	1	1	clean	none	1	3	48	770	3080	770	0	0	770	770	770	0	0	0.32826815399999998	0.025963460000000001	0.001001633	6.9761999999999987e-05	0.00097728900000000011	0.00037985900000000002	0.21404152299999998	0.0017018959999999996	0.024379195999999999	0	0.00010285600000000001	0.11264899500000004	1416069	1416069	9444352	948796	0.35708475299999998	2.8890000000000006e-05	0.0052870260000000002	0.0020014019999999998	0.00073275700000000011	0.00075678799999999999	0.0015598340000000004	6.2203999999999989e-05	9.473999999999996e-06	none	a1bcef42f449b1091ef63747ef6fcf6f17d62fc6f3e2a183532eef31db21a3a7	502b45492548a253ddb4c9a5dbba2e3b76d57f47a3a8317aeebad6d97340d218
p7v2c_hq03_ht02	correctness_regression	hq03_ht02	consumed_le_800	0	not_requested	1	complete	0	0	0.502863163827			100744	2	428	27	66.41	2d5c1f90ec02adea0810e86d405d9cb289141fc278ee5a13c76ec2434898ad43	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	8219b8eb9afa978d47cbc652dcf9a859c118bb2648dea3c2f71c3396cbe38bf4	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	10473667da42449012174c8a70e4d19b94aa25fcffb115324f35cb4cef96c64a	cee9a9af3dc60d840630a95cb513b04a77c7f0550086613e245db67fd7a00e34	f3ffe9b188c43ef0bff78a903176f991c493f2b8	5ef730f33c7228a10d87b03230c4c5e08dc5d6d11f1008ed09009db7d7673106	1fef52c27c0fc092da9461c3371262a154e49dea5f3b10805796d9e1c75eb26c	0	1	1	1	1	1	1	1	1	4	4	0	0	0	0	1	1	clean	none	1	3	48	834	3336	834	0	0	834	834	834	0	0	0.35261958900000001	0.026498909000000001	0.0011252570000000002	6.3482e-05	0.00111663	0.00040433800000000002	0.21584958700000001	0.0017198869999999998	0.024761008000000001	0	0.000105253	0.13516179500000003	1524490	1524490	10174464	996688	0.38219338999999997	4.628899999999999e-05	0.005841067000000001	0.0022311459999999998	0.00083759800000000005	0.00086389300000000023	0.0017274119999999998	6.9097000000000006e-05	1.3087999999999999e-05	none	c8aef69fd7c61c0ba55ff59d1111a089d04d20a5ff26e30247998318aa6ad7f5	29a07e8fe1fb1f08891e6ce7e6ae79ae0dfbd1da81a04416794966a37cfa3abe
p7v2c_hq04_ht01	correctness_regression	hq04_ht01	consumed_le_800	0	not_requested	0	complete	0	0	0.803001065971			99792	3	869	29	61.47	d362aa46a045be67df64fd327dea74ed06a0f222dc318075c72ee0048125dc96	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	ed69270435cfa321facc3b44763068a5a9d09af4fbdc7db1f8552b97e69e2f03	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	5da45894b347aafd18cead00363718d53dc8beeb474660e5b4480894423afd9b	264e263de7c895bcbbe3b2a01fbdef419d291428086c54471663c3217f0d5c5a	f3ffe9b188c43ef0bff78a903176f991c493f2b8	2196fb17082c7aa3bda8dfd05d03ea67921917a8f5176f0a8c47776e2739fa54	137b23ac82bdc80dba1536192f6fbf6be7070c80c501c9ba6813362f7fcbf9da	0	1	1	1	1	1	1	1	1	8	8	0	0	0	0	1	1	clean	none	1	3	48	492	1968	492	0	0	492	492	492	0	0	0.44099118700000001	0.034906026	0.00067042700000000002	4.0652000000000003e-05	0.00079350600000000003	0.00034639100000000004	0.30592189199999997	0.0016793400000000001	0.033535532	0	0.00010684800000000002	0.13351370399999996	1244277	1244277	5586944	824580	0.47854195700000002	2.2103000000000005e-05	0.0041659280000000002	0.0014361860000000001	0.00067488899999999991	0.00069085499999999998	0.001634747	7.0340999999999996e-05	5.6020000000000016e-06	none	d68fd506d2efb0e4256787d8614bdfcb97188063223095d10613f9bed2d89f70	125e941ecc7eda5860446f6aa20001b5114ab8cdd4bda20f3d99e65ede23ef4c
p7v2c_hq04_ht02	correctness_regression	hq04_ht02	consumed_le_800	0	not_requested	1	complete	0	0	0.710588157875			99712	3	434	27	66.98	d362aa46a045be67df64fd327dea74ed06a0f222dc318075c72ee0048125dc96	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	5a6830a0810f729009aa9873dc1842822546bbec005ac4a48a84745727d02292	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	0d6d062a322470bda250cb6a0ed698059014b1b6f74b43d5f78d5a21e5adcc3c	cee9a9af3dc60d840630a95cb513b04a77c7f0550086613e245db67fd7a00e34	f3ffe9b188c43ef0bff78a903176f991c493f2b8	9af146a7cc475405539eed43035fc7f0685e4b5a58ba119c225ee6917f087f12	07f6ef0f18b0eee331a9dfcc7e7f13c025b8d7fbb13123d83af36cfb02de4f2b	0	1	1	1	1	1	1	1	1	10	10	0	0	0	0	1	1	clean	none	1	3	48	436	1744	436	0	0	436	436	436	0	0	0.443107837	0.038764513	0.00062277199999999995	3.9440000000000002e-05	0.00072545699999999999	0.00032641500000000004	0.30872988499999998	0.0016925	0.037497315000000003	0	9.8741999999999998e-05	0.13280203600000001	1121303	1121303	5206016	793900	0.48486083200000007	2.1550999999999991e-05	0.0039901230000000017	0.0013323220000000004	0.00066093100000000002	0.00067544999999999986	0.0016294369999999999	7.0858000000000019e-05	1.0147e-05	none	4811ecb6ad51b163652c1b923843f9b6c640fc5fe9f1587cf0dba8dea2c04a7a	b848d51977663afa8d8eed12ab89028c7c6033c767946fd74fd8a195bf88dae1
p7v2c_hq05_ht01	correctness_regression	hq05_ht01	consumed_801_1600	0	not_requested	0	complete	0	0	1.41103394795			102912	6	869	30	68.99	55f3941f733c2f0788dd8e104e9fc114d0a86c71c92aa879784cc6f79c285377	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	67cd1f206f370e911c66678a3ba921af2b04d6040bf81b170463bc2b5a2aec1c	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	b091f4fea565ee2a3c2de15ef2d46844c61dc5e3043f52ecfa448cbb9a534695	264e263de7c895bcbbe3b2a01fbdef419d291428086c54471663c3217f0d5c5a	f3ffe9b188c43ef0bff78a903176f991c493f2b8	b7f73dc67499d253cced214bfeae7f415ec8b3d8635e7a5f034666755354e961	1054e4d6f971d4ba5f45973a29749789aed8024adeea57a5a1baf5f1c81d5d55	0	1	1	1	1	1	1	1	1	24	24	0	0	0	0	2	2	clean	none	1	3	48	775	3100	775	0	0	775	775	775	0	0	0.96215204200000004	0.076524674000000001	0.0013349760000000001	7.0615000000000001e-05	0.0020327970000000002	0.00075252200000000004	0.84237141599999998	0.0017569740000000001	0.073449697000000008	0	0.00012039399999999999	0.11819291600000001	3440110	3440110	17332224	1094452	1.042736632	3.2409000000000008e-05	0.011993768000000002	0.0040644619999999987	0.0018010979999999999	0.0018268190000000004	0.0039466019999999996	0.00015308699999999999	9.2260000000000028e-06	none	37011c072ff4a20b171474a9b0d0de6b432b58287eea34f57246825b764fe1f3	72af3e9bc76e4396ef8caf4cf884f667acf1147ee86b398f16e76ceab5189b80
p7v2c_hq05_ht02	correctness_regression	hq05_ht02	consumed_801_1600	0	not_requested	1	complete	0	0	1.46486730501			102756	6	440	27	69.74	55f3941f733c2f0788dd8e104e9fc114d0a86c71c92aa879784cc6f79c285377	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	2595bf17ece2962fe0d2f7432c2c32c2b59ed4df6032764b85c536230d88923d	7dd339a452336e990ec38bcd856c61f45d16ffbd20251e9e0aae1e16d2ff0c59	2dca77b9653cd05af7619839d74a8d523ef19c4ee9cc4e009e965b5cbcee55cf	cee9a9af3dc60d840630a95cb513b04a77c7f0550086613e245db67fd7a00e34	f3ffe9b188c43ef0bff78a903176f991c493f2b8	7106f261e72d62a4ac620df02376863bb46a56af3f2832ab821cae0598dcbcc6	d2e84ad1268e8c64c8212215912705ab59f138aa82a45c89148f1a9e93862f4a	0	1	1	1	1	1	1	1	1	14	14	0	0	0	0	3	3	clean	none	1	3	48	645	2580	645	0	0	645	645	645	0	0	1.0182003630000001	0.079310129000000007	0.001050303	5.6628999999999996e-05	0.001929058	0.00068931900000000009	0.86252459800000003	0.001743374	0.076436142999999998	0	0.00011425500000000001	0.15407374500000001	2892780	2892780	17967104	997092	1.101082261	2.8839e-05	0.0098667020000000032	0.0033601620000000012	0.0014537179999999997	0.0014744230000000003	0.0031937009999999989	0.00012170400000000004	7.4749999999999987e-06	none	8ee17a9de8d126bd1dc1f708b6f3aea1999ae45b35acdc66a7847dd8465bc89e	4e9de403c73da10815734372df07d9433e8390e13cceb17b6b1dfb547256a9dd
