run_id	workload_id	role	query_id	query_length_nt	fragment_position	target_id	target_region	pair_id	mode	warmup	status	runtime_epoch	config_digest_sha256	wall_seconds	max_rss_kb	gpu_memory_peak_mib	gpu_temperature_peak_c	gpu_power_peak_w	receipt_path
g01_malat1_5p_1024_chr11__pair01__baseline__0	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	1	baseline	0	complete	0	cf01ecc79d34e265ae61597159bdc32ae12effee0904e22d92881e10b17c804c	50.296931123011746	207276	34.0	25.0	21.89	g01_malat1_5p_1024_chr11__pair01__baseline__0/run-complete.json
g01_malat1_5p_1024_chr11__pair01__candidate__0	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	1	candidate	0	complete	0	71cc2314166033cc813ed20218fbb751a83c593147add2d31c9c12f2d657bbba	4.225235744030215	533336	7375.0	30.0	88.9	g01_malat1_5p_1024_chr11__pair01__candidate__0/run-complete.json
g01_malat1_5p_1024_chr11__pair02__baseline__0	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	2	baseline	0	complete	0	28d414e2d0227ffa8361aabccf218432ffae8e7c15a4392957fe3de8968038fc	50.344283245969564	207308	34.0	25.0	21.84	g01_malat1_5p_1024_chr11__pair02__baseline__0/run-complete.json
g01_malat1_5p_1024_chr11__pair02__candidate__0	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	2	candidate	0	complete	0	14940bd3779b8259703906d5d3f877d1e4acd55f9aec660515422d70e0bff6ba	4.220571969985031	532944	7375.0	29.0	86.89	g01_malat1_5p_1024_chr11__pair02__candidate__0/run-complete.json
g01_malat1_5p_1024_chr11__pair03__baseline__0	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	3	baseline	0	complete	0	92ac31ad42e3e725498c02f9722abb6fd06c902794c14049bd33df0a1b8ea160	50.39797531394288	207416	34.0	25.0	21.83	g01_malat1_5p_1024_chr11__pair03__baseline__0/run-complete.json
g01_malat1_5p_1024_chr11__pair03__candidate__0	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	3	candidate	0	complete	0	6937eac60e7279ef36fdaaf954829b0ffc8dc82ce3c149cb820ead472d90ec9a	4.2264431529911235	533036	7375.0	33.0	86.92	g01_malat1_5p_1024_chr11__pair03__candidate__0/run-complete.json
g01_malat1_5p_1024_chr11__warmup__baseline__0	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	0	baseline	1	complete	0	bcd54ad556f0fe4ced0ddafc3bc7fb3b46e2eeb878f70be3dadc355f1acd5e60	50.29631640703883	207360	34.0	25.0	21.82	g01_malat1_5p_1024_chr11__warmup__baseline__0/run-complete.json
g01_malat1_5p_1024_chr11__warmup__candidate__0	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	0	candidate	1	complete	0	52769982e4d7c23452197d8a62b014001521ffc1b0a098548d9cf42c4e91e9e3	4.226437062956393	533344	7375.0	28.0	91.56	g01_malat1_5p_1024_chr11__warmup__candidate__0/run-complete.json
g02_malat1_mid_2048_chr21__pair01__baseline__0	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	1	baseline	0	complete	0	4c57aa3e6842af80097ee4a72c5bd91af620f234c159c834922e4e781f1e9c9d	79.21182026690803	206740	34.0	26.0	21.88	g02_malat1_mid_2048_chr21__pair01__baseline__0/run-complete.json
g02_malat1_mid_2048_chr21__pair01__candidate__0	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	1	candidate	0	complete	0	ae1fc1f23ba1dfad45464ad1bc74db77cf3962732a39ed1c3093b0f4e716a538	4.878783490974456	731660	15071.0	32.0	113.43	g02_malat1_mid_2048_chr21__pair01__candidate__0/run-complete.json
g02_malat1_mid_2048_chr21__pair02__baseline__0	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	2	baseline	0	complete	0	9e5326553d5a57e9449b38487c47cb4e9670e0d7532c94b12dc45e1714e3f50d	79.22012775903568	206908	34.0	26.0	21.9	g02_malat1_mid_2048_chr21__pair02__baseline__0/run-complete.json
g02_malat1_mid_2048_chr21__pair02__candidate__0	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	2	candidate	0	complete	0	60ff469bbf2fce3387be7e71f3b15c82b268bf3af86e1f699859b00f8b572ee4	4.885163879953325	731748	15071.0	33.0	121.65	g02_malat1_mid_2048_chr21__pair02__candidate__0/run-complete.json
g02_malat1_mid_2048_chr21__pair03__baseline__0	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	3	baseline	0	complete	0	768ed08f72fe0f39a57e95a526c0428e768f54ee49a9410993744a9b585e8285	79.21645827800967	206732	34.0	26.0	21.86	g02_malat1_mid_2048_chr21__pair03__baseline__0/run-complete.json
g02_malat1_mid_2048_chr21__pair03__candidate__0	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	3	candidate	0	complete	0	705bbee7bd8b2e84fc594c275fdab4daff754b813e6dcb2873f72095df4bf436	4.8783545850310475	731516	15071.0	33.0	122.36	g02_malat1_mid_2048_chr21__pair03__candidate__0/run-complete.json
g02_malat1_mid_2048_chr21__warmup__baseline__0	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	0	baseline	1	complete	0	07d3f6fcdc9ab4e98ba474f91f5bc7adb769cf8d21e953c9dffb7efcc73fc16c	79.16190768906381	206748	34.0	26.0	21.86	g02_malat1_mid_2048_chr21__warmup__baseline__0/run-complete.json
g02_malat1_mid_2048_chr21__warmup__candidate__0	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	0	candidate	1	complete	0	7c9d1873871028575bd5dfc8126ea37853c095d2659f7cf0d8a12b03e5b5efce	4.928305225097574	731456	15071.0	31.0	119.21	g02_malat1_mid_2048_chr21__warmup__candidate__0/run-complete.json
