record_type	query_ordinal_namespace	query_source_ordinal	target_ordinal_namespace	target_source_ordinal	query_id	target_id	query_sha256	target_sha256	query_region	target_region	pair_digest	source_receipt_path	exclusion_reason
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MALAT1	chr21_center_2mb	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	3330:5378	slice:22354991-24354991	6e580e3837305ce6e9f7c6b4fb5b0099e0dae7a49d7a0cad11bdaff3dec8a62c	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MALAT1	chr11_center_2mb	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	0:1024	slice:66543311-68543311	53690213b990678c42835db13eba6101d0cc72c6818d476c378b06aea5fd6c45	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MALAT1	malat1_dna	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	7690187d2d4c9bec15f9e0283b307c8f99b2b67d800a1a45a14310dda08641fd	0:8708	full	81df046f3dd562f349b6bd0b0c7f04feb1c35dc0547d0f63adb116e714d7c178	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MALAT1	chr22_center_2mb	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	5896:8708	slice:24409234-26409234	4adfef770b0acf0fbf58ffebb38533bec0b41732f9d919efe7e46b60e760117a	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	phase3_application_role_ordinal	18	phase3_application_role_ordinal	18	aq018	at0018	07ae97064a400ee56c62101571217354e114d7ec45a74e79d401c993e4d467ae	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	c5dac406a5b33f76eee4fb12eb5ff8bf277914584104a71ad3e7e0d008c4f602	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	18	phase3_application_role_ordinal	195	aq018	at0195	07ae97064a400ee56c62101571217354e114d7ec45a74e79d401c993e4d467ae	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	7b2cae835468ac89461c81937dc0c6f97695cbc0cd2864714bc696e67bbc63d4	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	18	phase3_application_role_ordinal	652	aq018	at0652	07ae97064a400ee56c62101571217354e114d7ec45a74e79d401c993e4d467ae	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	full	full	6665acd9a0e501c86a603607b0b37a88aa6ff84de50839316c34dcb86058f751	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	18	phase3_application_role_ordinal	260	aq018	at0260	07ae97064a400ee56c62101571217354e114d7ec45a74e79d401c993e4d467ae	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	full	full	9ecbcb6a1f32e379a2329f514a563d568248cf0128fa1eb4561a4b92db82f8ef	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	6	phase3_application_role_ordinal	199	aq006	at0199	0b1fbf70f80d071403f3ab95e9f4e702bc64a85776f375fa44726272e311735b	377c3d9987139b51cd9b107235a8bf80c888cc108c5cbc2620eb75e1d96b4ba2	full	full	ad02917cf8cf8164a9e2d5f0b1cc6aeddcf527d2e51029b1fb86e3b45bb84543	paper/bioinformatics/canonical_hybrid_v2_performance_workloads.tsv	canonical_hybrid_v2_performance_pilot
pair	phase3_application_role_ordinal	6	phase3_application_role_ordinal	432	aq006	at0432	0b1fbf70f80d071403f3ab95e9f4e702bc64a85776f375fa44726272e311735b	5e3f1868e23a1ae7a757da2edfa96ef6fe38bfd68d3b47a16d7ba4b02594e9cb	full	full	1ee9ff120c12b0d12737009beb27a3bbdd09c024a117e5232be3279b0a8a0f69	paper/bioinformatics/canonical_hybrid_v2_performance_workloads.tsv	canonical_hybrid_v2_performance_pilot
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	NEAT1	neat1_dna	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	29dd9029bb99ecabcdf811bee210baf6f8e55d22a65bf3ac06b24b6673bbceab	0:22767	full	24a6b2d8c3d0ea48f2e97f896ccbb03250a4cfb56a448b6476204c6b41cec610	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	NEAT1	chr21_center_2mb	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	21743:22767	slice:22354991-24354991	cb0d8cc6d3155f571cc0586edd1d8bd3b0bd44fd91b3dd5aad70d086cbf66ba0	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	NEAT1	chr11_center_2mb	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	9977:12789	slice:66543311-68543311	46b29e59d20b67dd5ea28041f56533afefc60711804b591e892c82b3813f45b3	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	NEAT1	chr22_center_2mb	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	0:2048	slice:24409234-26409234	7e7278ebe0165ccca51515567226f5cbe1785f20c8aa8ab53622b84242e3efb3	paper/workload_manifest.tsv	historical_development_or_paper_workload
