record_role	subset_order	record_id	chromosome	sequence_length	sequence_sha256	file_sha256	path	selection_rule
query	1	aq044	NA	513	10fcb8e4c44448aafa829ac90824cd1b56d4ce09b4aee2cef1e0bf5b5d685877	11c25de53e9fc0a3b0f78156625eaa6dd5cc26a54e9507dbf0600088744686f9	reproduce/bioinformatics/application_inputs/queries/aq044.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	2	aq003	NA	568	bc5a0425ceb4968b62216e5b0089ff5cb2cd18c0abc4287367c5a50989cd9bfa	0a22c6a54a7c56ebf849dbe8b9c6f2f8c0847c241264875fcfcf0e8bbad4429d	reproduce/bioinformatics/application_inputs/queries/aq003.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	3	aq026	NA	645	914804e4145e4194fadbb539259f14504de2c9a1ab345c76b3e7c2ce6758a2d4	3443af316b437196853489744ffb0157a6a89647b2441409d9ba594e0a2ed9d2	reproduce/bioinformatics/application_inputs/queries/aq026.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	4	aq033	NA	770	8a339029600f81e08c4c1c0652de1466837e863dee6aee2dcd0e3f2b3c40231e	769152ca4da1bf99120edede88a0176737b94a6d9c49e75d4443f23439a61aec	reproduce/bioinformatics/application_inputs/queries/aq033.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	5	aq004	NA	915	8774113d6905d36c5c69c3375307f0fa7da1c20da09000654d987eeea189555c	290e1e2a9916a4295651f85c34ad75cc95a5b99a0c0704a3ba26f4c7eca177a7	reproduce/bioinformatics/application_inputs/queries/aq004.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	6	aq034	NA	998	f59432c9d3565ef4f391bc46355c30c2c303f356129843acc4f89168d8d28ada	8eb12a1af77b9543c724c37b794d81e93589196ec3677b7b45876dae76f6a380	reproduce/bioinformatics/application_inputs/queries/aq034.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	7	aq019	NA	1280	20c129725ac1ca8541557cb35a39460f71e46ab6d76dce1fad9c9d1afc957562	7a55053c5771097a4983070bcdf60b8adc6e5e267fd4e784ed5edb4599c16d92	reproduce/bioinformatics/application_inputs/queries/aq019.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	8	aq027	NA	1474	7b89384316e388fd9b1784c76c0f5d846600080ffd1ad0ee7c8082a12fc9a839	e673dc5bce3fc42ad32a55526d064136e6871f0f4175e854adc2cc0ffca771d8	reproduce/bioinformatics/application_inputs/queries/aq027.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	9	aq007	NA	1876	3924bf5bbd87f45ec0ed8b57f01d4266c46d77efdf9db827f9c39af3ad1a5cd9	0ace6c108a46610c611dcd887e39ae38e31f064f67eb467d71d60db6c463e055	reproduce/bioinformatics/application_inputs/queries/aq007.fa	ten query-length quantiles from frozen metadata; ties by record_id
query	10	aq008	NA	2709	bab192889972e6fc9a5cb766a8b3a722cd4c97ec0ee1d3527ae804c45c4c93af	cb08018a8969fa0191ee288cc5d3215139d49286e2b05b2e7b44d21a19a767f9	reproduce/bioinformatics/application_inputs/queries/aq008.fa	ten query-length quantiles from frozen metadata; ties by record_id
target	1	at0033	chr21	2501	0bb131a51868798a3cdc6c5615031a55d88b31358cb903136c8ffe70725b8ff2	a9c0aa7ff8b0c38ae623bd34e118d1d49ac782b435e9d6c96f923ad298456861	reproduce/bioinformatics/application_inputs/targets/at0033.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	2	at0006	chr21	2501	d8862ff97cafa5e008f7389f0877541e7c9f6f6e57657888547f6c00d30315a6	1ba6c34316323a8072bc45f9133c725fae4c0451277870b015f58dde1e5e1622	reproduce/bioinformatics/application_inputs/targets/at0006.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	3	at0190	chr21	2501	3b2228579451c889275e314c97fae308477072d9bdbfc0093012e2e7950bd6c0	27ca055f5090b492f4d914696da37c68522263ba66532a414774c655ef14c5d9	reproduce/bioinformatics/application_inputs/targets/at0190.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	4	at0179	chr21	2501	472f60073086fcb889af62f17ef75713cca4323af31cf8b8f758e0643562b654	88929ef43729901ea14b04f0de3f21cb39283b7292d34a1a0466582ca769d094	reproduce/bioinformatics/application_inputs/targets/at0179.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	5	at0047	chr21	2501	bbc15ddf881d7d6355aa8dfcb1f1c67881a5fec769fdb31e0f61d333938c2fd7	cf450c62808b67155f3655ebf6cfdd017f30ced557242b285cba2215144a8886	reproduce/bioinformatics/application_inputs/targets/at0047.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	6	at0055	chr21	2501	b5f12a2b923146260ba0b0366e8bfec8f8236b540df72d743646f8a1fd59fcdc	82bb9f568c6dec1e594f0c9035c4a48fdda6eb322eb4729824398fa8f5c7ad7a	reproduce/bioinformatics/application_inputs/targets/at0055.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	7	at0109	chr21	2501	a609d882bdbfc2ff77abb0765f18b2a41351a4b81d798c3b9c773ab9e767afe3	ca2baaa266223bb023a3e172e5cb776112898e3234b0a7d369fbd58e16776233	reproduce/bioinformatics/application_inputs/targets/at0109.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	8	at0062	chr21	2501	d0ec750d1c962276d5ea7fb9490281f7df10f8ff18f23567516e16a17dba2d58	78793f04f3dd9cce001bee7e44622ee60454ed0f584bf51ed18f8392d24baac0	reproduce/bioinformatics/application_inputs/targets/at0062.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	9	at0178	chr21	2501	74a349472a779544a5f90be41088748659216ac9d98c43bd43b3da97f11e860f	df4e1ab1c6f0cdbdd0442bec47cebfb326523903bf91e8e4f0575ae5f4e9149e	reproduce/bioinformatics/application_inputs/targets/at0178.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	10	at0136	chr21	2501	1db9d03c411b8c1cf8165128eb3a74866499fc92deea5ef387fb485452e2146b	9966ec88d75cd36f7474d4fb8c2bf18dff186514bdefa0660d6ae2011cb48e24	reproduce/bioinformatics/application_inputs/targets/at0136.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	11	at0478	chr22	2501	651ef6fa1bee89bd5ad767952ede77364fa98bca160f8816636d9c9c32fa279a	0b8c5aa5b5a8c3985dab4e84989e65766001e96ea5e811d28971bcfd444c916b	reproduce/bioinformatics/application_inputs/targets/at0478.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	12	at0581	chr22	2501	449ae3a48cccd9b4f506d37d76bc2c9d31bc67b86174a87cb5ea30ca249aaf1e	9323a32054f05fdc51a6b8a7ee65748c3aa856e9413e4b41edcfc243361ba78a	reproduce/bioinformatics/application_inputs/targets/at0581.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
target	13	at0589	chr22	2501	f869b8d3bfe0471580d0b56c15cbea9a3f31acdf8893b85c018d7f36e35c1dc3	41782000ff35a05a14d265fd861e16bb14a9336d430a4c7d66f9d9a85fc1a0ae	reproduce/bioinformatics/application_inputs/targets/at0589.fa	first ten per chromosome by SHA256(selection_seed|phase3-repeat-target|record_id|sequence_sha256)
