attempt_id	case_id	repeat_id	trace_mode	returncode	timed_out	elapsed_seconds	output_path	output_size_bytes	output_sha256	expected_output_sha256	output_equal_expected	paired_output_equal	stdout_sha256	normalized_stdout_sha256	stderr_sha256	trace_file_count	prealign_trace_sha256	mismatch_call_trace_sha256	artifact_receipt
hq10_ht02__repeat00__trace_off	hq10_ht02	0	trace_off	0	0	0.107421993	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat00/trace_off/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	28aa3caab5764f92ce7d03b2777936c49aa708c66737af83a8ba9a43bc43a06e	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat00/trace_off/attempt.json
hq10_ht02__repeat00__trace_on	hq10_ht02	0	trace_on	0	0	0.152592786	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat00/trace_on/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	369c06dac7fd33288246db740f6b9b017772b43576379588fe58ddb9cfe8d144	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	2	08563289f632b58f3b46c15e146323e7839df38f4759e9a67ab9fb149b48c72c	8087fccd206658522438088155c8101d41cea8a47d0d116ae9300f00e0783dd7	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat00/trace_on/attempt.json
hq10_ht02__repeat01__trace_off	hq10_ht02	1	trace_off	0	0	0.125817417	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat01/trace_off/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	4af761d265b670e1f5b5f1b0f7502636dcf01efc52f01ef689e9feb6a5a16001	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat01/trace_off/attempt.json
hq10_ht02__repeat01__trace_on	hq10_ht02	1	trace_on	0	0	0.173845238	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat01/trace_on/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	21f2e24dfb31391a0df29f11da62f7a1f050c953db6e8da8c428c56573b57344	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	2	08563289f632b58f3b46c15e146323e7839df38f4759e9a67ab9fb149b48c72c	8087fccd206658522438088155c8101d41cea8a47d0d116ae9300f00e0783dd7	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat01/trace_on/attempt.json
hq10_ht02__repeat02__trace_off	hq10_ht02	2	trace_off	0	0	0.124492186	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat02/trace_off/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	a8162018630293a6fb125ffde65b89ac3b46284c30dc6a2b8c6cb25cd3920253	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat02/trace_off/attempt.json
hq10_ht02__repeat02__trace_on	hq10_ht02	2	trace_on	0	0	0.175782736	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat02/trace_on/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	69d750642a42a8a9a637e0fb6ae101280da43ce17537b5d74892ffee2e60d41c	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	2	08563289f632b58f3b46c15e146323e7839df38f4759e9a67ab9fb149b48c72c	8087fccd206658522438088155c8101d41cea8a47d0d116ae9300f00e0783dd7	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat02/trace_on/attempt.json
hq10_ht02__repeat03__trace_off	hq10_ht02	3	trace_off	0	0	0.146666459	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat03/trace_off/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	72b393513e53471c474a24c0e28946c6a4cf81b61906ad2d4570ef2a7e0131bc	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat03/trace_off/attempt.json
hq10_ht02__repeat03__trace_on	hq10_ht02	3	trace_on	0	0	0.133421251	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat03/trace_on/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	a1ebad12ae6edd9ca56ab3b2ba74b18456e79fde543a202145b928449199e5b4	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	2	08563289f632b58f3b46c15e146323e7839df38f4759e9a67ab9fb149b48c72c	8087fccd206658522438088155c8101d41cea8a47d0d116ae9300f00e0783dd7	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat03/trace_on/attempt.json
hq10_ht02__repeat04__trace_off	hq10_ht02	4	trace_off	0	0	0.134323864	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat04/trace_off/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	1f9d6177a88375c5dcae8f5faec07a6fd1e8445702bb7ee01bfdf73e261feef8	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat04/trace_off/attempt.json
hq10_ht02__repeat04__trace_on	hq10_ht02	4	trace_on	0	0	0.132896083	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat04/trace_on/output/GRCh38-ENST00000785836.1|ENSG00000178248.12|FAM230I|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	4580	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	c34ff3fbdb9d1a069397615e2ed695dd336eb2055ce389a8ccade83e3858cb88	1	1	05fe95fe98720bc54cd8c07437cdf984c3945c29be714b96ccce80ff54a5bbde	a9c3da298edbec7a82c36c37e59c72a283fbde168fff69a92eff834c3b603b1c	4992b1bc0ed24e3905fecc4f29c18753eaec332698a62faca87c708f8cdaa22e	2	08563289f632b58f3b46c15e146323e7839df38f4759e9a67ab9fb149b48c72c	8087fccd206658522438088155c8101d41cea8a47d0d116ae9300f00e0783dd7	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq10_ht02/repeat04/trace_on/attempt.json
