data_freeze_id	workload_id	claim_id	pair_id_text	row_type	top5_score_equal	top5_stability_equal	top5_nt_equal	boundary_ties_equal	full_output_byte_equal	missing_rows	extra_rows	fallbacks	overflow_fallbacks	oom	supported	guard_reason	gpu_fast_path_executed	status	artifact_path	artifact_sha256
paper-data-v1-dccfd49-20260716	c1_h19_chr21_chr22_fast_topk	C1	c1_h19_chr21_chr22_fast_topk__pair01__0	paired_contract	1	1	1	NA	NA	NA	NA	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair01__0/pair-summary.json	b854870bdee2490d95351d88f208b3a9702144a812acfe6ad03537802cf0fe34
paper-data-v1-dccfd49-20260716	c1_h19_chr21_chr22_fast_topk	C1	c1_h19_chr21_chr22_fast_topk__pair02__0	paired_contract	1	1	1	NA	NA	NA	NA	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair02__0/pair-summary.json	71309adfec2680a7adc059049641fb0bcf8c6d9a67d93d32e76c90f27381be15
paper-data-v1-dccfd49-20260716	c1_h19_chr21_chr22_fast_topk	C1	c1_h19_chr21_chr22_fast_topk__pair03__0	paired_contract	1	1	1	NA	NA	NA	NA	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair03__0/pair-summary.json	0c1a60fa7494b5f550d32a8e1e620d79212c8ec2d4b723194edec6c320578844
paper-data-v1-dccfd49-20260716	c1_h19_chr21_chr22_fast_topk	C1	c1_h19_chr21_chr22_fast_topk__pair04__0	paired_contract	1	1	1	NA	NA	NA	NA	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair04__0/pair-summary.json	e0909af62569d2279de7d414daaf29719d431d0a32c602871e24639b4e9debaf
paper-data-v1-dccfd49-20260716	c1_h19_chr21_chr22_fast_topk	C1	c1_h19_chr21_chr22_fast_topk__pair05__0	paired_contract	1	1	1	NA	NA	NA	NA	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair05__0/pair-summary.json	2bccc063a6f64acf0e96dfb5fb668b19bfd6a014ce67962738fc35e4606a8ea0
paper-data-v1-dccfd49-20260716	c4_h19_chr21_two_slot	C4	c4_h19_chr21_two_slot__pair01__0	paired_contract	1	1	1	NA	NA	0	0	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c4_h19_chr21_two_slot__pair01__0/pair-summary.json	502df692b7e8b881736527d33d19f3c485eb4f281bbf591e0513816f87aef544
paper-data-v1-dccfd49-20260716	c4_h19_chr21_two_slot	C4	c4_h19_chr21_two_slot__pair02__0	paired_contract	1	1	1	NA	NA	0	0	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c4_h19_chr21_two_slot__pair02__0/pair-summary.json	475c404a8c538a98e4bb3e71aceb7434c002151bff21a37a37c091edd0d6bce1
paper-data-v1-dccfd49-20260716	c4_h19_chr21_two_slot	C4	c4_h19_chr21_two_slot__pair03__0	paired_contract	1	1	1	NA	NA	0	0	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c4_h19_chr21_two_slot__pair03__0/pair-summary.json	0a77bcfa21abbeded12c7c58081e6f175aeaa409c6069be827ba498efca25a01
paper-data-v1-dccfd49-20260716	c4_h19_chr21_two_slot	C4	c4_h19_chr21_two_slot__pair04__0	paired_contract	1	1	1	NA	NA	0	0	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c4_h19_chr21_two_slot__pair04__0/pair-summary.json	94e5a5aebdd90de656c6ff267577e8cdba8a074cef50e964f8c486e1b75419d9
paper-data-v1-dccfd49-20260716	c4_h19_chr21_two_slot	C4	c4_h19_chr21_two_slot__pair05__0	paired_contract	1	1	1	NA	NA	0	0	0	0	0	NA	NA	NA	clean	phase2:pairs-v3/c4_h19_chr21_two_slot__pair05__0/pair-summary.json	66ee7431dc59042af3f972abb0d206614d457a9efe6a9c9e2c423a52a5112177
