input_id	kind	source	license	path_convention	size_bytes	sha256	required_for	tracked_or_external	reconstruction_command
query_h19	query_fasta	https://github.com/wyjistest/LongTarget-exact-sim/blob/8ea3973/H19.fa	AGPL-3.0-only (repository license)	H19.fa	2818	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	c1_h19_chr21_chr22_fast_topk,c3_h19_chr22_contract_smoke,c4_h19_chr21_two_slot,c4_h19_chr22_two_slot,c5_archive_h19_2mb,c5_archive_large_synthetic,c6_exact_h19_2mb,d01_chr1_full_output,d02_chr22_full_output,d03_h19_short_integrated,g10_h19_full_chr11,g11_h19_full_chr21,g12_h19_full_chr22	tracked	git show 8ea3973:H19.fa > H19.fa && echo '7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e  H19.fa' | sha256sum -c -
query_kcnq1ot1	query_fasta	https://rest.ensembl.org/sequence/id/ENST00000597346?type=cdna	Ensembl REST terms (verify before redistribution)	.tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa	93214	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	c6_exact_kcnq_segment_chr22,c7_kcnq_max8_chr22,g07_kcnq1ot1_5p_2812_chr21,g08_kcnq1ot1_mid_1024_chr22,g09_kcnq1ot1_3p_2048_chr11,n03_kcnq1ot1_full_guard	external	mkdir -p .tmp/fasim_gasal2_query_inputs && curl -fsSL -H 'Content-Type: text/x-fasta' 'https://rest.ensembl.org/sequence/id/ENST00000597346?type=cdna' > .tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa && echo 'f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4  .tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa' | sha256sum -c -
query_malat1	query_fasta	https://github.com/LongTarget/Fasim-LongTarget/tree/f7b24d6ca723c2eee855715c8736fd9ab03c8235/example/MALAT1	AGPL-3.0-only (upstream repository license)	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1.fa	8716	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	d04_malat1_broad,g01_malat1_5p_1024_chr11,g02_malat1_mid_2048_chr21,g03_malat1_3p_2812_chr22,n01_malat1_full_guard	external	git clone https://github.com/LongTarget/Fasim-LongTarget .tmp/Fasim-LongTarget && git -C .tmp/Fasim-LongTarget checkout f7b24d6ca723c2eee855715c8736fd9ab03c8235
query_meg3	query_fasta	https://github.com/LongTarget/Fasim-LongTarget/tree/f7b24d6ca723c2eee855715c8736fd9ab03c8235/example/MEG3	AGPL-3.0-only (upstream repository license)	.tmp/Fasim-LongTarget/example/MEG3/MEG3-ENST00000451743.fa	1604	c67150e68d7b4e97de72704aebcac52d2bd3342a200715484e99fff2f015e15d	g13_meg3_full_chr11	external	git clone https://github.com/LongTarget/Fasim-LongTarget .tmp/Fasim-LongTarget && git -C .tmp/Fasim-LongTarget checkout f7b24d6ca723c2eee855715c8736fd9ab03c8235
query_neat1	query_fasta	https://github.com/LongTarget/Fasim-LongTarget/tree/f7b24d6ca723c2eee855715c8736fd9ab03c8235/example/NEAT1	AGPL-3.0-only (upstream repository license)	.tmp/Fasim-LongTarget/example/NEAT1/NEAT1.fa	22774	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	g04_neat1_5p_2048_chr22,g05_neat1_mid_2812_chr11,g06_neat1_3p_1024_chr21,n02_neat1_full_guard	external	git clone https://github.com/LongTarget/Fasim-LongTarget .tmp/Fasim-LongTarget && git -C .tmp/Fasim-LongTarget checkout f7b24d6ca723c2eee855715c8736fd9ab03c8235
target_chr1_hg38	target_fasta	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chromFa.tar.gz	UCSC Genome Browser data-use conditions (verify before redistribution)	.tmp/gasal2_hg38_archive_first_run/shards/chr1.fa	253935557	04ee6db2e94ccc4daddc168453189d8c17a01454ba67ac0443a73a0401408ee0	d01_chr1_full_output	external	mkdir -p .tmp/gasal2_hg38_archive_first_run/shards && curl -fsSL https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chromFa.tar.gz | tar -xz -C .tmp/gasal2_hg38_archive_first_run/shards --strip-components=1 chroms/chr1.fa
target_chr11_hg38	target_fasta	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chromFa.tar.gz	UCSC Genome Browser data-use conditions (verify before redistribution)	.tmp/gasal2_hg38_archive_first_run/shards/chr11.fa	137788362	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	g01_malat1_5p_1024_chr11,g05_neat1_mid_2812_chr11,g09_kcnq1ot1_3p_2048_chr11,g10_h19_full_chr11,g13_meg3_full_chr11	external	mkdir -p .tmp/gasal2_hg38_archive_first_run/shards && curl -fsSL https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chromFa.tar.gz | tar -xz -C .tmp/gasal2_hg38_archive_first_run/shards --strip-components=1 chroms/chr11.fa
target_chr21_hg38	target_fasta	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chromFa.tar.gz	UCSC Genome Browser data-use conditions (verify before redistribution)	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	47644190	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	c4_h19_chr21_two_slot,g02_malat1_mid_2048_chr21,g06_neat1_3p_1024_chr21,g07_kcnq1ot1_5p_2812_chr21,g11_h19_full_chr21	external	mkdir -p .tmp/gasal2_hg38_archive_first_run/shards && curl -fsSL https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chromFa.tar.gz | tar -xz -C .tmp/gasal2_hg38_archive_first_run/shards --strip-components=1 chroms/chr21.fa
target_chr21_chr22_hg38	derived_target_fasta	derived from target_chr21_hg38 and target_chr22_hg38	Same as UCSC source inputs	.tmp/characterize_fasim_gasal2_column_pruned_preset_top5_matrix_chr21_chr22_active/runs/chr21_chr22_r1/inputs/chr21_chr22.fa	99479035	101496c0ff86af1227b8923b5c7af6be2c0e0edabee86b260cd1a539f93359d6	c1_h19_chr21_chr22_fast_topk	external	python3 reproduce/prepare_inputs.py combine --output .tmp/characterize_fasim_gasal2_column_pruned_preset_top5_matrix_chr21_chr22_active/runs/chr21_chr22_r1/inputs/chr21_chr22.fa .tmp/gasal2_hg38_archive_first_run/shards/chr21.fa .tmp/gasal2_hg38_archive_first_run/shards/chr22.fa
target_chr22_10m_12m	derived_target_fasta	derived from target_chr22_hg38 zero-based half-open interval 10000000:12000000	Same as UCSC source input	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	2025021	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	c3_h19_chr22_contract_smoke,c5_archive_h19_2mb,c5_archive_large_synthetic,c6_exact_h19_2mb,d03_h19_short_integrated	external	python3 reproduce/prepare_inputs.py slice --input .tmp/gasal2_hg38_archive_first_run/shards/chr22.fa --output .tmp/fasim_gasal2_chr22_slice_10m_12m.fa --start 10000000 --end 12000000 --header chr22_slice_10m_12m --width 80
