dataset_id	outer_lncRNA_id	lncRNA	assay	assay_type_class	assay_type_available	availability_reason	accession	publication	genome_build	query_construction_type	full_transcript_or_domain_coordinates	query_length	sequence_sha256	positive_definition	negative_definition	license	development_or_evaluation	failure_reason
bte_linc01116_gse227804	lncrna_linc01116	LINC01116/HOXDeRNA	ChIRP-seq	ChIRP	1	public genomic-DNA occupancy data, reconstructable input-only labels, and independently fixed in-envelope query	GSE227804;GSM7108396,GSM7108397,GSM7108406,GSM7108411	HOXDeRNA activates a cancerous transcription program and super-enhancers via genome-wide binding;PMID:39383879	hg19	complete_frozen_annotation_isoform	ENST00000295549.9:0-1424	1424	23c48f8f8bef148c82bc320cc18570a589c0e6a4e0fb1b44377142857b846256	fixed 4097-bp hg19 bins; both library-size-normalized ChIRP replicates >=8x each normalized Input and LacZ control; strongest 100 eligible bins	9 nonoverlapping same-chromosome GRCh38 windows per positive; no source-positive, blacklist, or N overlap; absolute GC difference <=0.05	public GEO data; no dataset-specific redistribution license asserted	primary_evaluation	NA
bte_hotair_gse31332	lncrna_hotair	HOTAIR	ChIRP-seq	ChIRP	1	public genomic-DNA occupancy data, reconstructable input-only labels, and independently fixed in-envelope query	GSE31332;GSE31332_hotair_oe	Genomic maps of long noncoding RNA occupancy reveal principles of RNA-chromatin interactions;PMID:21963238	hg18	complete_frozen_annotation_isoform	ENST00000424518.6:0-2415	2415	e1629df5c735a8db3a9b46d21feb31d4f35ff7146adc1be0c69cd1146b1de78d	author HOTAIR ChIRP peaks; deterministic input-only hash ranking after hg18 center liftOver	9 nonoverlapping same-chromosome GRCh38 windows per positive; no source-positive, blacklist, or N overlap; absolute GC difference <=0.05	public GEO data; no dataset-specific redistribution license asserted	primary_evaluation	NA
bte_pcgem1_gse47804	lncrna_pcgem1	PCGEM1	ChIRP-seq	ChIRP	1	public genomic-DNA occupancy data, reconstructable input-only labels, and independently fixed in-envelope query	GSE47804;GSM1159894	lncRNA-dependent mechanisms of androgen-receptor-regulated gene activation programs;PMID:23945587	hg18	complete_frozen_annotation_isoform	ENST00000606314.2:0-1754	1754	5aae51c88337d8e1b8a3dc2996346345096763279ca6d39202ab41c130bf152b	author plus-DHT PCGEM1 ChIRP HOMER peaks; deterministic input-only hash ranking after hg18 center liftOver	9 nonoverlapping same-chromosome GRCh38 windows per positive; no source-positive, blacklist, or N overlap; absolute GC difference <=0.05	public GEO data; no dataset-specific redistribution license asserted	primary_evaluation	NA
bte_sra_gse58641	lncrna_sra	SRA	ChIRP-seq	ChIRP	1	public genomic-DNA occupancy data, reconstructable input-only labels, and independently fixed in-envelope query	GSE58641;GSM1415922	Association of the Long Non-coding RNA Steroid Receptor RNA Activator (SRA) with TrxG and PRC2 Complexes;PMID:26496121	hg19	complete_assay_linked_refseq_isoform	NR_045587.1:0-1473	1473	7d3274f4c9fa0340e7c6dfbfb9dfc57a5fbb89ad2274cc0f0358b3aa717710b5	author SRA ChIRP peaks after triplicate intersection and LacZ subtraction; deterministic input-only hash ranking after hg19 center liftOver	9 nonoverlapping same-chromosome GRCh38 windows per positive; no source-positive, blacklist, or N overlap; absolute GC difference <=0.05	public GEO data; no dataset-specific redistribution license asserted	primary_evaluation	NA
bte_hottip_gse114981	lncrna_hottip	HOTTIP	ChIRP-seq	ChIRP	1	public genomic-DNA occupancy data, reconstructable input-only labels, and independently fixed in-envelope query	GSE114981;GSM3161929	HOTTIP lncRNA Promotes Hematopoietic Stem Cell Self-Renewal Leading to AML-like Disease in Mice;PMID:31786140	hg19	complete_frozen_annotation_isoform	ENST00000472494.2:0-2320	2320	e12c29b7091e0eadcb0f9b24598f1d002da54e445ff5bfa71120ff67c8a8ec33	author wild-type HOTTIP ChIRP MACS peaks; deterministic input-only hash ranking after hg19 center liftOver	9 nonoverlapping same-chromosome GRCh38 windows per positive; no source-positive, blacklist, or N overlap; absolute GC difference <=0.05	public GEO data; no dataset-specific redistribution license asserted	primary_evaluation	NA
excluded_terc_gse31332	excluded_terc	TERC	ChIRP	not_available	0	failed frozen input/data availability definition	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	excluded_inventory_candidate	query approximately 451 nt, below the 500-nt operating minimum
excluded_prncr1_gse47804	excluded_prncr1	PRNCR1	ChIRP	not_available	0	failed frozen input/data availability definition	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	excluded_inventory_candidate	complete query exceeds 2812 nt and arbitrary truncation is forbidden
excluded_rain	excluded_rain	RAIN	ChIRP	not_available	0	failed frozen input/data availability definition	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	excluded_inventory_candidate	eight public isoforms and no unambiguous assay-linked query isoform
excluded_slncr_gse302468	excluded_slncr	SLNCR	RNA-seq perturbation	not_available	0	failed frozen input/data availability definition	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	excluded_inventory_candidate	not genomic DNA occupancy or binding labels
excluded_hlmr1_gse335367	excluded_hlmr1	HLMR1	ChIRP-RNA	not_available	0	failed frozen input/data availability definition	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	excluded_inventory_candidate	RNA interactome assay rather than genomic DNA occupancy
