validation_id	workload_id	repeat_id	query_id	target_id	query_stratum	target_chromosome	logical_worker	gpu_physical_index	authority_output_rows	hybrid_output_rows	authority_output_sha256	hybrid_output_sha256	declared_contract_clean	full_output_equal	authority_wall_seconds	hybrid_wall_seconds	paired_authority_over_hybrid	score_prepass_seconds	cpu_traceback_replay_seconds	cpu_traceback_align_seconds	triplex_convert_seconds	attempt_rows	selected_attempts	cpu_traceback_calls	fallbacks	authority_max_rss_kib	hybrid_max_rss_kib	gpu_measurement_status	gpu_sample_count	gpu_memory_peak_mib	authority_receipt_sha256	hybrid_receipt_sha256
vp001__repeat00	vp001	0	aq005	at0199	short_500_800	chr21	0	0	24	24	8d87288af79ea12425517feb5219b6fa07d15e01047ea0c0cbe17022de7a46ca	8d87288af79ea12425517feb5219b6fa07d15e01047ea0c0cbe17022de7a46ca	1	1	0.05338687705807388	0.3476065080612898	0.153584227625165	0.0286028	0.00903333	0.00875072	0.00340846	1688	422	422	0	8404	177024	available	1	15.0	1005916f79c8004c31b537d2a5016932827a65bbff0b9bc66b4da10545d0bc79	8deaa675e35be73f560968ecb23846c18d308e8396238668d5491a6431c70348
vp001__repeat01	vp001	1	aq005	at0199	short_500_800	chr21	1	1	24	24	8d87288af79ea12425517feb5219b6fa07d15e01047ea0c0cbe17022de7a46ca	8d87288af79ea12425517feb5219b6fa07d15e01047ea0c0cbe17022de7a46ca	1	1	0.0786571130156517	0.34580512810498476	0.22746080558924442	0.0290824	0.00927695	0.00898974	0.00337728	1688	422	422	0	8352	176924	available	1	35.0	5077350f3348c0499a0a5b95dad29a5aca09f9271a95b9644806392d807d3433	a7dbbbccbc9f9bcef8021a386eada94fc61aa9553dfa19a61d2442ecd4eb8e8b
vp001__repeat02	vp001	2	aq005	at0199	short_500_800	chr21	0	0	24	24	8d87288af79ea12425517feb5219b6fa07d15e01047ea0c0cbe17022de7a46ca	8d87288af79ea12425517feb5219b6fa07d15e01047ea0c0cbe17022de7a46ca	1	1	0.07704211492091417	0.32574583403766155	0.23650990088182322	0.0285307	0.00893734	0.00866038	0.00343217	1688	422	422	0	8420	177284	available	1	18.0	e2ccf5cdface236065d5a345fd6138494d69fbf4dd0141d4203e9a266d359630	a02d3ce7aa719f3c4b9a327c6debfddbc82df3e5f3075d3a6c043f96a8615659
vp002__repeat00	vp002	0	aq005	at0432	short_500_800	chr22	1	1	46	46	3844965496de3d14b2eaef9247d93ee4e84fd7dd078eecb579d8f0635c2e31c7	3844965496de3d14b2eaef9247d93ee4e84fd7dd078eecb579d8f0635c2e31c7	1	1	0.056219161953777075	0.3127093107905239	0.1797809019873952	0.0284585	0.0100275	0.00968174	0.00367126	2080	520	520	0	8436	177128	available	1	53.0	00d75eaf031c1b56c60efd6fd6c3c56fe5e9985dd834e8c9d0bb68e30d234e96	5b5b300f7e7ed5770c350c81cf266d35f6a51ca65cba5ddcc2c7cc1f72a84f39
vp002__repeat01	vp002	1	aq005	at0432	short_500_800	chr22	0	0	46	46	3844965496de3d14b2eaef9247d93ee4e84fd7dd078eecb579d8f0635c2e31c7	3844965496de3d14b2eaef9247d93ee4e84fd7dd078eecb579d8f0635c2e31c7	1	1	0.05531604681164026	0.3257562820799649	0.16980807387180819	0.0287018	0.0104577	0.0101024	0.00376211	2080	520	520	0	8328	177480	available	1	16.0	0dae93e3f0b7ad901195b49bde8f6d913eb9a756f390983cc8a45a09a08f6121	d29d10d24d6a96cdd89adb968dea7eedb975f54fa86fe8dd039e0742aa48808a
vp002__repeat02	vp002	2	aq005	at0432	short_500_800	chr22	1	1	46	46	3844965496de3d14b2eaef9247d93ee4e84fd7dd078eecb579d8f0635c2e31c7	3844965496de3d14b2eaef9247d93ee4e84fd7dd078eecb579d8f0635c2e31c7	1	1	0.0554700440261513	0.3161299179773778	0.1754659741825534	0.02838	0.0101646	0.00983354	0.00377141	2080	520	520	0	8400	177200	available	1	35.0	a0831a793902935aed4b37d8899744e555b76f6eb125877285b80c3462030acb	dc7f7482587091ee58946911bb79c64b4f864b4bde88d76f3715d9e7ba53d3f4
vp003__repeat00	vp003	0	aq006	at0199	medium_801_1600	chr21	0	0	11	11	e5185b25b66a4f6961c89065564deb65d5209621fc13fc4f9c10e7332f6acd34	e5185b25b66a4f6961c89065564deb65d5209621fc13fc4f9c10e7332f6acd34	1	1	0.07346797687932849	0.3775544730015099	0.19458907822033586	0.0343999	0.0151467	0.0147912	0.00379206	2444	611	611	0	8608	203356	available	2	15.0	714dadf98912fb95036e2b4c7882fbbef6a4b65222d824053a37e86ba6e4ab4e	81fb040527bd658c3049ecb7b3db3da2f46dd8e687429cbaf25c5d6c00746cc1
vp003__repeat01	vp003	1	aq006	at0199	medium_801_1600	chr21	1	1	11	11	e5185b25b66a4f6961c89065564deb65d5209621fc13fc4f9c10e7332f6acd34	e5185b25b66a4f6961c89065564deb65d5209621fc13fc4f9c10e7332f6acd34	1	1	0.0953244639094919	0.3978556399233639	0.23959560791410062	0.0349483	0.0155194	0.0151625	0.00384308	2444	611	611	0	8684	203208	available	2	34.0	6360c48bd7d9147c900cb1418f5e1013e51b27336b5961a6056aa69fe329a82d	5713d13b1246fd23c5694b0e5e091119b5fc72989c9b60b259cc87b9d615f851
vp003__repeat02	vp003	2	aq006	at0199	medium_801_1600	chr21	0	0	11	11	e5185b25b66a4f6961c89065564deb65d5209621fc13fc4f9c10e7332f6acd34	e5185b25b66a4f6961c89065564deb65d5209621fc13fc4f9c10e7332f6acd34	1	1	0.0986163760535419	0.30724587105214596	0.32096892210735245	0.0345583	0.015234	0.0148757	0.00378179	2444	611	611	0	8576	202900	available	1	18.0	08cc46e05081bb4ddc01700435e4b5886c9785978f35cdeda84da7a7633ecfaa	941dd1b229d8e94a65012f09bcb2ab88e42bda58a2120cc15932f08e0b2b93e5
vp004__repeat00	vp004	0	aq006	at0432	medium_801_1600	chr22	1	1	5	5	e10f36f38264a4367b646a996549ab9f361ae9d5cd192a44f782feb639bca870	e10f36f38264a4367b646a996549ab9f361ae9d5cd192a44f782feb639bca870	1	1	0.11473205802030861	0.3413250409066677	0.3361372424230693	0.0351507	0.0200313	0.0195713	0.00484451	3160	790	790	0	8692	203652	available	1	37.0	366bd53b49891c62dbce910eb87b7139e1976dfd0a79661225d92f85f2ce68a8	77c7ec784523110441ce90f27e93bc599e8d80c45fde60220b25d6d512753895
