exclusion_type	value	reason
gene_id	ENSG00000130600	H19 development gene in g10-g12
gene_id	ENSG00000269821	KCNQ1OT1 development gene in g07-g09
gene_id	ENSG00000245532	NEAT1 development gene in g04-g06
gene_id	ENSG00000251562	MALAT1 development gene in g01-g03
gene_id	ENSG00000214548	MEG3 development gene in g13
gene_name	H19	development gene in g10-g12
gene_name	KCNQ1OT1	development gene in g07-g09
gene_name	NEAT1	development gene in g04-g06
gene_name	MALAT1	development gene in g01-g03
gene_name	MEG3	development gene in g13
sequence_sha256	20ad7cfcfb6ac1133cdbe9171227845d00bac1910b126d168dbb0a336aff6785	g01 normalized query sequence
sequence_sha256	f05ed0b780d5b7ab4b02948049e113eeb918eec89055bab890a0276d82560356	g02 normalized query sequence
sequence_sha256	980a17b15fa176766a43e2165396b763755c295539df773b5cd04448bf7e8a43	g03 normalized query sequence
sequence_sha256	ef19c282d5ceb65b2b231bf516633a83b8d3285b5cdf3e1b9f447c7af2163aeb	g04 normalized query sequence
sequence_sha256	5520cd65a2d47eafec7ebd959cccda5e35bc6ca039bc798eebb6f61c5779e460	g05 normalized query sequence
sequence_sha256	ac765d5fc312a1172951a694ec844f61420c7f011b6c6924ae6db38990f0a911	g06 normalized query sequence
sequence_sha256	1fae4a9b32a7512568f1774dbeb2ed974ebe0b153e3bc4e809f5e756cb42816b	g07 normalized query sequence
sequence_sha256	8cb66a50fee868d7f54fc2a9d80d21ed66c7ef43ef5313b744d0ba908e1592aa	g08 normalized query sequence
sequence_sha256	a5a3608f18f4983f0c19f0bb3e393d20c9f6268c84dd137ec31a628827448190	g09 normalized query sequence
sequence_sha256	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	g10-g12 normalized H19 query sequence
sequence_sha256	fd793e663aa9636bb1b3ca2219effb1eab7a3570f436f62292da095a271095ab	g13 normalized query sequence
