attempt_id	execution_order	workload_id	workload_class	claim_relevant	observation_id	cache_state	profile_mode	returncode	timed_out	outer_wall_seconds	profile_total_seconds	pre_align_seconds	selection_seconds	forward_alignment_seconds	reverse_alignment_seconds	banded_traceback_seconds	backend_bridge_seconds	downstream_triplex_conversion_seconds	stability_identity_nt_seconds	clustering_ranking_sort_seconds	serialization_io_seconds	wrapper_other_seconds	process_wrapper_seconds	stage_sum_seconds	p_strict_ssw	p_backend_addressable	maximum_speedup_infinite	required_backend_speedup	output_digest	paired_output_equal	profile_stack_errors	profile_active_depth	profile_max_depth	max_rss_kib	cache_drop_hint	binary_sha256	git_commit	query_file_sha256	target_file_sha256	artifact_receipt
p1v2_overhead_aq001_at0001_o01_profile_off	1	overhead_aq001_at0001	small_overhead	0	1	cold_advisory	profile_off	0	0	0.114453198854																			1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1				8404	advised;advised	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o01_profile_off/attempt.json
p1v2_overhead_aq001_at0001_o01_profile_on	2	overhead_aq001_at0001	small_overhead	0	1	cold_advisory	profile_on	0	0	0.114540174138	0.077525625	0.012490306	0.000491953	0.004707001	0.002987462	0.001401985	0.006212341	0.002187739	0.000424427	0.000110983	0.000831613	0.045679815	0.0370145491378	0.114540174138	0.192759502648	0.246996725934	1.32801547409		1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1	0	0	3	8468	advised;advised	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o01_profile_on/attempt.json
p1v2_overhead_aq001_at0001_o02_profile_on	3	overhead_aq001_at0001	small_overhead	0	2	steady_state	profile_on	0	0	0.114675028948	0.065806522	0.010370553	0.000412204	0.004081207	0.002588429	0.001258631	0.005323623	0.001915701	0.00036776	0.000105901	0.00020113	0.039181383	0.0488685069481	0.114675028948	0.163165635724	0.209589194967	1.26516489101		1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1	0	0	3	8440	not_requested	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o02_profile_on/attempt.json
p1v2_overhead_aq001_at0001_o02_profile_off	4	overhead_aq001_at0001	small_overhead	0	2	steady_state	profile_off	0	0	0.114625502145																			1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1				8192	not_requested	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o02_profile_off/attempt.json
p1v2_overhead_aq001_at0001_o03_profile_off	5	overhead_aq001_at0001	small_overhead	0	3	steady_state	profile_off	0	0	0.114534305874																			1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1				8400	not_requested	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o03_profile_off/attempt.json
p1v2_overhead_aq001_at0001_o03_profile_on	6	overhead_aq001_at0001	small_overhead	0	3	steady_state	profile_on	0	0	0.114455063827	0.068712133	0.010923844	0.00043387	0.004207752	0.002699437	0.001278143	0.005526647	0.00199376	0.000383285	9.5888e-05	0.000186676	0.040982831	0.0457429308273	0.114455063827	0.170748635722	0.219035245464	1.28046751686		1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1	0	0	3	8432	not_requested	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o03_profile_on/attempt.json
p1v2_overhead_aq001_at0001_o04_profile_on	7	overhead_aq001_at0001	small_overhead	0	4	steady_state	profile_on	0	0	0.114676418016	0.078189782	0.011649028	0.000505948	0.004962723	0.003096894	0.001458905	0.006641532	0.002239449	0.000451932	0.00011843	0.000209017	0.046855924	0.0364866360157	0.114676418016	0.188996991492	0.246912403526	1.32786677763		1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1	0	0	3	8500	not_requested	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o04_profile_on/attempt.json
p1v2_overhead_aq001_at0001_o04_profile_off	8	overhead_aq001_at0001	small_overhead	0	4	steady_state	profile_off	0	0	0.114337985869																			1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1				8508	not_requested	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o04_profile_off/attempt.json
p1v2_overhead_aq001_at0001_o05_profile_off	9	overhead_aq001_at0001	small_overhead	0	5	steady_state	profile_off	0	0	0.11432110006																			1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1				8416	not_requested	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o05_profile_off/attempt.json
p1v2_overhead_aq001_at0001_o05_profile_on	10	overhead_aq001_at0001	small_overhead	0	5	steady_state	profile_on	0	0	0.114514882909	0.084916966	0.012795834	0.000544023	0.005418633	0.003331192	0.001556354	0.007234574	0.002456854	0.000482921	0.000139049	0.000210012	0.05074752	0.0295979169091	0.114514882909	0.206488758485	0.269664599181	1.36923391483		1f94dff8aa52a639368bfee54cf8ba774c65d9d167afdf7519e96aadeb8513e8	1	0	0	3	8236	not_requested	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o05_profile_on/attempt.json
p1v2_medium_h19_chr22_2mb_o01_profile_off	11	medium_h19_chr22_2mb	medium_real	0	1	cold_advisory	profile_off	0	0	61.1211426491																			84f393068613cf34d17503ea3a501d1cfaedea6d8f6e28503b9cc5ebd5ce4444	1				109920	advised;advised	f8a6bc18c1a7131761e0d44030f65903f82587c82c1204f99dd119cc5b4bb13f	dc9f45b6744ee066eef243a449eb7cbb0be396df	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o01_profile_off/attempt.json
