workload_id	claim_id	family	role	query_id	query_path	query_sha256	query_start_nt	query_end_nt	query_length_nt	fragment_position	target_id	target_path	target_sha256	target_region	rule	baseline_mode	candidate_mode	output_contract	required_pairs	requires_gpu_count	max_wall_seconds	preset_id	preregistered	adapter_id
c1_h19_chr21_chr22_fast_topk	C1	fast_topk	core	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr21_chr22_full	.tmp/characterize_fasim_gasal2_column_pruned_preset_top5_matrix_chr21_chr22_active/runs/chr21_chr22_r1/inputs/chr21_chr22.fa	101496c0ff86af1227b8923b5c7af6be2c0e0edabee86b260cd1a539f93359d6	full	0	fasim_topk_cpu_authority	gasal2_top5_column_pruned_scoreinfo	fast_topk_score_stability_nt	5	2	2700	gasal2_formal_topk_2gpu_v1	1	formal_topk_sharded
c3_h19_chr22_contract_smoke	C3	correctness	core	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr22_10m_12m	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	full	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
c4_h19_chr21_two_slot	C4	two_slot	core	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr21_full	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	full	0	gasal2_sync_extracted	gasal2_two_slot_overlap	fast_topk_score_stability_nt	5	1	900	gasal2_two_slot_low_density_v1	1	direct_two_slot
c4_h19_chr22_two_slot	C4	two_slot	core	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr22_full	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	full	0	gasal2_sync_extracted	gasal2_two_slot_overlap	fast_topk_score_stability_nt	5	1	900	gasal2_two_slot_low_density_v1	1	direct_two_slot
c5_archive_h19_2mb	C5	archive_first	core	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr22_10m_12m	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	full	0	legacy_tfosorted_text	archive_first_restore	archive_restore_only	3	1	1800	archive_first_exact_restore_v1	1	archive_pair
c5_archive_large_synthetic	C5	archive_first	core	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr22_10m_12m	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	full	0	memory_exact_merge	sqlite_exact_merge	archive_restore_only	3	0	1800	archive_merge_large_synthetic_v1	1	archive_pair
c6_exact_h19_2mb	C6	exact_column	core	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr22_10m_12m	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	full	0	legacy_exact_column	legacy_minscore_gpu_pruned_scoreinfo	full_tfosorted_rowset	3	1	1800	exact_column_safe_v1	1	exact_column_pair
c6_exact_kcnq_segment_chr22	C6	exact_column	core	KCNQ1OT1	.tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	0	2048	2048	5p	chr22_full	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	full	0	legacy_exact_column	legacy_minscore_gpu_pruned_scoreinfo	full_tfosorted_rowset	3	1	1800	exact_column_safe_v1	1	exact_column_pair
c7_kcnq_max8_chr22	C7	long_query_bounded	core	KCNQ1OT1	.tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	0	91667	91667	full	chr22_full	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	full	0	segmented_archive_baseline	segmented_archive_exact_scoreinfo	shifted_grid_bounded_full_rows	3	1	2700	segmented_max8_dual_grid_v1	1	segmented_max8
d01_chr1_full_output	C7	operating_envelope	descriptive	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr1_full	.tmp/gasal2_hg38_archive_first_run/shards/chr1.fa	04ee6db2e94ccc4daddc168453189d8c17a01454ba67ac0443a73a0401408ee0	full	0	legacy_full_output	gasal2_equivalence_first_full_output	full_tfosorted_rowset	1	1	1800	full_output_descriptive_v1	1	historical_descriptive
