attempt_id	stage	validation_id	arm	order	repeat_id	query_id	target_id	query_path	target_path	query_sha256	target_sha256	authority_reference_kind	authority_reference	authority_reference_sha256	runtime_commit	hybrid_binary_sha256	authority_binary_sha256	runner_commit	runner_sha256	runtime_receipt_sha256	backend_timeout_seconds	gpu_physical_index	contract	claim_role	promotion_eligible	formal_source_data	retry_policy	expected_artifact_root	status
v2reg_hq01_ht01__repeat00	regression	hq01_ht01__repeat00	H	1	0	hq01	ht01	reproduce/bioinformatics/holdout_inputs/queries/hq01_ENSG00000276454_ENST00000615076.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq01_ht01__repeat00/authority/output/GRCh38-ENST00000615076.1|ENSG00000276454.1|ENSG00000276454|GENCODE v49|GRCh38-target-TFOsorted	cd5c7362cfeaefc37a2e744238acabca4e6fc78e07086caf765b7b68cec86bce	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	0	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq01_ht01__repeat00	preregistered_not_run
v2reg_hq01_ht01__repeat01	regression	hq01_ht01__repeat01	H	2	1	hq01	ht01	reproduce/bioinformatics/holdout_inputs/queries/hq01_ENSG00000276454_ENST00000615076.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq01_ht01__repeat01/authority/output/GRCh38-ENST00000615076.1|ENSG00000276454.1|ENSG00000276454|GENCODE v49|GRCh38-target-TFOsorted	cd5c7362cfeaefc37a2e744238acabca4e6fc78e07086caf765b7b68cec86bce	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	1	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq01_ht01__repeat01	preregistered_not_run
v2reg_hq01_ht01__repeat02	regression	hq01_ht01__repeat02	H	3	2	hq01	ht01	reproduce/bioinformatics/holdout_inputs/queries/hq01_ENSG00000276454_ENST00000615076.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq01_ht01__repeat02/authority/output/GRCh38-ENST00000615076.1|ENSG00000276454.1|ENSG00000276454|GENCODE v49|GRCh38-target-TFOsorted	cd5c7362cfeaefc37a2e744238acabca4e6fc78e07086caf765b7b68cec86bce	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	0	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq01_ht01__repeat02	preregistered_not_run
v2reg_hq01_ht02__repeat00	regression	hq01_ht02__repeat00	H	4	0	hq01	ht02	reproduce/bioinformatics/holdout_inputs/queries/hq01_ENSG00000276454_ENST00000615076.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq01_ht02__repeat00/authority/output/GRCh38-ENST00000615076.1|ENSG00000276454.1|ENSG00000276454|GENCODE v49|GRCh38-target-TFOsorted	89fade6245de4ab6d75665e968b09d7aed26ef4bf076b49196c77c915b4cd393	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	1	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq01_ht02__repeat00	preregistered_not_run
v2reg_hq01_ht02__repeat01	regression	hq01_ht02__repeat01	H	5	1	hq01	ht02	reproduce/bioinformatics/holdout_inputs/queries/hq01_ENSG00000276454_ENST00000615076.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq01_ht02__repeat01/authority/output/GRCh38-ENST00000615076.1|ENSG00000276454.1|ENSG00000276454|GENCODE v49|GRCh38-target-TFOsorted	89fade6245de4ab6d75665e968b09d7aed26ef4bf076b49196c77c915b4cd393	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	0	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq01_ht02__repeat01	preregistered_not_run
v2reg_hq01_ht02__repeat02	regression	hq01_ht02__repeat02	H	6	2	hq01	ht02	reproduce/bioinformatics/holdout_inputs/queries/hq01_ENSG00000276454_ENST00000615076.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq01_ht02__repeat02/authority/output/GRCh38-ENST00000615076.1|ENSG00000276454.1|ENSG00000276454|GENCODE v49|GRCh38-target-TFOsorted	89fade6245de4ab6d75665e968b09d7aed26ef4bf076b49196c77c915b4cd393	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	1	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq01_ht02__repeat02	preregistered_not_run
v2reg_hq02_ht01__repeat00	regression	hq02_ht01__repeat00	H	7	0	hq02	ht01	reproduce/bioinformatics/holdout_inputs/queries/hq02_ENSG00000235494_ENST00000420204.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	4350bf870072265c11088a52eb8190c138d0e59aade2e798e017c317b3304525	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq02_ht01__repeat00/authority/output/GRCh38-ENST00000420204.1|ENSG00000235494.3|ENSG00000235494|GENCODE v49|GRCh38-target-TFOsorted	f62a26e10a6f70faa3200db206b9dd4772bf58fc4187e03d2c1a0bfd56a1e5c9	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	0	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq02_ht01__repeat00	preregistered_not_run
v2reg_hq02_ht02__repeat00	regression	hq02_ht02__repeat00	H	8	0	hq02	ht02	reproduce/bioinformatics/holdout_inputs/queries/hq02_ENSG00000235494_ENST00000420204.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	4350bf870072265c11088a52eb8190c138d0e59aade2e798e017c317b3304525	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq02_ht02__repeat00/authority/output/GRCh38-ENST00000420204.1|ENSG00000235494.3|ENSG00000235494|GENCODE v49|GRCh38-target-TFOsorted	d659e968a606ed377716dcdba519de486b8914178d7531786dcc936ec5cc8a26	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	1	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq02_ht02__repeat00	preregistered_not_run
v2reg_hq03_ht01__repeat00	regression	hq03_ht01__repeat00	H	9	0	hq03	ht01	reproduce/bioinformatics/holdout_inputs/queries/hq03_ENSG00000224359_ENST00000457477.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	2d5c1f90ec02adea0810e86d405d9cb289141fc278ee5a13c76ec2434898ad43	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq03_ht01__repeat00/authority/output/GRCh38-ENST00000457477.2|ENSG00000224359.2|ENSG00000224359|GENCODE v49|GRCh38-target-TFOsorted	e19b3f067d38cfacb547748f92ba4bc4345dd68129d46997b7da381b1d0f7ab5	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	0	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq03_ht01__repeat00	preregistered_not_run
v2reg_hq03_ht02__repeat00	regression	hq03_ht02__repeat00	H	10	0	hq03	ht02	reproduce/bioinformatics/holdout_inputs/queries/hq03_ENSG00000224359_ENST00000457477.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	2d5c1f90ec02adea0810e86d405d9cb289141fc278ee5a13c76ec2434898ad43	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	frozen_file	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq03_ht02__repeat00/authority/output/GRCh38-ENST00000457477.2|ENSG00000224359.2|ENSG00000224359|GENCODE v49|GRCh38-target-TFOsorted	489b523b59313e23fbef6b3f4c54b548db469a4db10764320fae99aa75619076	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	17525a6d02e5c8d11a2359ae540e117dc08c8f99	2a5b6e66bd23f0a1ad61cd240a65321e6a51ecebaf488e8dc9002b9cc09bf616	fd06cef06fb6a820c911923d91acb67984cdb6751217f3b983e250f3bca9c81c	3600	1	all-ranked-top5-canonical-row-v2	regression_only	0	0	none	regression/v2reg_hq03_ht02__repeat00	preregistered_not_run
