all_three_top5_equal	archive_bytes	archive_restore_clean	baseline_gpu_memory_peak_mib	baseline_max_rss_kb	baseline_receipt_sha256	baseline_wall_seconds	boundary_ties_equal	candidate_gpu_memory_peak_mib	candidate_max_rss_kb	candidate_receipt_sha256	candidate_run_restore_wall_seconds	candidate_wall_seconds	claim_id	clustered_nt_top5_equal	clustered_score_top5_equal	clustered_stability_top5_equal	config_digest_sha256	decision	fallbacks	full_extra_rows	full_missing_rows	full_output_byte_equal	legacy_text_bytes	output_contract	overflow_batches	pair_id	pair_id_text	pair_order	paired_speedup	preset_id	restore_max_rss_kb	restore_wall_seconds	runtime_commit	runtime_epoch	schema_version	status	storage_reduction_ratio	workload_id	pair_summary_path	dedup_db_bytes	memory_merge_wall_seconds	memory_peak_rss_kb	peak_rss_reduction_fraction	peak_rss_reduction_kb	sqlite_merge_wall_seconds	sqlite_peak_rss_kb	baseline_exact_stage_seconds	baseline_exact_stage_share	baseline_restore_wall_seconds	candidate_exact_stage_seconds	candidate_exact_stage_share	candidate_restore_wall_seconds	exact_cells	exact_stage_speedup	exact_tasks	exact_work_equal	gasal2_requests	request_counts_equal	traceback_requests
1	321411	1	19769.0	846440	7f708178d8faa8ea8ab41db456bf10b00b5c4809d0bfbeec80f7348550158362	3.2742705000564456	1	19769.0	862552	7352bfeb512ededde0b9e6a6b7984ddeae871c6270bf8062951270339f319648	2.705710575100966	2.471376902074553	C5	1	1	1	4a366fdd7c7022fbd01cc88983f3bf1e5aeb71145aff0c7d09e9b4486f22c412	archive_restore_contract_clean	0	0	0	1	1836889	archive_restore_only	0	1	c5_archive_h19_2mb__pair01__0	BA	1.324877034056569	archive_first_exact_restore_v1	21536	0.23433367302641273	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	5.7150782020528235	c5_archive_h19_2mb	pairs-v1/c5_archive_h19_2mb__pair01__0/pair-summary.json	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	321411	1	19769.0	846164	85fddc14e7c7f2285467f12ea36379034b738aa1b4096af791e07f550cc363e8	3.274251295020804	1	19769.0	862356	cfdde0431e3500c40ae08150183a5860246a39d0c10debc2501af82407860357	2.8060613179113716	2.5487816230161116	C5	1	1	1	943abacbba8151281e7a0891d2bd5fd433a0fd337989e3d0238f6b52c6a42e90	archive_restore_contract_clean	0	0	0	1	1836889	archive_restore_only	0	2	c5_archive_h19_2mb__pair02__0	AB	1.284633907218071	archive_first_exact_restore_v1	21356	0.25727969489526004	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	5.7150782020528235	c5_archive_h19_2mb	pairs-v1/c5_archive_h19_2mb__pair02__0/pair-summary.json	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	321411	1	19769.0	846148	2805e88bf0939278472fe3a4021405c9b3eca66a66397ac362573d0efa5abb4f	3.3062038589268923	1	19769.0	862008	0e656c84ff9a7eecebf8de6f125bffcaa46ac6fdf13ba4f79e97a3f02fe126c1	2.7391444069799036	2.471505149966106	C5	1	1	1	59030206a2fcd1ccaac60c88648301d12c22c30496473d852f93e42cad732dc5	archive_restore_contract_clean	0	0	0	1	1836889	archive_restore_only	0	3	c5_archive_h19_2mb__pair03__0	BA	1.3377288972965455	archive_first_exact_restore_v1	21448	0.26763925701379776	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	5.7150782020528235	c5_archive_h19_2mb	pairs-v1/c5_archive_h19_2mb__pair03__0/pair-summary.json	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	34.0	43868	23fabf0977830d22d4bd93c557caa6691dc9784c5e7f16c60576bc15a43f8134	1.7696373430080712	NA	34.0	29120	702a1e80fe28f797fe6830f93d31d5834778192e3d4f28b07d3421afa57e1f9b	NA	2.227552190073766	C5	NA	NA	NA	25f6cdfeddc8ab5d95b30b6d93ebbbf00901849f6d38a88c2ab7694efb7d729c	bounded_memory_merge_clean	0	0	0	1	NA	archive_restore_only	0	1	c5_archive_large_synthetic__pair01__0	BA	0.7944313722002937	archive_merge_large_synthetic_v1	NA	NA	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	NA	c5_archive_large_synthetic	pairs-v1/c5_archive_large_synthetic__pair01__0/pair-summary.json	18366464	1.200149	43868	0.3361903893498678	14748	1.672865	29120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	34.0	43836	ef164229c5a0f16e607bc78773d8ee006cb3fcf2a34a48a90526ae2fc454b3ea	1.719192182063125	NA	34.0	29264	6665b10650d196e0367ed422894c4013e8edb6d022a88be3c2ecf751cf2dee82	NA	2.171019996982068	C5	NA	NA	NA	874ee3726a051254478beac6e2bd82a8fa4e2b8be02a60b7f8032dd2f0f241cd	bounded_memory_merge_clean	0	0	0	1	NA	archive_restore_only	0	2	c5_archive_large_synthetic__pair02__0	AB	0.7918822417356689	archive_merge_large_synthetic_v1	NA	NA	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	NA	c5_archive_large_synthetic	pairs-v1/c5_archive_large_synthetic__pair02__0/pair-summary.json	18366464	1.186355	43836	0.3324208413176385	14572	1.651378	29264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	34.0	44084	2e6a08f7351f25eb57e1a33fb94a9134718811b4213592c84c7bd6945611d7ce	1.7192146400921047	NA	34.0	29040	84f113305afaed3eff5e8930565a5a8c6e512030f5db9837a286fbd09c1c3c8f	NA	2.198317912989296	C5	NA	NA	NA	4d6122b09ced8578112faa148bb28a1fb890ee2b75f802d5ae3f1da6220ed79e	bounded_memory_merge_clean	0	0	0	1	NA	archive_restore_only	0	3	c5_archive_large_synthetic__pair03__0	BA	0.7820591507414405	archive_merge_large_synthetic_v1	NA	NA	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	NA	c5_archive_large_synthetic	pairs-v1/c5_archive_large_synthetic__pair03__0/pair-summary.json	18366464	1.176367	44084	0.34125759912893566	15044	1.654937	29040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	NA	1	19769.0	861976	f39793862353937e2c29ca924f7c00ecc85e60cc462fd04d14bc4833bd3c9a0f	2.5256023589754477	1	19697.0	829516	c559fba3a85e226cc7636ed99343ff1e8ebcf57b35f1c51a12f7b2ae5dacc127	NA	2.3326647100038826	C6	1	1	1	42bfb2f085fb42fe2942d048842b58b663e74e708bd7d8d042813bd8484f61d7	exact_column_contract_clean	0	0	0	1	NA	full_tfosorted_rowset	0	1	c6_exact_h19_2mb__pair01__0	AB	1.0827112649941208	exact_column_safe_v1	NA	NA	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	NA	c6_exact_h19_2mb	pairs-v1/c6_exact_h19_2mb__pair01__0/pair-summary.json	NA	NA	NA	NA	NA	NA	NA	0.329091	0.13030198472474552	0.2397106729913503	0.244896	0.10498551246981071	0.2564267710549757	51840000	1.3437990003920033	10368	1	564454	1	175193
1	NA	1	19769.0	862568	0a836e581ce8faeda63a6f2651c77bce089cc444321604e364b6621d47318466	2.4726000940427184	1	19697.0	829500	db3062cab30e486f92f81c58395298653daa9abf4a631ac8ce23610244e3ecbb	NA	2.342106134048663	C6	1	1	1	ba6ea674afd277fd1491c74fca22f03b2fbcd19aa7d6b48237f7d4eb8823905e	exact_column_contract_clean	0	0	0	1	NA	full_tfosorted_rowset	0	2	c6_exact_h19_2mb__pair02__0	BA	1.0557165015269732	exact_column_safe_v1	NA	NA	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	NA	c6_exact_h19_2mb	pairs-v1/c6_exact_h19_2mb__pair02__0/pair-summary.json	NA	NA	NA	NA	NA	NA	NA	0.330041	0.1334793284183617	0.27141444908920676	0.239164	0.10211492832161753	0.25945311796385795	51840000	1.3799777558495425	10368	1	564454	1	175193
1	NA	1	19769.0	862080	da83a75713d9fbe48b534d141d74b569b6ccefbdb9770312c4dcbfac6665ebf5	2.5218492719577625	1	19697.0	830284	8d2202ac1bbf83d9c08aa508558613686e91d9fc45d3cbcda748f7b1895412f2	NA	2.3215317220892757	C6	1	1	1	0f6b2ae416d2df9f47b5fe80aeff879a48c0f62bb891b68c4d085fda76dfc6db	exact_column_contract_clean	0	0	0	1	NA	full_tfosorted_rowset	0	3	c6_exact_h19_2mb__pair03__0	AB	1.0862868027873467	exact_column_safe_v1	NA	NA	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	NA	c6_exact_h19_2mb	pairs-v1/c6_exact_h19_2mb__pair03__0/pair-summary.json	NA	NA	NA	NA	NA	NA	NA	0.328731	0.13035315141764975	0.24970320297870785	0.243855	0.10504056338310178	0.23299419798422605	51840000	1.3480592975333703	10368	1	564454	1	175193
1	NA	1	15071.0	892844	0ffe695c4b5b2fef86d503e13c8cac822cadde75c030781a1ae1d03bd9b96424	50.707752095069736	1	14999.0	869688	56a9163286c5e718de277b2e2f0fb0b954b42e132884c221100ab4ca620cf711	NA	45.99480522493832	C6	1	1	1	30e5451308b745cb768060812ee354c58fbf8cb16589ecbc8be412a12e9a5448	exact_column_contract_clean	0	0	0	1	NA	full_tfosorted_rowset	0	1	c6_exact_kcnq_segment_chr22__pair01__0	AB	1.1024669383223318	exact_column_safe_v1	NA	NA	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	0	1	clean	NA	c6_exact_kcnq_segment_chr22	pairs-v1/c6_exact_kcnq_segment_chr22__pair01__0/pair-summary.json	NA	NA	NA	NA	NA	NA	NA	7.83639	0.15454027591891464	1.4320006449706852	4.82501	0.10490336846526933	1.4409645949490368	1924080000	1.624118913743184	384816	1	18210328	1	5482271
