comparison_id	dataset_class	evidence_role	workload_id	repeat_id	authority_output	candidate_output	authority_output_sha256	candidate_output_sha256	authority_query_fasta	candidate_query_fasta	authority_target_fasta	candidate_target_fasta	query_fasta_interval	target_fasta_interval	target_region_start0	query_ordinal_namespace	query_source_ordinal	query_sequence_sha256	target_ordinal_namespace	target_source_ordinal	target_sequence_sha256	assembly	target_coordinate_namespace	query_extraction_recipe_id	target_extraction_recipe_id	parameter_bundle_sha256	input_pair_digest	authority_receipt_sha256	candidate_receipt_sha256
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh001	0	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat00_a/output/at0018-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat00_h/output/at0018-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	cdc3f8a37932f10c0942fe4802a4172053b1097e51448e47be343d8ad107c903	cdc3f8a37932f10c0942fe4802a4172053b1097e51448e47be343d8ad107c903	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat00_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat00_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat00_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat00_h/inputs/target.fa	0:766	0:2501	0	canonical_hybrid_v2_application_query_v1	38	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	canonical_hybrid_v2_application_target_v1	18	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	8bb09677c0e423b3a8b7a1a0632fe561f1267591b3eb309872a141d87c6d661d	361721121726e5db5d018d96779940efd2dd632eca48df7e6cb46748efc3cc26	406aa0b0142c54e6cc597a5ba98e57ddeed13efbd5f29bed238c41673e7d1bb7
canonical_hybrid_v2_former_fresh:vh001__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh001	1	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat01_a/output/at0018-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat01_h/output/at0018-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	cdc3f8a37932f10c0942fe4802a4172053b1097e51448e47be343d8ad107c903	cdc3f8a37932f10c0942fe4802a4172053b1097e51448e47be343d8ad107c903	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat01_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat01_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat01_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat01_h/inputs/target.fa	0:766	0:2501	0	canonical_hybrid_v2_application_query_v1	38	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	canonical_hybrid_v2_application_target_v1	18	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	8bb09677c0e423b3a8b7a1a0632fe561f1267591b3eb309872a141d87c6d661d	15d432e98737a6e3c50f845bb7ac0770145b757c91632162aa87d6d34039092e	8037d7f6ab75f3a141507c19207dbd108e60f68e7c8f29be537b588ab548c014
canonical_hybrid_v2_former_fresh:vh001__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh001	2	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat02_a/output/at0018-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat02_h/output/at0018-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	cdc3f8a37932f10c0942fe4802a4172053b1097e51448e47be343d8ad107c903	cdc3f8a37932f10c0942fe4802a4172053b1097e51448e47be343d8ad107c903	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat02_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat02_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat02_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh001__repeat02_h/inputs/target.fa	0:766	0:2501	0	canonical_hybrid_v2_application_query_v1	38	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	canonical_hybrid_v2_application_target_v1	18	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	8bb09677c0e423b3a8b7a1a0632fe561f1267591b3eb309872a141d87c6d661d	d5d2b8d53acdbf9d7ab45912ab15c74dcebf5ec67f86e8a1e13dd8090308a4a1	4111fb2ffbd91a8730973d7358907b23964be615359266cf3af4a1d4be334232
canonical_hybrid_v2_former_fresh:vh002__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh002	0	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh002__repeat00_a/output/at0195-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh002__repeat00_h/output/at0195-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	85e57bafbbac2617e7654e49a25ba39e279b8d9d8da4f990ff5f039c72fe7e09	85e57bafbbac2617e7654e49a25ba39e279b8d9d8da4f990ff5f039c72fe7e09	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh002__repeat00_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh002__repeat00_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh002__repeat00_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh002__repeat00_h/inputs/target.fa	0:766	0:2501	0	canonical_hybrid_v2_application_query_v1	38	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	canonical_hybrid_v2_application_target_v1	195	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	46935110a12b633a8e8401625c6e75be0d0bca8bf09baba1f863b7834b1aaa8a	96a0543cde0b4f0f72079292af00ed9f62adbef389b03510e230834b990edbe4	178ef7499c1df5982691abf874c59270c2089a5f54d1e39377f5cf2e851a1773
canonical_hybrid_v2_former_fresh:vh003__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh003	0	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat00_a/output/at0652-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat00_h/output/at0652-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	63cc20b0383c60e0d4f5b2324c714f0615f97be7f28b49c0856a229be1984389	63cc20b0383c60e0d4f5b2324c714f0615f97be7f28b49c0856a229be1984389	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat00_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat00_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat00_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat00_h/inputs/target.fa	0:766	0:2501	0	canonical_hybrid_v2_application_query_v1	38	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	canonical_hybrid_v2_application_target_v1	652	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	f800c199c441f91b93c0927985ca71e1d092a933b71aa659c6b3b6f4ed7b9859	ea4ab67f4487f50531eb5fe2097164dade66a7506032371bbf0eb4bef0fcbe75	e5ef73712d920e58a29712dfd45d8197bf1fbcdeec3b916ddb166cd1100c848b
canonical_hybrid_v2_former_fresh:vh003__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh003	1	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat01_a/output/at0652-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat01_h/output/at0652-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	63cc20b0383c60e0d4f5b2324c714f0615f97be7f28b49c0856a229be1984389	63cc20b0383c60e0d4f5b2324c714f0615f97be7f28b49c0856a229be1984389	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat01_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat01_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat01_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat01_h/inputs/target.fa	0:766	0:2501	0	canonical_hybrid_v2_application_query_v1	38	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	canonical_hybrid_v2_application_target_v1	652	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	f800c199c441f91b93c0927985ca71e1d092a933b71aa659c6b3b6f4ed7b9859	9e2011a608f1cd9aa6385ed23741ad1fe57326e8fddb33b1d7b528241974fb5a	35e7b7bb287228ee826903e476033fd42bfacdc0710db36c3e8d3ef9412d9687
canonical_hybrid_v2_former_fresh:vh003__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh003	2	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat02_a/output/at0652-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat02_h/output/at0652-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	63cc20b0383c60e0d4f5b2324c714f0615f97be7f28b49c0856a229be1984389	63cc20b0383c60e0d4f5b2324c714f0615f97be7f28b49c0856a229be1984389	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat02_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat02_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat02_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh003__repeat02_h/inputs/target.fa	0:766	0:2501	0	canonical_hybrid_v2_application_query_v1	38	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	canonical_hybrid_v2_application_target_v1	652	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	f800c199c441f91b93c0927985ca71e1d092a933b71aa659c6b3b6f4ed7b9859	d48f01626e013a7b7f7bbfde39deb154fcfa6b139bd2e966cbbe2dcafff782e8	8c952f87293c9495b527da28beb8d762ae5a10178e352455201fe6988d7d0b1c
canonical_hybrid_v2_former_fresh:vh004__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh004	0	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh004__repeat00_a/output/at0260-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh004__repeat00_h/output/at0260-aq038|ENST00000702329.1|ENSG00000289987.1|ENSG00000289987|GENCODE v49|GRCh38|application_query-target-TFOsorted	ac33bcd88daa5880d6e1afb352480b594a2bb3e92591b8c4c5057e72da30276d	ac33bcd88daa5880d6e1afb352480b594a2bb3e92591b8c4c5057e72da30276d	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh004__repeat00_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh004__repeat00_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh004__repeat00_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh004__repeat00_h/inputs/target.fa	0:766	0:2501	0	canonical_hybrid_v2_application_query_v1	38	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	canonical_hybrid_v2_application_target_v1	260	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	709c8fe06413d8e89178bdeac3665bfa5401a86cc0e287843b0a9c34a39e2826	5558389dd2313e2e6f1a1b128307200a9f344497357d53b0d73ae1044d6841d4	25912226d3b9b1689ca806bcaadcd358c33d9b18dcc2f3d4b38872e3ad9c716c
canonical_hybrid_v2_former_fresh:vh005__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh005	0	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh005__repeat00_a/output/at0018-aq033|ENST00000440477.1|ENSG00000227880.2|ENSG00000227880|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh005__repeat00_h/output/at0018-aq033|ENST00000440477.1|ENSG00000227880.2|ENSG00000227880|GENCODE v49|GRCh38|application_query-target-TFOsorted	a49412f6731131af346f14740d0ec5e34eab1d71a6c19aa82f33ec12406bc260	a49412f6731131af346f14740d0ec5e34eab1d71a6c19aa82f33ec12406bc260	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh005__repeat00_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh005__repeat00_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh005__repeat00_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh005__repeat00_h/inputs/target.fa	0:770	0:2501	0	canonical_hybrid_v2_application_query_v1	33	8a339029600f81e08c4c1c0652de1466837e863dee6aee2dcd0e3f2b3c40231e	canonical_hybrid_v2_application_target_v1	18	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	80ee5c424e45eee273355a7bedfbef6d98fc68033b7f67c14655c4cc184143f7	4bbbb06de094ae7bd629a6bc71375cab883052dc38e87ee938f2c6a0d1a742a0	423350b694277090076d726b362d6a74221fbc0dfc379e7f59efa8863fbe3590
canonical_hybrid_v2_former_fresh:vh006__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	historical_regression_only	vh006	0	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh006__repeat00_a/output/at0195-aq033|ENST00000440477.1|ENSG00000227880.2|ENSG00000227880|GENCODE v49|GRCh38|application_query-target-TFOsorted	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh006__repeat00_h/output/at0195-aq033|ENST00000440477.1|ENSG00000227880.2|ENSG00000227880|GENCODE v49|GRCh38|application_query-target-TFOsorted	b56293e510a4ce5ac766b118108a95b192c4e01b16b9d0ceee9ce8424522bafc	b56293e510a4ce5ac766b118108a95b192c4e01b16b9d0ceee9ce8424522bafc	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh006__repeat00_a/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh006__repeat00_h/inputs/query.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh006__repeat00_a/inputs/target.fa	.paper-artifacts/bioinformatics-canonical-hybrid-v2/fresh-holdout/v2hold_vh006__repeat00_h/inputs/target.fa	0:770	0:2501	0	canonical_hybrid_v2_application_query_v1	33	8a339029600f81e08c4c1c0652de1466837e863dee6aee2dcd0e3f2b3c40231e	canonical_hybrid_v2_application_target_v1	195	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	GRCh38	application_target_fasta_0_based_half_open	historical_application_query_fasta_v1	historical_application_target_fasta_v1	110752c4078bc2b300ad4e92e2495ea868c365486e540da7002fc3e19a18241a	f07fd0e61bceb5cb63af5a05d2c77a38ff50edaaf63b82cd5302da9e84cc3db8	e4518ed0a8475aa716ddf9b363d27b78f82736cc81fa00a97e1b14a709304504	dd4be4aaf983222a2df7836ac94a07c3666a7f54f8713b5f195257733b646d22
