workload_id	claim_id	role	query_id	query_length_nt	fragment_position	target_id	target_region	preset_id	output_contract	status	repeat_consistent	valid_pairs	median_baseline_wall_seconds	median_candidate_wall_seconds	median_paired_speedup	paired_speedup_q1	paired_speedup_q3	paired_speedup_min	paired_speedup_max	clustered_score_all_equal	clustered_stability_all_equal	clustered_nt_all_equal	boundary_ties_all_equal	raw_score_all_equal	raw_stability_all_equal	raw_nt_all_equal	full_missing_rows_total	full_extra_rows_total	fallbacks_total	oom_total	gasal2_requests_total	traceback_requests_total	baseline_rss_peak_kb	candidate_rss_peak_kb	baseline_gpu_memory_peak_mib	candidate_gpu_memory_peak_mib
g01_malat1_5p_1024_chr11	C2	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	3	50.344283245969564	4.225235744030215	11.92444177991023	11.914188326810642	11.92637499086814	11.903934873711053	11.928308201826049	1	1	1	1	1	1	1	132	129	0	0	2559021	1055244	207416.0	533336.0	34.0	7375.0
g02_malat1_mid_2048_chr21	C2	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	fast_topk_score_stability_nt	mismatch	1	3	79.21645827800967	4.878783490974456	16.23597776237592	16.226225340165524	16.23716686397347	16.216472917955127	16.238355965571024	1	0	1	1	1	0	1	54	54	0	0	3274053	1413768	206908.0	731748.0	34.0	15071.0
g03_malat1_3p_2812_chr22	C2	generalization_core	MALAT1	2812	3p	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	3	93.72063690598588	5.379818847053684	17.420779318120164	17.412777362184716	17.42788920234291	17.404775406249268	17.434999086565657	1	1	1	1	1	1	1	114	138	0	0	2607717	1083282	198724.0	859116.0	34.0	16539.0
g04_neat1_5p_2048_chr22	C2	generalization_core	NEAT1	2048	5p	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	3	87.00791515596211	5.096078827045858	17.07350261031964	16.933581999793894	17.11405065190744	16.793661389268145	17.154598693495238	1	1	1	1	1	1	1	123	141	0	0	3083811	1111962	206892.0	749496.0	34.0	15071.0
g05_neat1_mid_2812_chr11	C2	generalization_core	NEAT1	2812	mid	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	3	92.77881917590275	5.230780042940751	17.721833539339485	17.653144141635895	17.72946203579246	17.584454743932305	17.737090532245436	1	1	1	1	0	1	1	453	496	0	0	2401887	997833	197648.0	863852.0	409.0	19769.0
g06_neat1_3p_1024_chr21	C2	generalization_core	NEAT1	1024	3p	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	3	50.99465015693568	3.674829849973321	13.877246180636925	13.770217698179135	13.87779084644799	13.663189215721342	13.878335512259055	1	1	1	1	1	1	1	3	12	0	0	2556216	948024	207416.0	527800.0	34.0	7375.0
g07_kcnq1ot1_5p_2812_chr21	C2	generalization_core	KCNQ1OT1	2812	5p	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	3	113.56226034509018	4.927957448991947	23.044488821290503	23.00103790981683	23.192376924045785	22.95758699834316	23.340265026801067	1	1	1	1	1	1	1	27	27	0	0	2865333	843222	199016.0	847200.0	34.0	19769.0
g08_kcnq1ot1_mid_1024_chr22	C2	generalization_core	KCNQ1OT1	1024	mid	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	3	51.35487241705414	3.6755219739861786	13.9757269282732	13.967385696146861	13.981008786597688	13.959044464020522	13.986290644922175	1	1	1	1	1	1	1	81	60	0	0	2836428	1118226	207392.0	543616.0	34.0	7135.0
g09_kcnq1ot1_3p_2048_chr11	C2	generalization_core	KCNQ1OT1	2048	3p	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	fast_topk_score_stability_nt	mismatch	1	3	70.76214665605221	3.475161488982849	20.362261402926546	20.31842319684375	20.370731333592097	20.274584990760953	20.379201264257645	1	1	0	1	1	1	1	129	153	0	0	2121870	947868	207032.0	715764.0	477.0	15071.0
g10_h19_full_chr11	C2	breadth	H19	2812	full	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	1	116.01255977805704	5.831575772957876	19.893861332648594	19.893861332648594	19.893861332648594	19.893861332648594	19.893861332648594	1	1	1	1	1	1	1	238	268	0	0	1060302	337167	198428.0	881352.0	34.0	19769.0
