source_freeze_id	runtime_epoch	runtime_commit	workload_id	role	query_id	query_length_nt	fragment_position	query_start_nt	query_end_nt	query_a_count	query_c_count	query_g_count	query_t_count	query_normalized_sha256	target_id	target_region	preset_id	output_contract	frozen_status	repeat_count	repeat_contract_status_consistent	baseline_repeat_top5_signature_consistent	candidate_repeat_top5_signature_consistent	repeat_top5_signature_consistent	repeat_top5_signature_availability_reason	repeat_consistency_basis	score_clean	score_mismatch	score_clean_pairs	score_mismatch_pairs	stability_clean	stability_mismatch	stability_clean_pairs	stability_mismatch_pairs	nt_clean	nt_mismatch	nt_clean_pairs	nt_mismatch_pairs	all_ranked_clean	all_ranked_clean_pairs	all_ranked_mismatch_pairs	raw_score_clean	raw_stability_clean	raw_nt_clean	full_row_equal	full_missing_rows_total	full_extra_rows_total	comparator_boundary_ties_all_equal	baseline_comparator_tie_groups_total	candidate_comparator_tie_groups_total	candidate_active_path_all_pairs	fallbacks_total	length_guard_fallbacks_total	runtime_batch_fallbacks_total	overflow_fallbacks_total	allocation_state	allocation_state_availability_reason	oom_total	baseline_output_rows	candidate_output_rows	output_rows_pair	baseline_output_digest_repeat_consistent	candidate_output_digest_repeat_consistent	output_digest_repeat_consistent	runtime_telemetry_available	runtime_telemetry_availability_reason	runtime_run_count	gasal2_requests_total	traceback_requests_total	baseline_rss_peak_kb	candidate_rss_peak_kb	baseline_gpu_memory_peak_mib	candidate_gpu_memory_peak_mib
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g01_malat1_5p_1024_chr11	generalization_core	MALAT1	1024	5p	0	1024	241	257	282	244	20ad7cfcfb6ac1133cdbe9171227845d00bac1910b126d168dbb0a336aff6785	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_frozen_pairs_with_identical_contract_flags_and_output_digests	1	0	3	0	1	0	3	0	1	0	3	0	1	3	0	1	1	1	0	132	129	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	5023	5022	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	8	2559021	1055244	207416.0	533336.0	34.0	7375.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g02_malat1_mid_2048_chr21	generalization_core	MALAT1	2048	mid	3330	5378	619	290	473	666	f05ed0b780d5b7ab4b02948049e113eeb918eec89055bab890a0276d82560356	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	fast_topk_score_stability_nt	mismatch	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_identical_frozen_top5_signatures	1	0	3	0	0	1	0	3	1	0	3	0	0	0	3	1	0	1	0	54	54	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1884	1884	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	8	3274053	1413768	206908.0	731748.0	34.0	15071.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g03_malat1_3p_2812_chr22	generalization_core	MALAT1	2812	3p	5896	8708	792	501	652	867	980a17b15fa176766a43e2165396b763755c295539df773b5cd04448bf7e8a43	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_frozen_pairs_with_identical_contract_flags_and_output_digests	1	0	3	0	1	0	3	0	1	0	3	0	1	3	0	1	1	1	0	114	138	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	6806	6814	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	8	2607717	1083282	198724.0	859116.0	34.0	16539.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g04_neat1_5p_2048_chr22	generalization_core	NEAT1	2048	5p	0	2048	433	445	674	496	ef19c282d5ceb65b2b231bf516633a83b8d3285b5cdf3e1b9f447c7af2163aeb	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_frozen_pairs_with_identical_contract_flags_and_output_digests	1	0	3	0	1	0	3	0	1	0	3	0	1	3	0	1	1	1	0	123	141	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	4082	4088	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	8	3083811	1111962	206892.0	749496.0	34.0	15071.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g05_neat1_mid_2812_chr11	generalization_core	NEAT1	2812	mid	9977	12789	726	566	502	1018	5520cd65a2d47eafec7ebd959cccda5e35bc6ca039bc798eebb6f61c5779e460	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_frozen_pairs_with_identical_contract_flags_but_varying_full_output_digests	1	0	3	0	1	0	3	0	1	0	3	0	1	3	0	0	1	1	0	453	496	1	6	6	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	12109	12123	pair01	1	0	0	1	frozen_runs_and_pair_telemetry_present	8	2401887	997833	197648.0	863852.0	409.0	19769.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g06_neat1_3p_1024_chr21	generalization_core	NEAT1	1024	3p	21743	22767	229	253	325	217	ac765d5fc312a1172951a694ec844f61420c7f011b6c6924ae6db38990f0a911	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_frozen_pairs_with_identical_contract_flags_and_output_digests	1	0	3	0	1	0	3	0	1	0	3	0	1	3	0	1	1	1	0	3	12	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	748	751	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	8	2556216	948024	207416.0	527800.0	34.0	7375.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g07_kcnq1ot1_5p_2812_chr21	generalization_core	KCNQ1OT1	2812	5p	0	2812	623	650	800	739	1fae4a9b32a7512568f1774dbeb2ed974ebe0b153e3bc4e809f5e756cb42816b	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_frozen_pairs_with_identical_contract_flags_and_output_digests	1	0	3	0	1	0	3	0	1	0	3	0	1	3	0	1	1	1	0	27	27	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	957	957	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	8	2865333	843222	199016.0	847200.0	34.0	19769.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g08_kcnq1ot1_mid_1024_chr22	generalization_core	KCNQ1OT1	1024	mid	45321	46345	209	340	250	225	8cb66a50fee868d7f54fc2a9d80d21ed66c7ef43ef5313b744d0ba908e1592aa	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_frozen_pairs_with_identical_contract_flags_and_output_digests	1	0	3	0	1	0	3	0	1	0	3	0	1	3	0	1	1	1	0	81	60	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	3361	3354	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	8	2836428	1118226	207392.0	543616.0	34.0	7135.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g09_kcnq1ot1_3p_2048_chr11	generalization_core	KCNQ1OT1	2048	3p	89619	91667	911	287	384	466	a5a3608f18f4983f0c19f0bb3e393d20c9f6268c84dd137ec31a628827448190	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	fast_topk_score_stability_nt	mismatch	3	1	1	1	1	all_frozen_pair_outputs_compared_all_ranks	three_identical_frozen_top5_signatures	1	0	3	0	1	0	3	0	0	1	0	3	0	0	3	1	1	1	0	129	153	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	3051	3059	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	8	2121870	947868	207032.0	715764.0	477.0	15071.0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g10_h19_full_chr11	breadth	H19	2812	full	0	2812	571	804	966	471	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	fast_topk_score_stability_nt	clean	1	1	NA	NA	NA	single_frozen_pair_no_multi_repeat_test	single_frozen_pair_no_multi_repeat_test	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	0	238	268	1	0	0	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	22941	22971	pair01	1	1	1	1	frozen_runs_and_pair_telemetry_present	4	1060302	337167	198428.0	881352.0	34.0	19769.0
