source_freeze_id	runtime_epoch	runtime_commit	workload_id	query_id	query_length_nt	fragment_position	query_a_count	query_c_count	query_g_count	query_t_count	query_normalized_sha256	target_id	target_region	rank	rank_equal	mismatch_pair_count	differing_position_count	differing_positions	top5_details_available	top5_details_availability_reason	baseline_top5_identities	candidate_top5_identities	baseline_primary_values	candidate_primary_values	comparator_boundary_ties_equal	baseline_comparator_tie_groups_all_ranks	candidate_comparator_tie_groups_all_ranks	baseline_rank5_rank6_primary_margin	candidate_rank5_rank6_primary_margin	baseline_rank5_rank6_primary_equal	candidate_rank5_rank6_primary_equal	primary_margin_availability_reason	baseline_output_rows	candidate_output_rows	full_missing_rows	full_extra_rows	candidate_active_path	fallbacks	length_guard_fallbacks	runtime_batch_fallbacks	overflow_fallbacks	allocation_state	allocation_state_availability_reason	oom	runtime_telemetry_available	runtime_telemetry_availability_reason	gasal2_requests	traceback_requests	repeat_count	repeat_contract_status_consistent	baseline_repeat_top5_signature_consistent	candidate_repeat_top5_signature_consistent	repeat_top5_signature_consistent	repeat_top5_signature_availability_reason	repeat_consistency_basis	evidence_pair_id
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g01_malat1_5p_1024_chr11	MALAT1	1024	5p	241	257	282	244	20ad7cfcfb6ac1133cdbe9171227845d00bac1910b126d168dbb0a336aff6785	chr11_center_2mb	slice:66543311-68543311	score	1	0	0	none	1	checksum_verified_pair01_raw_archive	1:e4507a8430a53e9e;2:b2b1d3bddb49ec59;3:534eaca1484f3100;4:2cd52db2304b3b8f;5:bfebc908b4aa10a4	1:e4507a8430a53e9e;2:b2b1d3bddb49ec59;3:534eaca1484f3100;4:2cd52db2304b3b8f;5:bfebc908b4aa10a4	1:162;2:132;3:126;4:125;5:114	1:162;2:132;3:126;4:125;5:114	1	0	0	1	1	0	0	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	5023	5022	44	43	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	853007	351748	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g01_malat1_5p_1024_chr11__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g01_malat1_5p_1024_chr11	MALAT1	1024	5p	241	257	282	244	20ad7cfcfb6ac1133cdbe9171227845d00bac1910b126d168dbb0a336aff6785	chr11_center_2mb	slice:66543311-68543311	stability	1	0	0	none	1	checksum_verified_pair01_raw_archive	1:69173030ff325d02;2:f4edc959fa094482;3:0c1efcf3359f9e79;4:32abbe6740a3354f;5:ec73e3d440689ceb	1:69173030ff325d02;2:f4edc959fa094482;3:0c1efcf3359f9e79;4:32abbe6740a3354f;5:ec73e3d440689ceb	1:2.9098;2:2.74737;3:2.49649;4:2.48889;5:2.48462	1:2.9098;2:2.74737;3:2.49649;4:2.48889;5:2.48462	1	0	0	0.00826	0.00826	0	0	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	5023	5022	44	43	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	853007	351748	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g01_malat1_5p_1024_chr11__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g01_malat1_5p_1024_chr11	MALAT1	1024	5p	241	257	282	244	20ad7cfcfb6ac1133cdbe9171227845d00bac1910b126d168dbb0a336aff6785	chr11_center_2mb	slice:66543311-68543311	nt	1	0	0	none	1	checksum_verified_pair01_raw_archive	1:bdb41bf4848c441d;2:6803635199896f49;3:983f5d1139e86576;4:9af6b9bb756f9d79;5:6b57b0fb33c88c32	1:bdb41bf4848c441d;2:6803635199896f49;3:983f5d1139e86576;4:9af6b9bb756f9d79;5:6b57b0fb33c88c32	1:123;2:119;3:102;4:102;5:100	1:123;2:119;3:102;4:102;5:100	1	0	0	0	0	1	1	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	5023	5022	44	43	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	853007	351748	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g01_malat1_5p_1024_chr11__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g02_malat1_mid_2048_chr21	MALAT1	2048	mid	619	290	473	666	f05ed0b780d5b7ab4b02948049e113eeb918eec89055bab890a0276d82560356	chr21_center_2mb	slice:22354991-24354991	score	1	0	0	none	1	frozen_mismatch_source_table_validated_against_raw_archive	1:7ec35cb35e596ede;2:1aea8b0dd0e973d1;3:8f41b5f96f8ad192;4:41b37ef60cc48080;5:e91f3174f2176670	1:7ec35cb35e596ede;2:1aea8b0dd0e973d1;3:8f41b5f96f8ad192;4:41b37ef60cc48080;5:e91f3174f2176670	1:149;2:140;3:138;4:138;5:138	1:149;2:140;3:138;4:138;5:138	1	0	0	1	1	0	0	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	1884	1884	18	18	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	1091351	471256	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g02_malat1_mid_2048_chr21__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g02_malat1_mid_2048_chr21	MALAT1	2048	mid	619	290	473	666	f05ed0b780d5b7ab4b02948049e113eeb918eec89055bab890a0276d82560356	chr21_center_2mb	slice:22354991-24354991	stability	0	3	4	2,3,4,5	1	frozen_mismatch_source_table_validated_against_raw_archive	1:ced269764c7a55b4;2:be27b370650fb19f;3:0bbfb12b78a2eee2;4:3023aa286fad428d;5:85834e9178862e09	1:ced269764c7a55b4;2:345b3e7d14561f6a;3:be27b370650fb19f;4:0bbfb12b78a2eee2;5:a332674d39177f3b	1:2.65455;2:2.54054;3:2.5;4:2.46622;5:2.45283	1:2.65455;2:2.55;3:2.54054;4:2.5;5:2.45775	1	0	0	0.00122	0.00492	0	0	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	1884	1884	18	18	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	1091351	471256	3	1	1	1	1	all_frozen_pair_outputs_compared	three_identical_frozen_top5_signatures	g02_malat1_mid_2048_chr21__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g02_malat1_mid_2048_chr21	MALAT1	2048	mid	619	290	473	666	f05ed0b780d5b7ab4b02948049e113eeb918eec89055bab890a0276d82560356	chr21_center_2mb	slice:22354991-24354991	nt	1	0	0	none	1	frozen_mismatch_source_table_validated_against_raw_archive	1:aca5da7eeca28e8b;2:70e27c1384928795;3:9054412a3eb98e57;4:049032fac5f00afc;5:62d2ebd96b1ba1fe	1:aca5da7eeca28e8b;2:70e27c1384928795;3:9054412a3eb98e57;4:049032fac5f00afc;5:62d2ebd96b1ba1fe	1:162;2:133;3:119;4:116;5:116	1:162;2:133;3:119;4:116;5:116	1	0	0	3	3	0	0	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	1884	1884	18	18	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	1091351	471256	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g02_malat1_mid_2048_chr21__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g03_malat1_3p_2812_chr22	MALAT1	2812	3p	792	501	652	867	980a17b15fa176766a43e2165396b763755c295539df773b5cd04448bf7e8a43	chr22_center_2mb	slice:24409234-26409234	score	1	0	0	none	1	checksum_verified_pair01_raw_archive	1:d52a4d5584a3cf8e;2:f86c27b4629b33f9;3:284b314a6375f7f4;4:82df28cb67a3d381;5:a3c2a747bcc2e183	1:d52a4d5584a3cf8e;2:f86c27b4629b33f9;3:284b314a6375f7f4;4:82df28cb67a3d381;5:a3c2a747bcc2e183	1:153;2:152;3:145;4:136;5:127	1:153;2:152;3:145;4:136;5:127	1	0	0	0	0	1	1	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	6806	6814	38	46	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	869233	361094	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g03_malat1_3p_2812_chr22__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g03_malat1_3p_2812_chr22	MALAT1	2812	3p	792	501	652	867	980a17b15fa176766a43e2165396b763755c295539df773b5cd04448bf7e8a43	chr22_center_2mb	slice:24409234-26409234	stability	1	0	0	none	1	checksum_verified_pair01_raw_archive	1:70faf96a2c384a5b;2:b11e2a8d361a7caa;3:73a3bd3755c5b342;4:37bceb4d12ab2a2f;5:912f692fed6b0c9a	1:70faf96a2c384a5b;2:b11e2a8d361a7caa;3:73a3bd3755c5b342;4:37bceb4d12ab2a2f;5:912f692fed6b0c9a	1:3.01;2:2.87818;3:2.83091;4:2.83;5:2.64407	1:3.01;2:2.87818;3:2.83091;4:2.83;5:2.64407	1	0	0	0.05478	0.05478	0	0	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	6806	6814	38	46	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	869233	361094	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g03_malat1_3p_2812_chr22__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g03_malat1_3p_2812_chr22	MALAT1	2812	3p	792	501	652	867	980a17b15fa176766a43e2165396b763755c295539df773b5cd04448bf7e8a43	chr22_center_2mb	slice:24409234-26409234	nt	1	0	0	none	1	checksum_verified_pair01_raw_archive	1:d52a4d5584a3cf8e;2:9ea01a7d3686e0f0;3:6a98763af40bcd38;4:b292f976a9cb765d;5:a3c2a747bcc2e183	1:d52a4d5584a3cf8e;2:9ea01a7d3686e0f0;3:6a98763af40bcd38;4:b292f976a9cb765d;5:a3c2a747bcc2e183	1:117;2:114;3:113;4:112;5:110	1:117;2:114;3:113;4:112;5:110	1	0	0	1	1	0	0	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	6806	6814	38	46	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	869233	361094	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g03_malat1_3p_2812_chr22__pair01__0
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	g04_neat1_5p_2048_chr22	NEAT1	2048	5p	433	445	674	496	ef19c282d5ceb65b2b231bf516633a83b8d3285b5cdf3e1b9f447c7af2163aeb	chr22_center_2mb	slice:24409234-26409234	score	1	0	0	none	1	checksum_verified_pair01_raw_archive	1:be0ad08b9ebf24fb;2:38a5021ae57774dd;3:abbbfac12f742d5e;4:c49c3dd1f71dbab5;5:4162f87e3fe06216	1:be0ad08b9ebf24fb;2:38a5021ae57774dd;3:abbbfac12f742d5e;4:c49c3dd1f71dbab5;5:4162f87e3fe06216	1:181;2:155;3:146;4:146;5:145	1:181;2:155;3:146;4:146;5:145	1	0	0	5	5	0	0	recomputed_with_frozen_comparator_semantics_from_checksum_verified_pair01_outputs	4082	4088	41	47	1	0	0	0	0	NA	not_recorded_in_frozen_development_evidence	0	1	frozen_pair_runtime_and_resource_telemetry_present	1027937	370654	3	1	1	1	1	all_frozen_pair_outputs_compared	three_frozen_pairs_with_identical_contract_flags_and_output_digests	g04_neat1_5p_2048_chr22__pair01__0
