record_type	query_ordinal_namespace	query_source_ordinal	target_ordinal_namespace	target_source_ordinal	query_id	target_id	query_sha256	target_sha256	query_region	target_region	assembly	coordinate_namespace	pair_digest	source_receipt_path	exclusion_reason
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MALAT1	chr21_center_2mb	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	3330:5378	slice:22354991-24354991	as_recorded_in_historical_workload	source_fasta_record_coordinates	6e580e3837305ce6e9f7c6b4fb5b0099e0dae7a49d7a0cad11bdaff3dec8a62c	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MALAT1	chr11_center_2mb	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	0:1024	slice:66543311-68543311	as_recorded_in_historical_workload	source_fasta_record_coordinates	53690213b990678c42835db13eba6101d0cc72c6818d476c378b06aea5fd6c45	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MALAT1	malat1_dna	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	7690187d2d4c9bec15f9e0283b307c8f99b2b67d800a1a45a14310dda08641fd	0:8708	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	81df046f3dd562f349b6bd0b0c7f04feb1c35dc0547d0f63adb116e714d7c178	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MALAT1	chr22_center_2mb	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	5896:8708	slice:24409234-26409234	as_recorded_in_historical_workload	source_fasta_record_coordinates	4adfef770b0acf0fbf58ffebb38533bec0b41732f9d919efe7e46b60e760117a	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	NEAT1	neat1_dna	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	29dd9029bb99ecabcdf811bee210baf6f8e55d22a65bf3ac06b24b6673bbceab	0:22767	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	24a6b2d8c3d0ea48f2e97f896ccbb03250a4cfb56a448b6476204c6b41cec610	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	NEAT1	chr21_center_2mb	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	21743:22767	slice:22354991-24354991	as_recorded_in_historical_workload	source_fasta_record_coordinates	cb0d8cc6d3155f571cc0586edd1d8bd3b0bd44fd91b3dd5aad70d086cbf66ba0	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	NEAT1	chr11_center_2mb	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	9977:12789	slice:66543311-68543311	as_recorded_in_historical_workload	source_fasta_record_coordinates	46b29e59d20b67dd5ea28041f56533afefc60711804b591e892c82b3813f45b3	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	NEAT1	chr22_center_2mb	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	0:2048	slice:24409234-26409234	as_recorded_in_historical_workload	source_fasta_record_coordinates	7e7278ebe0165ccca51515567226f5cbe1785f20c8aa8ab53622b84242e3efb3	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr1_full	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	04ee6db2e94ccc4daddc168453189d8c17a01454ba67ac0443a73a0401408ee0	0:2812	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	0cfb7f1b356990d0761f38836977a0d2db9d31bfb3fe051da4fae9f2d816ecd0	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr21_chr22_full	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	101496c0ff86af1227b8923b5c7af6be2c0e0edabee86b260cd1a539f93359d6	0:2812	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	afdbf55030b73661086985ad554cf233c29ee59628a74b4e9409f191cd58f246	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
