workload_id	claim	n	baseline_s	candidate_s	median_speedup	bootstrap95_low	bootstrap95_high	clean_pairs
c1_h19_chr21_chr22_fast_topk	C1	5	2377.197	61.842	38.321	38.200	38.600	5
c4_h19_chr21_two_slot	C4	5	63.000	55.084	1.143	1.141	1.158	5
c4_h19_chr22_two_slot	C4	5	62.341	54.171	1.151	1.148	1.158	5
c5_archive_h19_2mb	C5	3	3.274	2.472	1.325	1.285	1.338	3
c5_archive_large_synthetic	C5	3	1.719	2.198	0.792	0.782	0.794	3
c6_exact_h19_2mb	C6	3	2.522	2.333	1.083	1.056	1.086	3
c6_exact_kcnq_segment_chr22	C6	3	50.559	45.298	1.115	1.102	1.125	3
c7_kcnq_max8_chr22	C7	3	1021.718	938.724	1.087	1.085	1.088	3
g01_malat1_5p_1024_chr11	C2	3	50.344	4.225	11.924	11.904	11.928	3
g02_malat1_mid_2048_chr21	C2	3	79.216	4.879	16.236	16.216	16.238	0
g03_malat1_3p_2812_chr22	C2	3	93.721	5.380	17.421	17.405	17.435	3
g04_neat1_5p_2048_chr22	C2	3	87.008	5.096	17.074	16.794	17.155	3
g05_neat1_mid_2812_chr11	C2	3	92.779	5.231	17.722	17.584	17.737	3
g06_neat1_3p_1024_chr21	C2	3	50.995	3.675	13.877	13.663	13.878	3
g07_kcnq1ot1_5p_2812_chr21	C2	3	113.562	4.928	23.044	22.958	23.340	3
g08_kcnq1ot1_mid_1024_chr22	C2	3	51.355	3.676	13.976	13.959	13.986	3
g09_kcnq1ot1_3p_2048_chr11	C2	3	70.762	3.475	20.362	20.275	20.379	0
g10_h19_full_chr11	C2	1	116.013	5.832	19.894	NA	NA	1
g11_h19_full_chr21	C2	1	114.057	5.580	20.439	NA	NA	1
g12_h19_full_chr22	C2	1	115.962	5.694	20.367	NA	NA	0
g13_meg3_full_chr11	C2	1	70.317	4.528	15.528	NA	NA	1
