attempt_id	execution_stage	arm	backend	workload_id	workload_class	observation_id	cache_state	execution_order	device	gpu_assignment	query_path	target_path	query_file_sha256	target_file_sha256	query_sequence_sha256	target_sequence_sha256	pair_digest	reference_arm	reference_attempt_id	reference_artifact_root	reference_output_digest	source_manifest	source_manifest_sha256	command_template	environment_json	maximum_tasks	timeout_seconds	total_gpu_budget_seconds	retry_policy	claim_role	formal_source_data	artifact_root	status
p7c_hq01_ht01	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq01_ht01	consumed_le_800	0	not_requested	1	0	single_process_to_physical_0	reproduce/bioinformatics/holdout_inputs/queries/hq01_ENSG00000276454_ENST00000615076.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	e6f49cc6e21c70f84017c331f2b1096a79befef92e2f90948ab60f8409e5b3fa	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	3d6578127c572d05bf0f2c5408f1e6131a417cb3d194644047bc462b4f46b1d8	A	hq01_ht01__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq01_ht01__repeat00/authority/output	ee8c2cc502c14c94b8590a63b4c5f5cf8c7740baa5c4f2b814829cc3c9642064	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq01_ht01	preregistered_not_run
p7c_hq01_ht02	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq01_ht02	consumed_le_800	0	not_requested	2	1	single_process_to_physical_1	reproduce/bioinformatics/holdout_inputs/queries/hq01_ENSG00000276454_ENST00000615076.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	f1a033aeaffe55eab472636b7b3dbcf9f6c6b267781aa68f71c66142b8da7ce7	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	e6f49cc6e21c70f84017c331f2b1096a79befef92e2f90948ab60f8409e5b3fa	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	128ab708209c6e874b73a9f7246742068c19c8763c7376d5b846f4373d504d2c	A	hq01_ht02__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq01_ht02__repeat00/authority/output	c578cab03a4db8b077350b5b3f4a42cc83f95683aff0d6211b17a303b16300b8	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq01_ht02	preregistered_not_run
p7c_hq02_ht01	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq02_ht01	consumed_le_800	0	not_requested	3	0	single_process_to_physical_0	reproduce/bioinformatics/holdout_inputs/queries/hq02_ENSG00000235494_ENST00000420204.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	4350bf870072265c11088a52eb8190c138d0e59aade2e798e017c317b3304525	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	3833a3d93d592572ba6dc1c9971182e23d0ddbd87920804db58b1fdff340903c	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	c423cfc7d0eb2f4f13e83bee15e67fcefb23055eeac9e747cac5e14f73d1b15f	A	hq02_ht01__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq02_ht01__repeat00/authority/output	738fdb8f727a7ad82e4681df5d32035f6dd5589adb293f5904bdef9578300e0f	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq02_ht01	preregistered_not_run
p7c_hq02_ht02	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq02_ht02	consumed_le_800	0	not_requested	4	1	single_process_to_physical_1	reproduce/bioinformatics/holdout_inputs/queries/hq02_ENSG00000235494_ENST00000420204.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	4350bf870072265c11088a52eb8190c138d0e59aade2e798e017c317b3304525	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	3833a3d93d592572ba6dc1c9971182e23d0ddbd87920804db58b1fdff340903c	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	a4a21472e182a1c3a74c5b07603529e8881f0e78706db692700333d40ca6ef66	A	hq02_ht02__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq02_ht02__repeat00/authority/output	38d75975c9d5cc64595c87ee5cab4b339b7d1843ac30e698833b9fc6fe37197e	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq02_ht02	preregistered_not_run
p7c_hq03_ht01	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq03_ht01	consumed_le_800	0	not_requested	5	0	single_process_to_physical_0	reproduce/bioinformatics/holdout_inputs/queries/hq03_ENSG00000224359_ENST00000457477.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	2d5c1f90ec02adea0810e86d405d9cb289141fc278ee5a13c76ec2434898ad43	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	d31c99fa1234e35c4d945a36b9afe96c9826f774ed6dad3c1aa44ece47d69c8a	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	12e7337226ba5e2036741bbe1e7653417baf2d00acabd8bf27a6be950ff87c84	A	hq03_ht01__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq03_ht01__repeat00/authority/output	70f19a362af0d7d85513a48afe232cc42dbab94f6fb627a8a3d4631636dfac66	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq03_ht01	preregistered_not_run
p7c_hq03_ht02	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq03_ht02	consumed_le_800	0	not_requested	6	1	single_process_to_physical_1	reproduce/bioinformatics/holdout_inputs/queries/hq03_ENSG00000224359_ENST00000457477.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	2d5c1f90ec02adea0810e86d405d9cb289141fc278ee5a13c76ec2434898ad43	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	d31c99fa1234e35c4d945a36b9afe96c9826f774ed6dad3c1aa44ece47d69c8a	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	8219b8eb9afa978d47cbc652dcf9a859c118bb2648dea3c2f71c3396cbe38bf4	A	hq03_ht02__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq03_ht02__repeat00/authority/output	1fef52c27c0fc092da9461c3371262a154e49dea5f3b10805796d9e1c75eb26c	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq03_ht02	preregistered_not_run
p7c_hq04_ht01	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq04_ht01	consumed_le_800	0	not_requested	7	0	single_process_to_physical_0	reproduce/bioinformatics/holdout_inputs/queries/hq04_ENSG00000296969_ENST00000743921.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	d362aa46a045be67df64fd327dea74ed06a0f222dc318075c72ee0048125dc96	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	37c8ac7388c1884d7329e6f1fb9eace2240da2c41d9d4c5087117b0ad4023931	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	ed69270435cfa321facc3b44763068a5a9d09af4fbdc7db1f8552b97e69e2f03	A	hq04_ht01__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq04_ht01__repeat00/authority/output	137b23ac82bdc80dba1536192f6fbf6be7070c80c501c9ba6813362f7fcbf9da	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq04_ht01	preregistered_not_run
p7c_hq04_ht02	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq04_ht02	consumed_le_800	0	not_requested	8	1	single_process_to_physical_1	reproduce/bioinformatics/holdout_inputs/queries/hq04_ENSG00000296969_ENST00000743921.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	d362aa46a045be67df64fd327dea74ed06a0f222dc318075c72ee0048125dc96	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	37c8ac7388c1884d7329e6f1fb9eace2240da2c41d9d4c5087117b0ad4023931	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	5a6830a0810f729009aa9873dc1842822546bbec005ac4a48a84745727d02292	A	hq04_ht02__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq04_ht02__repeat00/authority/output	07f6ef0f18b0eee331a9dfcc7e7f13c025b8d7fbb13123d83af36cfb02de4f2b	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq04_ht02	preregistered_not_run
p7c_hq05_ht01	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq05_ht01	consumed_801_1600	0	not_requested	9	0	single_process_to_physical_0	reproduce/bioinformatics/holdout_inputs/queries/hq05_ENSG00000236772_ENST00000442179.fa	reproduce/bioinformatics/holdout_inputs/targets/ht01_ENSG00000159423_chr1_18902299_18904799.fa	55f3941f733c2f0788dd8e104e9fc114d0a86c71c92aa879784cc6f79c285377	075b0bcbe0f5f232b030e44a25f27ac4cb05ad4ced6743bac8a0450286cbea43	7bdb574d585d18e2f4bf5613a4c0ea9f23508841ff20898cb4366e4b4fa4681b	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	67cd1f206f370e911c66678a3ba921af2b04d6040bf81b170463bc2b5a2aec1c	A	hq05_ht01__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq05_ht01__repeat00/authority/output	1054e4d6f971d4ba5f45973a29749789aed8024adeea57a5a1baf5f1c81d5d55	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq05_ht01	preregistered_not_run
p7c_hq05_ht02	correctness_regression	F	ssw_cuda_forward_hybrid_v1	hq05_ht02	consumed_801_1600	0	not_requested	10	1	single_process_to_physical_1	reproduce/bioinformatics/holdout_inputs/queries/hq05_ENSG00000236772_ENST00000442179.fa	reproduce/bioinformatics/holdout_inputs/targets/ht02_ENSG00000198722_chr9_35159829_35162329.fa	55f3941f733c2f0788dd8e104e9fc114d0a86c71c92aa879784cc6f79c285377	15b67727bcbfe8138a9caa1f5100f822c8b021a6008878c65b361caa83fe224e	7bdb574d585d18e2f4bf5613a4c0ea9f23508841ff20898cb4366e4b4fa4681b	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	2595bf17ece2962fe0d2f7432c2c32c2b59ed4df6032764b85c536230d88923d	A	hq05_ht02__repeat00	.paper-artifacts/bioinformatics-phase2-holdout-v1/formal/hq05_ht02__repeat00/authority/output	d2e84ad1268e8c64c8212215912705ab59f138aa82a45c89148f1a9e93862f4a	paper/bioinformatics/holdout_manifest.tsv	9e293b2c3e8d0462e399fe64ff6f684e9c53f7dd428e9c88265b510909cee8c6	{binary} -f1 {target} -f2 {query} -r 0 -cn 1 -O {output}	"{""CUDA_VISIBLE_DEVICES"":""0,1"",""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_AVX2"":""0"",""FASIM_SSW_BACKEND"":""cuda-forward-hybrid"",""FASIM_SSW_CUDA_DEVICE"":""{device}"",""FASIM_SSW_FORWARD_HYBRID_MAX_TASKS"":""16"",""FASIM_SSW_FORWARD_HYBRID_TELEMETRY_PATH"":""{telemetry}"",""FASIM_SSW_ORACLE_TRACE"":""0"",""FASIM_SSW_PROFILE_CACHE"":""0"",""FASIM_SSW_PROFILE_CONTEXT"":""0"",""FASIM_TRANSFERSTRING_TABLE"":""0"",""FASIM_VERBOSE"":""0""}"	16	600	43200	none	consumed_regression_only	1	.paper-artifacts/ssw-cuda-v1/forward-hybrid/formal-v1/p7c_hq05_ht02	preregistered_not_run
