stage	workload_id	gene_id	target_artifact_id	target_path	target_length_bp	arm	repeat	scientific_sample	authorization
observed_query_shard9_shake_down	shake_ENSG00000229613_shard_0009	ENSG00000229613	shard_0009	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/shards/shard_0009.fa	4942620	baseline	1	0	authorized_pre_formal_gate
observed_query_shard9_shake_down	shake_ENSG00000229613_shard_0009	ENSG00000229613	shard_0009	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/shards/shard_0009.fa	4942620	candidate	1	0	authorized_pre_formal_gate
fresh_full_promoter_panel	fresh_ENSG00000286042_full_concat	ENSG00000286042	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000286042_full_concat	ENSG00000286042	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000286042_full_concat	ENSG00000286042	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000286042_full_concat	ENSG00000286042	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000286042_full_concat	ENSG00000286042	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000286042_full_concat	ENSG00000286042	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000215068_full_concat	ENSG00000215068	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000215068_full_concat	ENSG00000215068	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000215068_full_concat	ENSG00000215068	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000215068_full_concat	ENSG00000215068	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000215068_full_concat	ENSG00000215068	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000215068_full_concat	ENSG00000215068	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	3	1	pending_shake_down_gate
