comparison_id	dataset_class	workload_id	repeat_id	comparison_status	technical_failure	ranking_mode	strict_row_diagnostic	reference_candidate_count	candidate_candidate_count	matched_count	unmatched_reference_count	unmatched_candidate_count	recall	precision	top1_retained	complete_set_preserved	set_membership	ambiguous_matching	target_overlap_minimum	classifications	finite_rbo_fraction	binary_gate_denominator_eligible	binary_success
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	pass	0	score	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	pass	0	stability	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh001__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	0	pass	0	nt	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh001__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	1	pass	0	score	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh001__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	1	pass	0	stability	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh001__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	1	pass	0	nt	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh001__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	2	pass	0	score	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh001__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	2	pass	0	stability	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh001__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh001	2	pass	0	nt	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh002__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh002	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh002__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh002	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh002__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh002	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	1	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	1	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	1	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	2	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	2	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh003__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh003	2	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
