attempt_id	execution_order	workload_id	workload_class	claim_relevant	query_path	target_path	query_file_sha256	target_file_sha256	query_sequence_sha256	target_sequence_sha256	observation_id	cache_state	profile_mode	command	environment_json	timeout_seconds	retry_policy	formal_source_data	expected_artifact_root	status
p1_overhead_aq001_at0001_o01_profile_off	1	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	1	cold_advisory	profile_off	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o01_profile_off	preregistered_not_run
p1_overhead_aq001_at0001_o01_profile_on	2	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	1	cold_advisory	profile_on	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o01_profile_on	preregistered_not_run
p1_overhead_aq001_at0001_o02_profile_on	3	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	2	steady_state	profile_on	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o02_profile_on	preregistered_not_run
p1_overhead_aq001_at0001_o02_profile_off	4	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	2	steady_state	profile_off	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o02_profile_off	preregistered_not_run
p1_overhead_aq001_at0001_o03_profile_off	5	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	3	steady_state	profile_off	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o03_profile_off	preregistered_not_run
p1_overhead_aq001_at0001_o03_profile_on	6	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	3	steady_state	profile_on	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o03_profile_on	preregistered_not_run
p1_overhead_aq001_at0001_o04_profile_on	7	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	4	steady_state	profile_on	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o04_profile_on	preregistered_not_run
p1_overhead_aq001_at0001_o04_profile_off	8	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	4	steady_state	profile_off	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o04_profile_off	preregistered_not_run
p1_overhead_aq001_at0001_o05_profile_off	9	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	5	steady_state	profile_off	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o05_profile_off	preregistered_not_run
p1_overhead_aq001_at0001_o05_profile_on	10	overhead_aq001_at0001	small_overhead	0	reproduce/bioinformatics/application_inputs/queries/aq001.fa	reproduce/bioinformatics/application_inputs/targets/at0001.fa	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	38d060eba0a994044c2cb731e2fce427dfabb8221d29c880835095136572f104	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	5	steady_state	profile_on	{binary} -f1 reproduce/bioinformatics/application_inputs/targets/at0001.fa -f2 reproduce/bioinformatics/application_inputs/queries/aq001.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_overhead_aq001_at0001_o05_profile_on	preregistered_not_run
p1_medium_h19_chr22_2mb_o01_profile_off	11	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	1	cold_advisory	profile_off	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o01_profile_off	preregistered_not_run
p1_medium_h19_chr22_2mb_o01_profile_on	12	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	1	cold_advisory	profile_on	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o01_profile_on	preregistered_not_run
p1_medium_h19_chr22_2mb_o02_profile_on	13	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	2	steady_state	profile_on	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o02_profile_on	preregistered_not_run
p1_medium_h19_chr22_2mb_o02_profile_off	14	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	2	steady_state	profile_off	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o02_profile_off	preregistered_not_run
p1_medium_h19_chr22_2mb_o03_profile_off	15	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	3	steady_state	profile_off	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o03_profile_off	preregistered_not_run
p1_medium_h19_chr22_2mb_o03_profile_on	16	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	3	steady_state	profile_on	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o03_profile_on	preregistered_not_run
p1_medium_h19_chr22_2mb_o04_profile_on	17	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	4	steady_state	profile_on	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o04_profile_on	preregistered_not_run
p1_medium_h19_chr22_2mb_o04_profile_off	18	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	4	steady_state	profile_off	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o04_profile_off	preregistered_not_run
p1_medium_h19_chr22_2mb_o05_profile_off	19	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	5	steady_state	profile_off	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o05_profile_off	preregistered_not_run
p1_medium_h19_chr22_2mb_o05_profile_on	20	medium_h19_chr22_2mb	medium_real	0	H19.fa	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	486b1c05ad0a360a0d77858ae73b25e32ec0fa851f5115b7aac69c2c9aa670dd	5	steady_state	profile_on	{binary} -f1 .tmp/fasim_gasal2_chr22_slice_10m_12m.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_medium_h19_chr22_2mb_o05_profile_on	preregistered_not_run
p1_large_h19_chr21_o01_profile_off	21	large_h19_chr21	claim_relevant_large	1	H19.fa	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	fb084b31fdcfe8dc301d2fc213ce6e430fa7509385317d16373c2eefd8e60ad7	1	cold_advisory	profile_off	{binary} -f1 .tmp/gasal2_hg38_archive_first_run/shards/chr21.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_large_h19_chr21_o01_profile_off	preregistered_not_run
p1_large_h19_chr21_o01_profile_on	22	large_h19_chr21	claim_relevant_large	1	H19.fa	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	fb084b31fdcfe8dc301d2fc213ce6e430fa7509385317d16373c2eefd8e60ad7	1	cold_advisory	profile_on	{binary} -f1 .tmp/gasal2_hg38_archive_first_run/shards/chr21.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_large_h19_chr21_o01_profile_on	preregistered_not_run
p1_large_h19_chr21_o02_profile_on	23	large_h19_chr21	claim_relevant_large	1	H19.fa	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	fb084b31fdcfe8dc301d2fc213ce6e430fa7509385317d16373c2eefd8e60ad7	2	steady_state	profile_on	{binary} -f1 .tmp/gasal2_hg38_archive_first_run/shards/chr21.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_large_h19_chr21_o02_profile_on	preregistered_not_run
p1_large_h19_chr21_o02_profile_off	24	large_h19_chr21	claim_relevant_large	1	H19.fa	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	fb084b31fdcfe8dc301d2fc213ce6e430fa7509385317d16373c2eefd8e60ad7	2	steady_state	profile_off	{binary} -f1 .tmp/gasal2_hg38_archive_first_run/shards/chr21.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_large_h19_chr21_o02_profile_off	preregistered_not_run
p1_large_h19_chr21_o03_profile_off	25	large_h19_chr21	claim_relevant_large	1	H19.fa	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	fb084b31fdcfe8dc301d2fc213ce6e430fa7509385317d16373c2eefd8e60ad7	3	steady_state	profile_off	{binary} -f1 .tmp/gasal2_hg38_archive_first_run/shards/chr21.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""0"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_large_h19_chr21_o03_profile_off	preregistered_not_run
p1_large_h19_chr21_o03_profile_on	26	large_h19_chr21	claim_relevant_large	1	H19.fa	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	1e42d7918595347e60b0db307157cfec7e7311b2938aad4533ef3ff25fb20fd7	fb084b31fdcfe8dc301d2fc213ce6e430fa7509385317d16373c2eefd8e60ad7	3	steady_state	profile_on	{binary} -f1 .tmp/gasal2_hg38_archive_first_run/shards/chr21.fa -f2 H19.fa -r 0 -cn 1 -O {attempt_output}	"{""FASIM_EXTEND_THREADS"":""1"",""FASIM_OUTPUT_MODE"":""tfosorted"",""FASIM_SSW_CUDA_PHASE1_PROFILE"":""1"",""FASIM_VERBOSE"":""0""}"	1800	none	1	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs/p1_large_h19_chr21_o03_profile_on	preregistered_not_run
