run_id	workload_id	claim_id	pair_id	mode	warmup	runtime_epoch	config_digest_sha256	wall_seconds	max_rss_kb	gpu_memory_peak_mib	gpu_utilization_peak_percent	receipt_path
c5_archive_h19_2mb__pair01__baseline__0	c5_archive_h19_2mb	C5	1	baseline	0	0	39506faeaebb38764b78c937a2d8da1f6592c076dc59d7f286996a4e49fcc900	3.2742705000564456	846440	19769.0	66.0	c5_archive_h19_2mb__pair01__baseline__0/run-complete.json
c5_archive_h19_2mb__pair01__candidate__0	c5_archive_h19_2mb	C5	1	candidate	0	0	43c425ce3085e6b6a391c6e4784e474a6c1cdb0e897750891811d2082a7347c9	2.471376902074553	862552	19769.0	76.0	c5_archive_h19_2mb__pair01__candidate__0/run-complete.json
c5_archive_h19_2mb__pair02__baseline__0	c5_archive_h19_2mb	C5	2	baseline	0	0	90047fb9d84c073ef8b25fe079720d7b8755172cb15c8a4c6a5b4e8f7a3dc345	3.274251295020804	846164	19769.0	87.0	c5_archive_h19_2mb__pair02__baseline__0/run-complete.json
c5_archive_h19_2mb__pair02__candidate__0	c5_archive_h19_2mb	C5	2	candidate	0	0	3407c8000eadb6d1228da5a64882caa496d1d4ae777a638b4141ebb397b42f23	2.5487816230161116	862356	19769.0	87.0	c5_archive_h19_2mb__pair02__candidate__0/run-complete.json
c5_archive_h19_2mb__pair03__baseline__0	c5_archive_h19_2mb	C5	3	baseline	0	0	4baea863fd7f48926e02bb637c63eb04ba00629254965913db7dbb8d3318f859	3.3062038589268923	846148	19769.0	77.0	c5_archive_h19_2mb__pair03__baseline__0/run-complete.json
c5_archive_h19_2mb__pair03__candidate__0	c5_archive_h19_2mb	C5	3	candidate	0	0	478613a2f72063914eddc6ff8c5969e14239549bb4df8922a0454f6743c0bb26	2.471505149966106	862008	19769.0	72.0	c5_archive_h19_2mb__pair03__candidate__0/run-complete.json
c5_archive_h19_2mb__warmup__baseline__0	c5_archive_h19_2mb	C5	0	baseline	1	0	de936f4339af06c1f5e48a391371fccb2793da6ab157bd9d1206d73d5abfffe5	3.328474533976987	846380	19769.0	72.0	c5_archive_h19_2mb__warmup__baseline__0/run-complete.json
c5_archive_h19_2mb__warmup__candidate__0	c5_archive_h19_2mb	C5	0	candidate	1	0	b372c911e410e4194e30aa5de13817b73c0c49312ddb76da0e4cdde59b063af8	2.4711402469547465	862216	19769.0	88.0	c5_archive_h19_2mb__warmup__candidate__0/run-complete.json
c5_archive_large_synthetic__pair01__baseline__0	c5_archive_large_synthetic	C5	1	baseline	0	0	9d17bfe5de52f9e2c3507d0b62b885aeceba45446b81798a00195cb138f33d8e	1.7696373430080712	43868	34.0	0.0	c5_archive_large_synthetic__pair01__baseline__0/run-complete.json
c5_archive_large_synthetic__pair01__candidate__0	c5_archive_large_synthetic	C5	1	candidate	0	0	25c3a6661212a2ca8410d23e91c624a61aeb65ff4404f236985a10da0d4d4f53	2.227552190073766	29120	34.0	0.0	c5_archive_large_synthetic__pair01__candidate__0/run-complete.json
c5_archive_large_synthetic__pair02__baseline__0	c5_archive_large_synthetic	C5	2	baseline	0	0	29adf63c33e04b881286f6797a80e1fc9cfa56db0c3fb9795267d21dec694021	1.719192182063125	43836	34.0	0.0	c5_archive_large_synthetic__pair02__baseline__0/run-complete.json
c5_archive_large_synthetic__pair02__candidate__0	c5_archive_large_synthetic	C5	2	candidate	0	0	cfe7b65ec6366ed11ca7de333e17bb4208c18084d6d6b6d24193814d00361588	2.171019996982068	29264	34.0	0.0	c5_archive_large_synthetic__pair02__candidate__0/run-complete.json
c5_archive_large_synthetic__pair03__baseline__0	c5_archive_large_synthetic	C5	3	baseline	0	0	7504eb1a23877192b3380c92b06dc50d8269f94ede0285e9621b392a4a7ae7ac	1.7192146400921047	44084	34.0	0.0	c5_archive_large_synthetic__pair03__baseline__0/run-complete.json
c5_archive_large_synthetic__pair03__candidate__0	c5_archive_large_synthetic	C5	3	candidate	0	0	2c7a66cad666ccd8b78ba8e402192411f1682f1b1530677cdecfe5f7324976b5	2.198317912989296	29040	34.0	0.0	c5_archive_large_synthetic__pair03__candidate__0/run-complete.json
c5_archive_large_synthetic__warmup__baseline__0	c5_archive_large_synthetic	C5	0	baseline	1	0	e76cbbd42d9d355a3a77633766388c420f49e66cbbcd0b0d61d97405ba19699e	1.6697489329380915	43864	34.0	0.0	c5_archive_large_synthetic__warmup__baseline__0/run-complete.json
c5_archive_large_synthetic__warmup__candidate__0	c5_archive_large_synthetic	C5	0	candidate	1	0	9e557df848d983d2db18e37903e8c40b6b249999472a60900b5776f9b19ffc56	2.170190055971034	29196	34.0	0.0	c5_archive_large_synthetic__warmup__candidate__0/run-complete.json
c6_exact_h19_2mb__pair01__baseline__0	c6_exact_h19_2mb	C6	1	baseline	0	0	fc8d3238e06da57e71ab1bae7fb9476ba0cd6273afe7270aa3ad35f0819f4741	2.5256023589754477	861976	19769.0	75.0	c6_exact_h19_2mb__pair01__baseline__0/run-complete.json
c6_exact_h19_2mb__pair01__candidate__0	c6_exact_h19_2mb	C6	1	candidate	0	0	fba8f6e0f9b664408a88e10f0c73995f504f5b464eb19d50fcd82279124ecaab	2.3326647100038826	829516	19697.0	89.0	c6_exact_h19_2mb__pair01__candidate__0/run-complete.json
c6_exact_h19_2mb__pair02__baseline__0	c6_exact_h19_2mb	C6	2	baseline	0	0	ff927ed3f9de9fc5684f4afa6f8ffe6a875ba9ab0952e5dc3ac6803c2a84659f	2.4726000940427184	862568	19769.0	87.0	c6_exact_h19_2mb__pair02__baseline__0/run-complete.json
