record_id	record_role	source_release	assembly	original_gene_id	original_gene_name	original_transcript_id	selection_rule	sequence_length	chromosome	strand	tss	region_start	region_end	sequence_sha256	file_sha256	path	license_note	split	status
aq001	query	GENCODE v49	GRCh38	ENSG00000294716.1	ENSG00000294716	ENST00000725398.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	639	NA	NA	NA	NA	NA	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	75349e957e58b3912f743be683782b40cbe5bd63b7cf23a4ba505d2e9b7603be	reproduce/bioinformatics/application_inputs/queries/aq001.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq002	query	GENCODE v49	GRCh38	ENSG00000301006.1	ENSG00000301006	ENST00000775482.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	787	NA	NA	NA	NA	NA	13a9f9a62dd310b3d76584ddcb4c6ae9aeb168220d3ebdbdc4ca01dfa30a7d44	8d7d9e59f5649e6d5f8e6aec3ffd097e4d02773ee278573aef6a0902e1d2b0f2	reproduce/bioinformatics/application_inputs/queries/aq002.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq003	query	GENCODE v49	GRCh38	ENSG00000223923.3	TNS1-AS1	ENST00000450996.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	568	NA	NA	NA	NA	NA	bc5a0425ceb4968b62216e5b0089ff5cb2cd18c0abc4287367c5a50989cd9bfa	0a22c6a54a7c56ebf849dbe8b9c6f2f8c0847c241264875fcfcf0e8bbad4429d	reproduce/bioinformatics/application_inputs/queries/aq003.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq004	query	GENCODE v49	GRCh38	ENSG00000308872.1	ENSG00000308872	ENST00000836968.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	915	NA	NA	NA	NA	NA	8774113d6905d36c5c69c3375307f0fa7da1c20da09000654d987eeea189555c	290e1e2a9916a4295651f85c34ad75cc95a5b99a0c0704a3ba26f4c7eca177a7	reproduce/bioinformatics/application_inputs/queries/aq004.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq005	query	GENCODE v49	GRCh38	ENSG00000305888.1	ENSG00000305888	ENST00000813776.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	746	NA	NA	NA	NA	NA	c5e6bb79c9d119b478cbcae47538a72a42598683eaebdfe03c3e717cd684f5f1	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	reproduce/bioinformatics/application_inputs/queries/aq005.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq006	query	GENCODE v49	GRCh38	ENSG00000308962.1	ENSG00000308962	ENST00000837511.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1216	NA	NA	NA	NA	NA	0b1fbf70f80d071403f3ab95e9f4e702bc64a85776f375fa44726272e311735b	832f62e446364f2a06553d0501ea14aa6463dc2378e07aec57d28bf532441cb6	reproduce/bioinformatics/application_inputs/queries/aq006.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq007	query	GENCODE v49	GRCh38	ENSG00000285413.2	ENSG00000285413	ENST00000727037.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1876	NA	NA	NA	NA	NA	3924bf5bbd87f45ec0ed8b57f01d4266c46d77efdf9db827f9c39af3ad1a5cd9	0ace6c108a46610c611dcd887e39ae38e31f064f67eb467d71d60db6c463e055	reproduce/bioinformatics/application_inputs/queries/aq007.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq008	query	GENCODE v49	GRCh38	ENSG00000261826.1	ENSG00000261826	ENST00000567488.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	2709	NA	NA	NA	NA	NA	bab192889972e6fc9a5cb766a8b3a722cd4c97ec0ee1d3527ae804c45c4c93af	cb08018a8969fa0191ee288cc5d3215139d49286e2b05b2e7b44d21a19a767f9	reproduce/bioinformatics/application_inputs/queries/aq008.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq009	query	GENCODE v49	GRCh38	ENSG00000257859.2	CASC18	ENST00000656319.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	2548	NA	NA	NA	NA	NA	6e2721df32e10b86b7d5f39ee31e2b6fee8e35a35cc2bde372e3bc7f8bd104de	5d8fa17fc9140e732bd2dc65e4bd494e85fa482dbdd115840b81cc6768fb86ef	reproduce/bioinformatics/application_inputs/queries/aq009.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq010	query	GENCODE v49	GRCh38	ENSG00000257127.6	CLLU1	ENST00000586526.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	2422	NA	NA	NA	NA	NA	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	54aa27a248cac8100025f2e8c6f5f1c5ccb6e8658e64781b9d2f3d5fe0a58e50	reproduce/bioinformatics/application_inputs/queries/aq010.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
