gene_id	gene_symbols	exclusion_sources	exclusion_reasons
ENSG00000125804	FAM182A	human_trial52_longest,prior_production_target_attempt_snapshot,segment_grid_consistency	long_query_segmented_development_panel,prior_production_target_completed,segment_grid_development_panel
ENSG00000166770	ZNF667-AS1	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000170919	TPT1-AS1	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed
ENSG00000176124	DLEU1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000176728	TTTY14	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000179406	LINC00174	explicit_gpu_development_ledger_v1,human_trial52_longest,prior_production_target_attempt_snapshot,segment_owner_authority	independent_segment_long_query_diagnostic,long_query_segmented_development_panel,owner_and_full_query_oracle_development,prior_production_target_partial_or_planned
ENSG00000182648	LINC01006	human_trial52_longest	long_query_segmented_development_panel
ENSG00000187621	TCL6	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000188825	LINC00910	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000196295	GARS1-DT	human_trial52_longest	long_query_segmented_development_panel
ENSG00000204677	FAM153CP	human_trial52_longest	long_query_segmented_development_panel
ENSG00000205181	LINC00654	explicit_gpu_development_ledger_v1,segment_owner_authority	independent_segment_long_query_diagnostic,owner_and_full_query_oracle_development
ENSG00000212719	LINC02693	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000213468	FIRRE	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed
ENSG00000224078	SNHG14	explicit_gpu_development_ledger_v1,prior_production_target_attempt_snapshot	initial_long_query_gpu_runtime,prior_production_target_partial_or_planned
ENSG00000224271	AL117329.1	explicit_gpu_development_ledger_v1,prior_production_target_attempt_snapshot	initial_long_query_gpu_runtime,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000224924	LINC00320	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000226777	FAM30A	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000228065	LINC01515	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000228262		prior_production_target_attempt_snapshot	prior_production_target_completed
ENSG00000228340	MIR646HG	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000228793	AL033523.1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000228794	LINC01128	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000228824	MIR4500HG	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000229236		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000229613	LINC01501	explicit_gpu_development_ledger_v1,segment_owner_authority	owner_and_full_query_oracle_development,stateful_and_hybrid_development_fixture
ENSG00000229852		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000231028	LINC00271	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed
ENSG00000231427		prior_production_target_attempt_snapshot	prior_production_target_completed
ENSG00000231527	FAM27C	human_trial52_longest	long_query_segmented_development_panel
