pair_id_text	workload_id	claim_id	role	query_id	query_length_nt	fragment_position	target_id	target_region	preset_id	pair_id	pair_order	runtime_epoch	runtime_commit	comparator_version	output_contract	baseline_wall_seconds	candidate_wall_seconds	paired_speedup	baseline_max_rss_kb	candidate_max_rss_kb	baseline_gpu_memory_peak_mib	candidate_gpu_memory_peak_mib	raw_score_top5_equal	raw_stability_top5_equal	raw_nt_top5_equal	clustered_score_top5_equal	clustered_stability_top5_equal	clustered_nt_top5_equal	all_three_top5_equal	boundary_ties_equal	baseline_boundary_tie_groups	candidate_boundary_tie_groups	baseline_representative_conflict_clusters	candidate_representative_conflict_clusters	full_missing_rows	full_extra_rows	candidate_active_path	gasal2_requests	traceback_requests	fallbacks	length_guard_fallbacks	runtime_batch_fallbacks	overflow_fallbacks	oom	status	decision	details_path	pair_summary_path
g01_malat1_5p_1024_chr11__pair01__0	g01_malat1_5p_1024_chr11	C2	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	1	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	50.296931123011746	4.225235744030215	11.903934873711053	207276	533336	34.0	7375.0	1	1	1	1	1	1	1	1	0	0	40	40	44	43	1	853007	351748	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g01_malat1_5p_1024_chr11__pair01__0/top5-details.tsv	pairs-v1/g01_malat1_5p_1024_chr11__pair01__0/pair-summary.json
g01_malat1_5p_1024_chr11__pair02__0	g01_malat1_5p_1024_chr11	C2	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	2	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	50.344283245969564	4.220571969985031	11.928308201826049	207308	532944	34.0	7375.0	1	1	1	1	1	1	1	1	0	0	40	40	44	43	1	853007	351748	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g01_malat1_5p_1024_chr11__pair02__0/top5-details.tsv	pairs-v1/g01_malat1_5p_1024_chr11__pair02__0/pair-summary.json
g01_malat1_5p_1024_chr11__pair03__0	g01_malat1_5p_1024_chr11	C2	generalization_core	MALAT1	1024	5p	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	3	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	50.39797531394288	4.2264431529911235	11.92444177991023	207416	533036	34.0	7375.0	1	1	1	1	1	1	1	1	0	0	40	40	44	43	1	853007	351748	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g01_malat1_5p_1024_chr11__pair03__0/top5-details.tsv	pairs-v1/g01_malat1_5p_1024_chr11__pair03__0/pair-summary.json
g02_malat1_mid_2048_chr21__pair01__0	g02_malat1_mid_2048_chr21	C2	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	1	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	79.21182026690803	4.878783490974456	16.23597776237592	206740	731660	34.0	15071.0	1	0	1	1	0	1	0	1	0	0	47	47	18	18	1	1091351	471256	0	0	0	0	0	mismatch	generalization_clustered_contract_mismatch	pairs-v1/g02_malat1_mid_2048_chr21__pair01__0/top5-details.tsv	pairs-v1/g02_malat1_mid_2048_chr21__pair01__0/pair-summary.json
g02_malat1_mid_2048_chr21__pair02__0	g02_malat1_mid_2048_chr21	C2	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	2	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	79.22012775903568	4.885163879953325	16.216472917955127	206908	731748	34.0	15071.0	1	0	1	1	0	1	0	1	0	0	47	47	18	18	1	1091351	471256	0	0	0	0	0	mismatch	generalization_clustered_contract_mismatch	pairs-v1/g02_malat1_mid_2048_chr21__pair02__0/top5-details.tsv	pairs-v1/g02_malat1_mid_2048_chr21__pair02__0/pair-summary.json
g02_malat1_mid_2048_chr21__pair03__0	g02_malat1_mid_2048_chr21	C2	generalization_core	MALAT1	2048	mid	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	3	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	79.21645827800967	4.8783545850310475	16.238355965571024	206732	731516	34.0	15071.0	1	0	1	1	0	1	0	1	0	0	47	47	18	18	1	1091351	471256	0	0	0	0	0	mismatch	generalization_clustered_contract_mismatch	pairs-v1/g02_malat1_mid_2048_chr21__pair03__0/top5-details.tsv	pairs-v1/g02_malat1_mid_2048_chr21__pair03__0/pair-summary.json
g03_malat1_3p_2812_chr22__pair01__0	g03_malat1_3p_2812_chr22	C2	generalization_core	MALAT1	2812	3p	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	1	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	93.79168249398936	5.3795060170814395	17.434999086565657	198724	858792	34.0	16539.0	1	1	1	1	1	1	1	1	0	0	94	94	38	46	1	869233	361094	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g03_malat1_3p_2812_chr22__pair01__0/top5-details.tsv	pairs-v1/g03_malat1_3p_2812_chr22__pair01__0/pair-summary.json
g03_malat1_3p_2812_chr22__pair02__0	g03_malat1_3p_2812_chr22	C2	generalization_core	MALAT1	2812	3p	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	2	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	93.64246600796469	5.380274311057292	17.404775406249268	198560	851708	34.0	16539.0	1	1	1	1	1	1	1	1	0	0	94	94	38	46	1	869236	361094	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g03_malat1_3p_2812_chr22__pair02__0/top5-details.tsv	pairs-v1/g03_malat1_3p_2812_chr22__pair02__0/pair-summary.json
g03_malat1_3p_2812_chr22__pair03__0	g03_malat1_3p_2812_chr22	C2	generalization_core	MALAT1	2812	3p	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	3	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	93.72063690598588	5.379818847053684	17.420779318120164	198552	859116	34.0	16539.0	1	1	1	1	1	1	1	1	0	0	94	94	38	46	1	869248	361094	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g03_malat1_3p_2812_chr22__pair03__0/top5-details.tsv	pairs-v1/g03_malat1_3p_2812_chr22__pair03__0/pair-summary.json
g04_neat1_5p_2048_chr22__pair01__0	g04_neat1_5p_2048_chr22	C2	generalization_core	NEAT1	2048	5p	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	1	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	87.00791515596211	5.096078827045858	17.07350261031964	206664	749352	34.0	15071.0	1	1	1	1	1	1	1	1	0	0	61	61	41	47	1	1027937	370654	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g04_neat1_5p_2048_chr22__pair01__0/top5-details.tsv	pairs-v1/g04_neat1_5p_2048_chr22__pair01__0/pair-summary.json
