dataset_id	outer_lncRNA_id	region_id	label	target_chromosome	arm	region_score	valid_row_count
bte_hotair_gse31332	lncrna_hotair	bt5_0082d26b62b0f716c0feb90a	0	chr6	A	133	11
bte_hotair_gse31332	lncrna_hotair	bt5_00c6325f88740956c333c6ee	0	chr5	A	119	7
bte_hotair_gse31332	lncrna_hotair	bt5_00d24762ea35445eb956948d	1	chr15	A	119	8
bte_hotair_gse31332	lncrna_hotair	bt5_00d37170d90009cf358780b8	0	chr19	A	152	20
bte_hotair_gse31332	lncrna_hotair	bt5_01260779a6c5d2b522ed9528	1	chr14	A	113	11
bte_hotair_gse31332	lncrna_hotair	bt5_017b174db3f3147f4f420179	1	chr4	A	95	5
bte_hotair_gse31332	lncrna_hotair	bt5_01b163ded7dc9beac8cd549f	1	chr6	A	120	5
bte_hotair_gse31332	lncrna_hotair	bt5_026472e2a23a7669efaf88f0	0	chr5	A	123	8
bte_hotair_gse31332	lncrna_hotair	bt5_02cd90e197064fc954959ed6	0	chr7	A	102	7
bte_hotair_gse31332	lncrna_hotair	bt5_02d427a34904cad0dc7c917a	0	chr2	A	-1	0
bte_hotair_gse31332	lncrna_hotair	bt5_030d812041216d36218d9533	0	chr1	A	145	16
bte_hotair_gse31332	lncrna_hotair	bt5_0322175dee5e5ba3589fd9a2	0	chr16	A	111	13
bte_hotair_gse31332	lncrna_hotair	bt5_03c726abe457a14e9a6166ce	0	chr7	A	98	6
bte_hotair_gse31332	lncrna_hotair	bt5_04144601e13242a35d1a30e9	0	chr4	A	94	4
bte_hotair_gse31332	lncrna_hotair	bt5_044dcdf259a3cda9e900aa69	0	chr1	A	114	12
bte_hotair_gse31332	lncrna_hotair	bt5_04d3c7f892064c910a69a6ac	1	chr4	A	133	6
bte_hotair_gse31332	lncrna_hotair	bt5_050301a90191ef5d62d00bc6	0	chr10	A	110	7
bte_hotair_gse31332	lncrna_hotair	bt5_057fceb7d60933e5512218b0	0	chr12	A	115	9
bte_hotair_gse31332	lncrna_hotair	bt5_05bd0353b8a590c5d1bca5c3	0	chr4	A	140	5
bte_hotair_gse31332	lncrna_hotair	bt5_05e281c8c65e84abded9decc	0	chr12	A	113	8
bte_hotair_gse31332	lncrna_hotair	bt5_05e6b415789a15364a578c2a	0	chr7	A	115	10
bte_hotair_gse31332	lncrna_hotair	bt5_061a9e4b63683857153542ec	0	chr17	A	136	29
bte_hotair_gse31332	lncrna_hotair	bt5_0620c360200067d535dc8c0e	0	chr1	A	133	4
bte_hotair_gse31332	lncrna_hotair	bt5_064c3ee1be53b7ff6c7ce9bd	0	chr1	A	135	14
bte_hotair_gse31332	lncrna_hotair	bt5_064f98df25d9b9813134815b	0	chr18	A	99	3
bte_hotair_gse31332	lncrna_hotair	bt5_06765be71a437f8631e418b4	0	chr2	A	128	11
bte_hotair_gse31332	lncrna_hotair	bt5_0677aeb6b88ca2eab69fdc63	0	chr1	A	78	2
bte_hotair_gse31332	lncrna_hotair	bt5_069abedc54ddaca89aefdeb2	0	chr5	A	115	4
bte_hotair_gse31332	lncrna_hotair	bt5_06bb7f4588bf2caeac819220	0	chr5	A	122	10
bte_hotair_gse31332	lncrna_hotair	bt5_06effa42fdf85f23b142b592	0	chr7	A	113	5
bte_hotair_gse31332	lncrna_hotair	bt5_07283ba5e0827f834e24fd26	1	chr22	A	125	16
bte_hotair_gse31332	lncrna_hotair	bt5_0738434e8dd4ad0d925ffc61	0	chr11	A	97	10
